value,count
10,27479
15,24507
5,24436
20,14475
30,13080
25,9261
45,5223
35,5152
40,4611
60,3277
50,2515
55,1615
75,1276
8,1256
7,1225
65,1144
6,1105
70,1087
2,1058
3,1015
90,958
12,924
4,904
9,823
13,818
11,779
80,695
1,665
14,654
17,582
16,551
18,548
85,462
22,413
19,387
120,386
23,341
105,331
21,324
95,315
24,307
27,307
28,300
100,289
26,225
32,221
29,217
33,209
31,192
34,177
110,173
37,153
115,144
150,139
36,135
43,126
135,126
38,125
42,124
39,110
180,104
130,95
125,89
48,83
41,76
47,75
46,73
140,73
49,71
44,62
52,61
54,61
51,60
165,56
53,53
210,46
58,46
145,46
240,44
57,42
155,40
62,35
63,34
61,32
0,32
195,30
73,29
66,28
300,28
160,28
170,26
64,26
69,25
68,24
67,24
59,23
56,22
330,22
215,20
71,20
225,20
190,19
72,19
270,19
77,18
82,18
<NULL>,17
200,17
175,17
87,16
255,16
83,15
76,15
74,15
220,15
280,14
79,14
89,13
260,13
315,13
185,12
98,11
86,11
92,11
107,11
235,11
360,11
290,11
275,10
78,10
93,10
94,10
310,10
205,10
285,10
81,9
420,9
250,9
128,8
480,8
390,8
245,8
113,7
104,7
84,7
335,7
132,7
345,7
365,7
118,6
108,6
106,6
88,6
91,6
96,6
136,6
540,6
375,6
102,5
139,5
112,5
127,5
103,5
182,5
121,5
455,5
570,5
780,5
630,5
510,5
109,4
204,4
133,4
545,4
129,4
355,4
164,4
400,4
495,4
555,4
500,4
660,4
740,4
265,4
122,3
143,3
119,3
117,3
126,3
111,3
230,3
154,3
114,3
141,3
440,3
247,3
320,3
670,3
465,3
550,3
515,3
370,3
435,3
470,3
580,3
705,3
460,3
340,3
735,3
395,3
228,2
169,2
279,2
123,2
206,2
167,2
161,2
131,2
148,2
450,2
179,2
101,2
124,2
835,2
610,2
750,2
380,2
585,2
505,2
560,2
385,2
675,2
350,2
295,2
305,2
530,2
600,2
525,2
805,1
189,1
405,1
284,1
219,1
144,1
327,1
151,1
751,1
243,1
137,1
193,1
176,1
197,1
504,1
184,1
134,1
425,1
166,1
233,1
442,1
706,1
314,1
749,1
162,1
296,1
258,1
187,1
173,1
149,1
269,1
367,1
188,1
196,1
157,1
239,1
368,1
237,1
553,1
177,1
142,1
443,1
178,1
627,1
156,1
168,1
278,1
153,1
242,1
116,1
281,1
745,1
595,1
445,1
410,1
490,1
960,1
995,1
840,1
1130,1
690,1
475,1
640,1
325,1
665,1
855,1
790,1
590,1
755,1
520,1
700,1
785,1
565,1
615,1
415,1
485,1
