value,count
<NULL>,147849
2316,499
522,234
885,182
733,170
2119,166
1465,157
2499,144
2317,113
1455,107
1541,106
2826,103
839,98
119,97
1494,94
1108,93
1434,93
469,92
1018,88
876,87
19,87
1301,86
2018,84
1456,73
2127,72
484,70
25,70
101,66
1568,65
1937,62
2021,61
216,61
2102,60
1493,58
2864,58
1625,58
574,57
729,57
1945,57
1807,57
219,56
2913,56
1995,56
1457,56
1249,55
531,54
47,54
2114,53
2586,53
1500,52
2062,51
2568,50
415,49
1053,48
1269,47
2914,47
1050,46
1346,46
2107,46
466,44
239,44
2894,44
2084,44
1105,43
1274,43
1840,42
427,41
1110,41
1259,41
23,41
501,40
100,40
1976,40
1010,39
1057,38
1599,38
2885,38
2190,38
1011,37
1902,37
2889,37
1008,36
1938,36
1620,36
641,35
941,35
1192,35
1284,35
1304,35
2112,35
1392,34
1238,34
2088,34
460,33
214,33
2546,33
2125,33
2057,33
1523,33
883,32
617,32
1442,32
1478,32
1623,32
2234,32
360,31
1218,31
1463,31
2551,31
1272,30
2513,30
1441,30
1978,30
1871,30
2378,30
2140,30
510,29
1326,29
1393,29
2118,29
2155,29
2374,29
880,28
1231,28
2159,28
1859,28
2909,28
490,27
235,27
1025,27
1054,27
2100,27
1958,27
1636,27
1546,27
383,26
481,26
869,26
986,26
2379,26
738,25
2923,25
2104,25
1473,25
418,24
658,24
1320,24
1356,24
1318,24
1365,24
854,24
1421,24
494,23
544,23
361,23
1206,23
426,23
1678,23
2022,23
2069,23
1548,23
2560,23
1644,23
493,22
1128,22
1314,22
504,22
2553,22
2052,22
1672,22
2651,22
1333,22
734,21
1003,21
1159,21
1081,21
1285,21
2818,21
111,21
917,21
535,21
372,21
780,21
1806,21
2146,21
2512,21
1449,21
482,21
2814,21
525,21
1619,21
714,20
742,20
241,20
1290,20
2519,20
656,20
1815,20
2143,20
1682,20
1705,20
1487,20
2225,20
934,19
1310,19
1306,19
713,19
432,19
335,19
1751,19
2361,19
1809,19
294,18
399,18
871,18
1061,18
746,18
1926,18
1597,18
1013,17
2903,17
1336,17
1505,17
1624,17
2067,17
1665,17
2250,17
2827,17
874,16
706,16
625,16
989,16
1354,16
1281,16
499,16
440,16
238,16
2241,16
2042,16
1691,16
2038,16
2922,16
2315,16
2896,16
2825,16
2641,16
1980,16
539,15
538,15
541,15
1227,15
804,15
664,15
30,15
757,15
44,15
1279,15
256,15
1328,15
1386,15
1932,15
2077,15
1897,15
2884,15
1981,15
1697,15
1915,15
2498,15
2501,15
1797,15
530,14
1990,14
688,14
918,14
179,14
1175,14
1104,14
1237,14
41,14
13,14
113,14
148,14
11,14
