value,count
<NULL>,137503
51059,2696
24031,2664
11001,2459
24033,2160
24005,1867
24003,1666
24510,1383
51107,1306
24027,1138
51153,990
24021,815
51013,734
24013,667
24025,539
51510,530
24017,443
24037,373
24045,323
24043,290
51179,272
24009,252
24015,194
51061,182
51177,170
54037,110
51683,106
51610,105
51600,95
24047,94
24001,88
24011,86
24035,85
24019,80
51099,78
51630,69
24041,50
51043,34
24039,33
42101,31
51685,31
42000,25
10003,24
10005,22
51069,22
24029,21
36000,21
24023,20
51840,17
51760,15
51680,13
51121,13
51660,13
37000,12
51710,11
21067,10
42091,9
39003,9
54057,8
28103,8
42041,8
26161,8
42085,8
51137,8
51003,8
26065,6
36061,6
42061,6
26021,6
55079,6
25000,6
18000,6
26000,6
26073,5
17019,5
51830,5
13089,4
37119,4
42001,4
45079,4
51678,4
42071,4
13121,4
50007,4
39000,4
31000,4
16065,3
10001,3
37001,3
34015,3
51157,3
42069,2
29183,2
13067,2
42109,2
36055,2
42029,2
31109,2
42129,2
42045,2
48201,2
42027,2
36119,2
47037,2
45051,2
51540,2
51047,2
48000,2
42043,2
34000,2
45000,2
54003,2
51159,2
37063,1
51147,1
10000,1
51161,1
