value,count
<NULL>,143145
916,499
1628,356
3087,256
719,166
66,157
1099,144
1564,135
2982,121
917,113
56,107
142,106
2841,103
95,94
35,93
3021,92
1457,87
3241,85
618,84
3045,82
3071,81
2405,80
2776,79
2984,78
1981,78
3051,77
3013,73
57,73
1769,72
727,72
3151,69
3338,69
3257,68
2977,68
1978,65
169,65
2272,64
3193,63
2307,63
537,62
621,61
702,60
94,58
2879,58
226,58
3109,57
545,57
407,57
3035,56
2928,56
595,56
58,56
2368,55
2144,55
2034,55
3082,54
2138,54
714,53
1186,53
2318,53
3275,52
3270,52
101,52
1665,51
662,51
2278,51
3019,50
1168,50
3023,49
2968,49
1589,49
2997,48
2986,48
2528,48
2979,47
2929,47
3276,46
707,46
2145,45
2011,45
3161,45
2361,45
2909,44
1456,44
2396,44
684,44
3269,43
1925,43
3158,43
3420,42
440,42
2315,42
3059,41
3254,41
1805,41
3441,41
3244,40
2051,40
576,40
3016,39
1998,39
3101,38
2726,38
200,38
3305,38
2900,38
790,38
1938,37
502,37
2787,37
3580,37
2904,37
1924,37
1635,36
538,36
3408,36
2630,36
221,36
2398,36
2223,35
1532,35
712,35
2962,34
1604,34
688,34
1863,34
3067,33
3060,33
3630,33
1798,33
1146,33
725,33
1417,33
2397,33
657,33
124,33
3313,32
43,32
79,32
224,32
1583,32
3192,32
1851,32
834,32
3078,31
64,31
1151,31
2624,31
1113,30
42,30
578,30
471,30
978,30
740,30
1581,30
3633,30
2644,30
3093,29
3259,29
1567,29
718,29
755,29
2790,29
1986,29
1533,29
974,29
3009,28
2958,28
759,28
459,28
2703,28
2924,28
3089,27
3050,27
1858,27
3317,27
700,27
2298,27
558,27
3631,27
237,27
3376,27
147,27
3074,26
3049,26
2985,26
3011,26
1439,26
2714,26
979,26
3185,26
1514,26
2403,26
2938,25
3247,25
3073,25
1676,25
3191,25
2673,25
3373,25
3665,25
3533,25
2222,25
704,25
1545,25
2704,25
3389,25
74,25
1569,25
1539,25
2991,24
2999,24
2995,24
2025,24
22,24
2073,24
2509,24
3012,23
1973,23
3058,23
3476,23
2300,23
279,23
3666,23
622,23
669,23
149,23
3575,23
1160,23
1441,23
245,23
2447,23
3474,23
1802,23
3090,22
3037,22
3255,22
2967,22
3018,22
3068,22
3648,22
3472,22
1597,22
1153,22
652,22
273,22
1251,22
2310,22
1920,22
1627,22
2833,21
3088,21
406,21
2559,21
746,21
2414,21
1112,21
1652,21
1453,21
2062,21
50,21
1661,21
2280,21
1997,21
3048,21
2829,21
3063,21
1531,21
1558,21
3311,21
3378,21
3369,21
220,21
1119,20
3271,20
415,20
2052,20
1767,20
2633,20
743,20
1586,20
3657,20
3548,20
1630,20
3312,20
3423,20
283,20
1619,20
306,20
2759,20
2459,20
1952,20
88,20
825,20
3461,20
2304,20
3038,19
2974,19
2987,19
3669,19
2636,19
3371,19
2274,19
1636,19
352,19
961,19
2266,19
2371,19
409,19
3027,18
1447,18
526,18
3496,18
2737,18
1922,18
2068,18
1544,18
2627,18
198,18
2069,18
2149,18
2975,17
2918,17
2989,17
1882,17
3315,17
2634,17
1824,17
106,17
225,17
667,17
3447,17
1908,17
2418,17
266,17
1836,17
850,17
2358,17
2842,17
1525,17
1972,17
3102,16
3099,16
3248,16
3000,16
3017,16
3069,16
2096,16
1726,16
1761,16
