value,count
<NULL>,137493
807200,631
440502,373
999999,365
10800,273
731103,242
490605,176
701004,170
201,157
492500,156
611806,155
701800,145
803513,144
875500,142
1001,137
101500,137
200106,135
605602,121
1200,116
10400,114
751201,112
400400,101
440701,100
750600,96
851002,94
303102,93
611900,92
507802,90
120202,89
10606,89
440800,87
10100,84
750801,82
271101,82
850600,80
701205,79
740900,78
40200,77
9501,75
701221,74
110200,73
605102,73
5600,73
482303,72
901231,72
1100,71
752204,71
303101,70
271300,69
900410,67
901234,67
440501,65
700717,65
700901,65
3400,65
730604,64
150500,64
603004,64
610504,64
611207,64
740602,63
10700,63
611022,63
490602,62
901,61
610702,61
702402,60
5900,59
505101,58
740200,58
611802,58
430203,58
701400,57
602306,57
703201,57
700824,57
9201,57
800410,56
500100,56
60400,55
806712,55
431802,55
731003,54
301,54
507500,53
850713,53
701005,53
430901,52
702206,51
610601,51
270903,50
514100,50
201900,50
875400,50
10204,50
10600,49
730504,49
751500,49
803514,49
400,49
202,49
200801,49
701312,49
601104,48
420100,48
800402,48
901503,48
740800,47
602303,47
11201,47
703000,47
452501,47
491803,47
600,46
700604,46
701213,46
860200,46
102302,46
10502,45
611025,45
875902,45
200900,45
490103,45
408400,44
606707,44
30905,44
301702,44
751901,44
860501,44
860401,44
271200,43
6202,43
507704,42
506200,42
951000,42
420300,42
700500,42
701408,42
611021,42
507602,41
303300,41
602100,41
602800,41
901008,41
461500,41
471100,41
404101,40
440100,40
100200,40
507601,40
930401,40
102500,40
900904,40
701407,40
40300,39
2302,39
850802,39
452101,39
150400,38
505207,38
606603,38
701206,38
901010,38
421103,38
611019,38
801405,38
706500,37
420800,37
605402,37
471301,37
500200,37
701304,37
850901,37
701316,36
803602,36
701308,36
910100,36
805908,36
705901,36
9400,36
740102,35
30200,35
408302,35
10900,35
901410,35
701006,35
704805,35
810600,34
303803,34
752601,34
100,34
802,34
860600,34
201400,34
611012,34
700311,34
491502,34
201300,34
470800,34
731303,33
504201,33
505102,33
200,33
300200,33
800515,33
700830,33
101402,33
1902,33
401000,32
900403,32
40100,32
705000,32
611004,32
10304,32
610201,32
801906,32
415800,32
955400,31
301602,31
601204,31
702700,31
610400,31
102400,31
300100,31
1302,31
920200,31
910302,31
30904,30
5301,30
421002,30
702800,30
806400,30
610602,30
1800,29
605505,29
810400,29
10300,29
100100,29
482501,29
200201,29
700607,29
100500,29
611102,29
806000,29
875600,29
400701,28
606905,28
603003,28
700616,28
490502,28
806200,28
20310,28
752102,28
701201,28
5800,28
702205,27
706600,27
740603,27
740702,27
404202,27
430101,27
930101,27
751003,27
901224,27
703601,27
5500,27
611502,27
750701,27
700823,27
901505,27
730100,26
730502,26
401503,26
606606,26
450200,26
606806,26
901229,26
103800,26
900300,26
490800,25
440201,25
751000,25
411406,25
851500,25
201600,25
102802,25
800701,25
20204,25
402307,24
502000,24
960400,24
10200,24
951300,24
401102,24
500,24
702300,24
930705,24
706011,24
430801,24
611024,24
611206,24
611801,24
702204,23
706101,23
950400,23
440600,23
491202,23
606803,23
301402,23
605503,23
751001,23
700903,23
10802,23
10214,23
440202,23
704404,23
20202,23
700613,23
901305,23
766800,23
461901,23
801904,23
970600,22
606601,22
11400,22
10101,22
731201,22
430400,22
470400,22
10205,22
910402,22
8302,22
702900,22
1500,22
800513,22
706005,22
8803,22
705502,22
930302,22
606704,22
10210,22
875801,22
604002,21
30400,21
302802,21
305100,21
90500,21
730901,21
11301,21
972204,21
700829,21
930100,21
803521,21
491704,21
415100,21
102100,21
460502,21
731105,21
610800,21
875802,21
801004,21
900502,21
403801,20
400100,20
491000,20
303501,20
605401,20
730700,20
700819,20
422301,20
481400,20
703800,20
461100,20
901409,20
751801,20
702500,20
930402,20
100700,20
482602,20
972402,20
300500,20
801411,20
8002,20
7000,20
102801,20
901417,20
452000,20
611023,20
740203,19
702601,19
420200,19
960300,19
403702,19
31202,19
750202,19
901507,19
9508,19
7503,19
610604,19
611205,19
901209,19
250102,18
404102,18
505208,18
605103,18
100300,18
451100,18
30506,18
701212,18
901411,18
800704,18
103402,18
850706,18
901203,18
470900,18
471000,18
103100,18
492100,18
701002,18
701503,17
602202,17
955201,17
970300,17
970400,17
280500,17
750803,17
491201,17
470100,17
7200,17
3800,17
850710,17
40400,17
302,17
8904,17
480201,17
421102,17
460100,17
602304,17
901511,17
930303,17
730402,16
403500,16
31302,16
601201,16
30100,16
702209,16
731204,16
490100,16
8701,16
422201,16
101404,16
481900,16
802804,16
700207,16
481202,16
20311,16
705701,16
610603,16
900202,16
481500,16
860701,16
752301,16
807000,16
480202,16
800401,16
482202,16
751202,16
800608,16
860801,16
408507,15
270802,15
270902,15
955600,15
605104,15
120500,15
605504,15
10701,15
701313,15
430600,15
1002,15
452400,15
972602,15
900802,15
701214,15
9204,15
704806,15
850904,15
451602,15
460501,15
101401,15
801905,15
611014,15
2202,15
502,15
461000,15
701505,15
2101,15
611006,15
803512,15
860900,15
803527,15
730902,14
731102,14
492401,14
450300,14
140100,14
14502,14
301205,14
972201,14
90200,14
271503,14
90700,14
260401,14
271501,14
200600,14
508102,14
306100,14
955302,14
901100,14
773500,14
700309,14
701307,14
101100,14
803524,14
700710,14
10403,14
801407,14
482400,14
2400,14
875201,14
200802,14
802301,14
801901,14
611009,14
10106,14
752101,14
800203,14
200302,14
421500,14
408601,13
700,13
403602,13
260303,13
1600,13
416200,13
740305,13
704000,13
930403,13
20110,13
700813,13
432800,13
201801,13
201203,13
7301,13
103300,13
415402,13
751802,13
751904,13
801808,13
876200,13
800208,13
460600,13
415401,13
800,12
501,12
490301,12
408602,12
411407,12
451900,12
490703,12
491401,12
602302,12
271700,12
301703,12
260501,12
750101,12
765100,12
604001,12
50100,12
930207,12
705903,12
700905,12
901508,12
972203,12
611804,12
802406,12
101200,12
20203,12
500300,12
806706,12
480503,12
901005,12
460701,12
800607,12
450601,12
702101,12
102200,12
491501,12
700810,12
901223,12
801307,12
850902,12
611005,12
2102,12
801907,12
801311,12
851302,12
505203,12
860402,12
20104,12
801410,12
20205,12
490701,11
401101,11
130805,11
404403,11
420303,11
420301,11
420900,11
450100,11
950300,11
190100,11
151200,11
20100,11
270801,11
272006,11
702100,11
701300,11
408800,11
508200,11
750200,11
970900,11
4002,11
700610,11
800516,11
751004,11
