value,count
<NULL>,157097
147,238
27,237
84,233
154,220
64,206
28,202
137,200
31,178
20,174
23,171
63,131
70,130
5,122
52,114
73,104
7,102
71,98
59,98
17,95
3,85
62,75
30,74
46,72
8,71
19,69
45,68
87,68
25,66
79,66
12,65
36,65
29,63
61,59
66,58
39,58
133,57
74,56
94,55
42,52
83,51
78,51
88,50
86,49
14,49
10,49
15,48
44,48
80,47
53,44
40,43
43,43
95,43
22,41
24,40
67,39
89,38
91,37
16,36
2,36
9,36
68,35
93,34
92,34
81,34
50,34
72,32
65,32
114,30
213,30
77,29
35,27
75,27
69,25
85,24
112,23
58,22
56,22
1,21
111,19
18,19
101,17
26,17
11,17
82,17
110,15
32,15
60,15
13,15
212,14
105,13
107,13
51,13
90,13
57,13
207,12
6,12
103,11
21,11
49,11
218,10
109,9
102,8
108,8
106,8
205,7
41,7
204,6
113,6
211,5
104,5
201,4
203,4
76,4
200,3
216,2
206,2
4,2
214,1
210,1
208,1
