value,count
<NULL>,157099
27,239
84,234
154,233
147,233
28,203
31,196
64,195
137,193
20,181
23,153
52,136
70,123
63,118
5,117
59,104
7,101
71,100
73,92
17,89
30,85
45,80
3,80
46,78
29,70
36,69
62,69
19,69
87,68
25,66
79,65
12,63
8,62
74,61
133,60
66,57
61,56
86,56
94,54
44,54
14,53
15,52
88,52
42,51
53,49
39,48
78,47
80,47
10,46
2,44
40,44
83,43
24,41
22,40
43,40
95,39
81,37
67,37
89,36
69,36
93,35
16,34
92,34
91,33
72,33
68,33
9,33
65,33
75,30
50,30
35,29
213,27
111,27
58,26
77,25
114,24
112,23
1,23
82,22
56,22
85,21
6,19
101,17
26,17
107,16
60,16
18,15
32,15
57,14
11,14
110,13
90,13
13,13
108,12
212,10
218,10
203,10
113,10
21,10
51,10
49,10
105,9
103,8
104,7
109,7
41,7
106,6
205,5
102,5
207,5
211,4
204,4
201,3
216,3
76,3
200,2
206,2
214,1
209,1
215,1
217,1
202,1
4,1
