value,count
2017-11-17,1200
2017-12-01,1150
2017-10-19,1072
2018-06-04,1047
2018-02-26,1043
2017-11-30,1042
2018-01-02,1002
2018-07-11,971
2017-11-03,943
2017-10-17,940
2018-01-03,923
2017-11-16,887
2017-10-31,842
2018-01-05,833
2017-11-02,820
2017-10-16,808
2018-01-08,780
2017-10-18,776
2018-09-10,770
2018-02-28,767
2018-02-08,766
2018-07-02,765
2018-01-22,760
2018-05-17,758
2017-11-13,746
2017-12-12,742
2018-01-24,742
2018-05-22,738
2018-05-24,729
2017-12-04,729
2017-11-14,725
2018-08-31,722
2018-02-13,722
2018-01-25,720
2018-02-27,719
2018-05-14,702
2018-03-23,701
2017-10-20,700
2018-05-15,698
2018-05-18,697
2017-12-14,697
2018-10-25,696
2017-11-15,695
2018-02-12,691
2018-02-09,687
2017-12-15,681
2018-01-23,678
2018-07-31,677
2018-10-30,676
2017-10-25,676
2017-12-11,673
2018-05-25,671
2018-06-06,671
2018-05-29,667
2017-12-13,666
2018-07-20,665
2018-02-14,662
2018-11-01,655
2018-05-23,654
2018-05-21,652
2018-06-08,652
2018-02-23,652
2018-04-30,651
2018-03-01,648
2018-05-08,645
2017-10-26,643
2018-05-09,641
2018-01-26,637
2017-10-23,633
2018-04-26,631
2018-10-19,615
2018-03-09,615
2018-05-11,613
2018-05-30,613
2017-10-24,610
2018-04-04,610
2017-12-07,608
2017-11-01,607
2017-11-09,607
2018-06-01,605
2018-02-20,604
2018-05-02,603
2018-06-12,602
2018-03-05,602
2018-10-31,601
2018-02-15,600
2018-05-07,599
2018-06-13,595
2018-04-02,595
2018-04-06,588
2018-05-10,587
2017-11-20,586
2018-02-16,586
2018-02-21,586
2017-11-21,581
2017-11-29,578
2018-05-01,577
2018-05-31,576
2017-10-30,574
2018-03-08,572
2018-06-11,570
2018-03-13,565
2018-06-15,562
2018-06-26,558
2018-10-17,558
2017-12-21,555
2018-02-05,553
2018-02-22,553
2018-10-02,552
2018-03-02,552
2018-10-23,551
2018-01-10,551
2018-07-27,550
2017-11-28,549
2018-04-27,548
2018-06-27,547
2018-10-29,546
2017-11-07,543
2017-11-22,539
2018-02-07,539
2018-01-04,538
2018-01-09,533
2018-05-16,532
2017-11-27,529
2018-04-09,524
2018-04-03,521
2018-04-24,520
2018-04-05,520
2018-09-20,517
2018-06-05,516
2018-07-05,513
2018-03-07,513
2018-03-06,511
2017-12-06,509
2017-12-08,506
2018-01-11,503
2017-10-27,501
2018-03-19,496
2018-10-24,493
2017-11-08,493
2018-01-12,491
2018-04-23,491
2018-09-14,489
2018-10-26,486
2018-03-20,486
2018-06-19,483
2017-12-20,481
2018-06-18,480
2018-07-06,475
2018-06-25,474
2018-03-22,474
2018-07-09,472
2018-10-03,471
2018-11-02,471
2018-06-07,470
2018-07-03,468
2018-05-03,466
2018-03-30,466
2018-10-04,461
2018-11-07,460
2018-06-14,459
2018-04-13,459
2018-07-26,457
2018-10-01,457
2018-08-01,454
2018-01-31,449
2017-12-19,442
2018-04-20,441
2018-09-07,439
2018-06-20,439
2018-10-18,435
2018-02-06,435
2018-08-02,433
2017-10-13,432
2018-10-09,430
2017-11-06,430
2018-03-28,426
2019-01-07,422
2018-07-30,418
2018-03-27,418
2018-10-12,417
2018-02-02,417
2019-01-08,415
2018-03-14,415
2018-07-16,414
2018-05-04,411
2018-07-18,410
2018-11-30,409
2018-07-19,407
2018-07-25,406
2018-03-16,406
2018-04-11,404
2018-09-28,400
2018-10-10,397
2018-06-29,394
2018-07-23,392
2018-03-29,392
2018-08-27,389
2017-12-18,389
2018-10-22,386
2018-09-18,383
2018-10-15,383
2018-04-25,383
2017-12-05,381
2019-03-06,377
2018-04-12,375
2018-11-05,374
2018-09-27,369
2018-08-03,369
2018-01-19,361
2018-06-22,360
2018-08-16,359
2018-07-24,357
2018-07-10,356
2018-01-30,354
2018-08-09,353
2018-08-10,352
2018-03-12,352
2018-06-28,351
2018-04-10,351
2018-10-16,347
2018-08-24,344
2019-04-19,339
2018-09-25,338
2018-11-06,338
2018-03-26,337
2018-02-01,333
