value,count
1400000060101,1
1400000060102,1
1400000130101,1
1400000130102,1
1400000130103,1
1400000130104,1
1400000130105,1
1400000130201,1
1400000130202,1
1400000170101,1
1400000170102,1
1400000170103,1
1400000170104,1
1400000170105,1
1400000170106,1
1400000170201,1
1400000170202,1
1400000170203,1
1400000170204,1
1400000190101,1
1400000190102,1
1400000190103,1
1400000190104,1
1400000190105,1
1400000190106,1
1400000190107,1
1400000190108,1
1400000190201,1
1400000190202,1
1400000190203,1
1400000190204,1
1400000190205,1
1400000240101,1
1400000240102,1
1400000240103,1
1400000250101,1
1400000250102,1
1400000250201,1
1400000250202,1
1400000250203,1
1400000250204,1
1400000250205,1
1400000340101,1
1400000340102,1
1400000340103,1
1400000340104,1
1400000430101,1
1400000430102,1
1400000430103,1
1400000430104,1
1400000430105,1
1400000430106,1
1400000430107,1
1400000430108,1
1400000530101,1
1400000530102,1
1400000530103,1
1400000540101,1
1400000540102,1
1400000540103,1
1400000540104,1
1400000540105,1
1400000540106,1
1400000540201,1
1400000540202,1
1400000540203,1
1400000540204,1
1400000610101,1
1400000610102,1
1400000610103,1
1400000610104,1
1400000630101,1
1400000630102,1
1400000630103,1
1400000630104,1
1400000630105,1
1400000630106,1
1400000630201,1
1400000630202,1
1400000630203,1
1400000630204,1
1400000710101,1
1400000710102,1
1400000710103,1
1400000710104,1
1400000710105,1
1400000710106,1
1400000710107,1
1400000710108,1
1400000710109,1
1400000710110,1
1400000710111,1
1400000710201,1
1400000710202,1
1400000710203,1
1400000710204,1
1400000710301,1
1400000710302,1
1400000710303,1
1400000710304,1
1400000710401,1
1400000710402,1
1400000710403,1
1400000710404,1
1400000710405,1
1400000710406,1
1400000820101,1
1400000820102,1
1400000820103,1
1400000820104,1
1400000820105,1
1400000820106,1
1400000820107,1
1400001230101,1
1400001230102,1
1400001230103,1
1400001230201,1
1400001230202,1
1400001230203,1
1400001230204,1
1400001230301,1
1400001230302,1
1400001240101,1
1400001240102,1
1400001240103,1
1400001240104,1
1400001240105,1
1400001300101,1
1400001300102,1
1400001300103,1
1400001320101,1
1400001320102,1
1400001510101,1
1400001510102,1
1400001510103,1
1400001510104,1
1400001510105,1
1400001510106,1
1400001510201,1
1400001510202,1
1400001510203,1
1400001520101,1
1400001520102,1
1400001520201,1
1400001520202,1
1400001530101,1
1400001530102,1
1400001530103,1
1400001530104,1
1400001530201,1
1400001530202,1
1400001600101,1
1400001600102,1
1400001600103,1
1400001600104,1
1400001600201,1
1400001600202,1
1400001660101,1
1400001660102,1
1400001660103,1
1400001660104,1
1400001660105,1
1400001660106,1
1400001660201,1
1400001660202,1
1400001660203,1
1400001660204,1
1400001690101,1
1400001690102,1
1400001690103,1
1400001690104,1
1400001690105,1
1400001690201,1
1400001690202,1
1400001690203,1
1400001690204,1
1400001690205,1
1400001690206,1
1400001690207,1
1400001700101,1
1400001700102,1
1400001700103,1
1400001700104,1
1400001700105,1
1400001700106,1
1400001730101,1
1400001730102,1
1400001730103,1
1400001730104,1
1400001730105,1
1400001730106,1
1400001730107,1
1400001730301,1
1400001730302,1
1400001810101,1
1400001810102,1
1400001810103,1
1400001810104,1
1400001810105,1
1400001810106,1
1400001810201,1
1400001810202,1
1400001810203,1
1400001810204,1
1400001810205,1
1400001810206,1
1400001830101,1
1400001830102,1
1400001830103,1
1400001830201,1
1400001830202,1
1400001830301,1
1400001830302,1
1400001860101,1
1400001860102,1
1400001860201,1
1400001860202,1
1400001880101,1
1400001880102,1
1400001880103,1
1400001980101,1
1400001980102,1
1400001980103,1
1400001980104,1
1400001980105,1
1400001980106,1
1400001980107,1
1400001980108,1
1400001980109,1
1400001980110,1
1400001980111,1
1400002040101,1
1400002040102,1
1400002040201,1
1400002040202,1
1400002040203,1
1400002150201,1
1400002150202,1
1400002150203,1
1400002150204,1
1400002150205,1
1400002150206,1
1400002430101,1
1400002430102,1
1400002430103,1
1400002430104,1
1400002430105,1
1400002430106,1
1400002710101,1
1400002710102,1
1400002710103,1
1400002710104,1
1400002710105,1
1400002710301,1
1400002710302,1
1400002800101,1
1400002800102,1
1400002800103,1
1400002800104,1
1400002800105,1
1400002840101,1
1400002840102,1
1400002840103,1
1400002840104,1
1400002840105,1
1400002910101,1
1400002910102,1
1400002910103,1
1400002910201,1
1400002910202,1
1400002990101,1
1400002990102,1
1400003090101,1
1400003090102,1
1400003090103,1
1400003090104,1
1400003090105,1
1400003090106,1
1400003090107,1
1400003090108,1
1400003090109,1
1400003090110,1
1400003090111,1
1400003090112,1
1400003160101,1
1400003160102,1
1400003160103,1
1400003160104,1
1400003160105,1
1400003160201,1
1400003160202,1
1400003160203,1
1400003160204,1
1400003160205,1
1400003160206,1
1400003160207,1
1400003160208,1
1400003240101,1
1400003240102,1
1400003240103,1
1400003240104,1
1400003240201,1
1400003240202,1
1400003260101,1
1400003260102,1
1400003260103,1
1400003260104,1
1400003260105,1
1400003260106,1
1400003260107,1
1400003260108,1
1400003260201,1
1400003260202,1
1400003260301,1
1400003260302,1
1400003260303,1
1400003260304,1
1400003260305,1
1400003260306,1
1400003260307,1
1400003260308,1
1400003260401,1
1400003260402,1
1400003260403,1
1400003260404,1
1400003260405,1
1400003350101,1
1400003350102,1
1400003350103,1
1400003350104,1
1400003350105,1
1400003360101,1
1400003360102,1
1400003360201,1
1400003360202,1
1400003360203,1
1400003400101,1
1400003400102,1
1400003400103,1
1400003400104,1
1400003400105,1
1400003400106,1
1400003400107,1
1400003400108,1
1400003490101,1
1400003490102,1
1400003490103,1
1400003490104,1
1400003490105,1
1400003490201,1
1400003490202,1
1400003530101,1
1400003530102,1
1400003530103,1
1400003530104,1
1400003540101,1
1400003540102,1
1400003540301,1
1400003540302,1
1400003540401,1
1400003540402,1
1400003540501,1
1400003540502,1
1400003540503,1
1400003550101,1
1400003550102,1
1400003550103,1
1400003550104,1
1400003550105,1
1400003550301,1
1400003550302,1
1400003550303,1
1400003550304,1
1400003550305,1
1400003550306,1
1400003550307,1
1400003650101,1
1400003650102,1
1400003650103,1
1400003650104,1
1400003650105,1
1400003650106,1
1400003650107,1
1400003650108,1
1400003650201,1
1400003650202,1
1400003650203,1
1400003650204,1
1400003650205,1
1400003650401,1
1400003650402,1
1400003670101,1
1400003670102,1
1400003670103,1
1400003670104,1
1400003670105,1
1400003670201,1
1400003670202,1
1400003670203,1
1400003670204,1
1400003670205,1
1400003670206,1
1400003670207,1
1400003690101,1
1400003690102,1
1400003690103,1
1400003690104,1
1400003690105,1
1400003690106,1
1400003690201,1
1400003690202,1
1400003690401,1
1400003690402,1
1400003740101,1
1400003740102,1
1400003740103,1
1400003740104,1
1400003740201,1
1400003740202,1
