value,count
<NULL>,107351
469,843
1682,588
1421,579
1437,554
1439,532
1436,501
1435,495
2064,479
2062,477
2316,433
1780,421
1438,411
1427,400
2244,378
238,354
1422,348
1773,328
1425,322
2102,321
1992,318
1320,314
1400,314
2122,300
1455,294
1411,292
1622,288
1410,280
1272,279
1777,275
1220,275
1432,271
1454,268
1443,256
398,249
1423,246
1419,246
1765,245
1424,241
1426,239
1429,222
1778,218
1428,218
216,216
1417,215
656,214
354,213
2146,213
2583,211
1418,209
1779,208
1442,208
1599,207
2024,207
1292,198
1416,196
2395,195
1434,195
2087,194
1790,191
2117,189
2093,187
2907,179
1774,176
1449,176
1465,172
1420,169
2023,167
1598,165
1763,164
733,163
1683,162
1600,162
2085,158
2069,157
1413,156
1456,155
2742,152
855,151
2025,150
519,148
1771,147
119,141
1788,134
1253,129
1603,128
208,126
1336,124
1441,124
1685,123
204,122
2063,122
1461,122
1686,122
816,120
2039,118
206,115
1684,115
1481,115
399,114
244,112
2037,112
2920,111
1605,111
1775,107
292,106
287,105
1274,105
1986,103
2317,102
839,102
1431,102
510,101
266,101
202,101
2128,100
2914,100
1930,98
214,97
737,97
2911,97
77,96
2902,96
2129,96
1301,95
2378,94
1759,94
545,93
203,93
885,93
239,92
1457,91
2921,90
1579,90
1385,89
680,89
2513,88
602,88
1430,88
2114,87
346,86
303,85
212,85
655,84
1013,83
180,82
658,82
1672,81
862,80
740,79
235,79
201,79
543,77
2913,76
96,76
1459,76
1448,76
1681,76
2906,75
2013,75
2141,75
1597,75
1322,74
2150,73
2135,73
542,72
1458,72
2526,72
2149,72
350,71
1596,71
2293,70
1899,70
1766,69
2176,69
2091,69
1003,68
1932,68
1474,68
1787,68
1625,68
1493,68
220,67
2131,66
241,66
2086,66
1446,66
1337,65
2524,65
1789,65
421,64
1362,64
11,63
352,63
230,63
2118,63
1822,63
1409,63
504,62
617,62
1914,62
1546,62
2088,62
1262,61
100,61
1415,61
2119,60
834,60
892,60
1128,59
2002,59
735,58
1219,58
2134,58
1445,58
1433,58
512,56
2865,56
841,55
2919,55
1743,55
2535,54
2331,54
442,54
1444,54
513,53
472,53
222,53
734,53
1375,52
1054,52
19,52
1812,52
1687,52
2095,52
1462,52
1776,51
874,51
712,51
402,51
1015,51
1782,51
490,50
361,50
218,50
122,50
32,50
2046,50
2020,50
1762,50
541,49
2630,49
739,49
671,49
1463,49
2826,49
1880,49
1382,48
286,48
1851,48
341,47
2403,47
2301,47
1783,47
1688,47
115,46
1010,46
1494,46
1607,46
1469,46
536,45
2499,45
2079,45
842,45
1121,45
124,45
1568,45
1500,45
1767,45
1867,44
419,44
625,44
616,44
657,44
1478,44
2103,44
2604,43
330,43
1700,43
1497,43
81,42
711,42
309,42
890,42
1659,42
237,42
1590,42
1583,42
2225,42
2265,41
1248,41
1324,41
1582,41
1549,41
1541,41
652,40
544,40
316,40
1207,40
960,40
546,40
1910,40
1414,40
1578,40
1589,40
522,39
1231,39
380,39
125,39
1124,39
1811,39
2676,39
376,38
383,38
211,38
1326,38
478,38
2486,38
1764,38
1620,38
1595,38
2065,38
1619,38
2380,38
1569,38
377,37
1381,37
835,37
2270,37
2623,37
2618,37
2578,37
2560,37
1691,37
520,36
353,36
1325,36
2899,36
1002,36
1871,36
2915,36
1584,36
2672,36
2580,36
297,35
727,35
2090,35
1195,34
1921,34
430,34
2098,34
1330,33
2049,33
368,33
1757,33
880,33
807,33
101,33
893,33
1994,33
1823,33
2192,33
343,32
2495,32
267,32
465,32
1612,32
2189,32
2361,32
2127,32
1630,32
2431,31
1239,31
1988,31
200,31
1050,31
1356,31
1159,31
1108,31
1269,31
2824,31
2616,30
613,30
329,30
666,30
709,30
207,30
1102,30
2928,30
1250,30
1918,30
1588,30
1660,29
521,29
404,29
1313,29
705,29
41,29
2568,29
745,29
908,29
1197,29
1318,29
1284,29
236,29
1803,29
1881,29
2111,29
2030,29
1585,29
1464,29
1938,29
348,28
209,28
2584,28
911,28
2393,28
618,28
1960,28
1467,28
1885,28
2228,28
1892,28
728,27
47,27
724,27
915,27
723,27
1062,27
2823,27
225,27
2383,27
464,27
2320,27
1827,27
2067,27
2721,27
2014,27
2092,27
2414,27
2003,27
535,26
1664,26
463,26
518,26
1023,26
1018,26
1120,26
1389,26
1623,26
2864,26
1931,26
1729,26
2280,26
2381,26
1408,26
1915,26
1849,26
506,25
384,25
894,25
766,25
277,25
2282,25
703,25
1372,25
2612,25
537,25
2872,25
2297,25
1939,25
574,25
1944,25
2042,25
1697,25
378,24
860,24
205,24
1157,24
2133,24
1339,24
1548,24
2922,24
2917,24
108,24
1473,24
1499,24
1865,24
1491,24
1894,24
1989,24
358,23
2089,23
854,23
966,23
1179,23
233,23
1192,23
271,23
291,23
1813,23
1393,23
221,23
460,23
2850,23
1772,23
575,23
2140,23
1643,23
2494,23
367,22
1604,22
397,22
1251,22
2276,22
937,22
189,22
106,22
1017,22
971,22
1107,22
883,22
126,22
2,22
507,22
1923,22
1487,22
2216,22
2153,22
2585,22
559,22
2300,22
1490,22
2143,22
2746,22
2502,22
2659,22
538,21
540,21
832,21
1058,21
335,21
219,21
725,21
704,21
1181,21
1165,21
1245,21
1346,21
349,21
1891,21
2130,21
224,21
432,21
2181,21
2125,21
1913,21
1830,21
2099,21
1674,21
1626,21
2139,21
1550,21
1701,21
1761,21
2558,20
276,20
213,20
1259,20
2021,20
2288,20
649,20
633,20
290,20
228,20
859,20
1151,20
1285,20
2313,20
1186,20
299,20
2643,20
2028,20
1638,20
1593,20
1907,20
1680,20
1032,20
1558,20
1453,20
2124,20
2384,20
2324,19
1361,19
1290,19
876,19
1252,19
255,19
370,19
1114,19
941,19
1227,19
342,19
1310,19
1351,19
2905,19
400,19
2851,19
778,19
1940,19
1012,19
2299,19
1565,19
2752,19
1627,19
1949,19
1606,19
1440,19
2241,19
1617,19
2410,19
2916,19
2104,19
2026,19
1544,19
534,18
2018,18
808,18
256,18
1363,18
1293,18
1039,18
668,18
1981,18
743,18
628,18
1199,18
1327,18
1300,18
2527,18
1360,18
1349,18
2609,18
2287,18
651,18
550,18
2279,18
1601,18
1866,18
1840,18
2052,18
2896,18
1696,18
2909,18
1946,18
539,17
586,17
624,17
667,17
773,17
804,17
1193,17
947,17
1996,17
301,17
1164,17
2894,17
891,17
732,17
907,17
2805,17
1289,17
2372,17
2315,17
1869,17
1412,17
1480,17
2072,17
2007,17
1554,17
310,16
345,16
840,16
44,16
2880,16
989,16
1213,16
1169,16
1094,16
1308,16
1394,16
2388,16
1631,16
1025,16
25,16
295,16
2308,16
360,16
2818,16
1997,16
1581,16
1786,16
2047,16
1447,16
2277,16
2374,16
1483,16
1689,16
1043,16
2586,16
1642,16
1225,16
547,16
2884,16
1751,16
2430,16
355,16
1644,16
1616,16
523,15
1984,15
2590,15
1391,15
853,15
641,15
918,15
24,15
433,15
1101,15
1092,15
660,15
662,15
1388,15
2923,15
281,15
2107,15
1031,15
1966,15
1163,15
650,15
2918,15
1496,15
78,15
217,15
165,15
2100,15
1670,15
2581,15
1968,15
1594,15
2624,15
1868,15
1545,15
2582,15
2471,15
2304,15
1656,15
1677,15
1238,15
524,14
347,14
822,14
615,14
1234,14
50,14
904,14
113,14
409,14
22,14
2601,14
1059,14
676,14
719,14
511,14
2912,14
1342,14
466,14
1978,14
420,14
1000,14
1902,14
454,14
1897,14
1577,14
1524,14
1553,14
2412,14
365,14
1526,14
1985,14
1460,14
1306,14
2515,14
2033,14
2474,14
1649,14
1451,14
1468,14
296,13
305,13
644,13
932,13
1170,13
1279,13
909,13
1147,13
2319,13
1340,13
298,13
580,13
597,13
364,13
413,13
2247,13
3061,13
1011,13
338,13
994,13
1302,13
1533,13
1678,13
1926,13
1893,13
564,13
2479,13
1964,13
2622,13
1621,13
1486,13
2066,13
1806,13
2113,13
1745,13
1665,13
2070,13
2056,13
1744,13
2511,13
2478,13
1810,13
1484,13
2264,13
1725,13
431,12
687,12
13,12
1,12
1371,12
603,12
653,12
661,12
800,12
921,12
1129,12
643,12
830,12
53,12
798,12
21,12
123,12
23,12
1174,12
809,12
2852,12
150,12
861,12
958,12
136,12
590,12
605,12
1111,12
593,12
531,12
631,12
62,12
502,12
294,12
198,12
2925,12
356,12
2283,12
1294,12
2281,12
2765,12
1404,12
1470,12
482,12
2159,12
2239,12
1576,12
2336,12
2175,12
2491,12
2903,12
2518,12
1675,12
1722,12
1519,12
2729,12
2835,11
427,11
459,11
677,11
317,11
492,11
757,11
950,11
852,11
1359,11
736,11
1046,11
789,11
1068,11
14,11
1257,11
300,11
64,11
121,11
260,11
481,11
1113,11
1185,11
2105,11
833,11
247,11
2673,11
801,11
193,11
2356,11
1883,11
1057,11
1982,11
187,11
1937,11
2038,11
1882,11
2009,11
2646,11
1857,11
2716,11
2407,11
1948,11
1845,11
2219,11
1535,11
1523,11
468,11
1586,11
1534,11
2557,11
1657,11
2041,11
1741,11
2358,11
1008,11
2655,11
581,10
552,10
357,10
474,10
439,10
2295,10
571,10
16,10
191,10
1024,10
1662,10
813,10
612,10
875,10
313,10
995,10
1135,10
1218,10
1130,10
2398,10
2054,10
190,10
134,10
