value,count
<NULL>,76043
11001,20014
51059,9446
24031,8768
24510,5973
24005,5363
24033,5344
24003,5316
51013,4690
24027,3195
51107,2209
51510,1801
24021,1763
24025,1530
51153,1456
24013,1044
24037,991
24043,821
24017,748
24045,628
51179,484
24009,406
51177,362
24047,355
51600,348
51683,347
24001,332
51061,297
24015,287
51630,273
24041,268
51099,215
51610,195
54037,192
10003,163
24039,150
24035,124
24019,98
24023,98
24011,93
24029,90
51685,87
51001,75
54003,60
42055,57
10005,57
51069,50
51043,45
42133,37
51840,33
54057,28
42001,25
42029,21
42045,20
42091,20
42000,19
51087,18
10001,17
51760,16
36061,15
51187,15
51137,14
10000,13
13067,12
36067,12
51033,12
42009,11
36103,10
34015,8
51041,8
51157,7
51047,7
36000,7
42071,6
26000,6
39099,5
51820,5
42043,5
42101,5
45057,5
42041,5
51175,5
29000,5
51680,5
28047,5
48000,5
51057,5
27000,5
54000,5
34001,4
37065,4
54061,4
29073,4
51003,4
34021,3
6000,3
51053,3
27053,2
42125,2
54027,2
12000,2
53000,2
41000,2
51149,2
51121,2
17000,2
51085,2
39000,2
36083,1
