value,count
<NULL>,94425
3021,835
283,588
22,579
1496,556
38,554
40,532
1501,520
37,501
36,495
664,479
662,477
916,433
381,421
1472,421
39,411
28,400
3376,392
3013,384
844,378
3089,356
23,348
374,328
26,322
702,321
592,318
2991,314
1,314
1478,305
722,300
2984,297
56,294
12,292
223,288
1592,288
3025,282
11,280
378,275
33,271
55,268
44,256
24,246
20,246
366,245
3091,241
25,241
27,239
1475,235
1739,233
30,222
3036,219
379,218
29,218
18,215
1415,213
746,213
1183,211
19,209
380,208
43,208
200,207
624,207
2089,198
17,196
995,195
35,195
687,194
391,191
717,189
1689,187
693,187
1556,185
2922,179
2388,176
375,176
50,176
1416,173
66,172
21,169
623,167
199,165
364,164
1846,163
284,162
201,162
1868,162
2112,160
685,158
669,157
3423,157
14,156
57,155
1842,153
1342,152
1972,151
625,150
3254,149
2969,148
372,147
1579,146
1628,145
1499,143
1843,143
2807,143
1730,139
1740,138
1865,138
2986,134
389,134
3027,133
1594,133
2989,132
204,128
1750,128
2982,127
1692,126
1637,126
2123,125
1493,125
42,124
286,123
3028,122
1537,122
663,122
62,122
287,122
639,118
1742,117
1688,116
285,115
82,115
1591,114
3093,113
1743,113
637,112
2935,111
206,111
3030,110
3096,109
3005,109
1511,109
3037,107
376,107
3077,106
1507,105
586,103
917,102
1480,102
32,102
1492,102
1473,102
3633,101
728,100
2929,100
3026,99
3468,99
530,98
2269,98
3101,97
2926,97
2917,96
729,96
1837,95
978,94
360,94
1600,93
3071,93
3012,91
58,91
3029,90
2936,90
180,90
1113,88
31,88
1853,88
1457,88
714,87
3244,86
1414,86
3004,85
1965,84
3441,84
1902,84
3241,83
1845,83
1973,83
1650,81
2977,81
273,81
1640,81
2630,81
1601,81
1746,80
2382,80
2383,79
1869,79
2928,76
3016,76
3102,76
60,76
49,76
282,76
2921,75
613,75
741,75
1798,75
1517,75
198,75
1879,74
1920,73
1731,73
750,73
735,73
1565,73
59,72
1126,72
749,72
1593,72
197,71
893,70
1728,70
3256,70
499,70
2357,70
1847,70
1675,70
367,69
776,69
691,69
1773,69
2995,68
532,68
75,68
388,68
1681,68
2351,68
226,68
94,68
1855,67
2635,67
1854,66
731,66
686,66
1821,66
47,66
1124,65
390,65
3057,64
2970,64
1737,64
1966,64
718,63
422,63
10,63
3035,62
514,62
3133,62
147,62
688,62
3269,61
3002,61
2032,61
16,61
3158,61
719,60
1604,60
2384,60
2637,60
3031,59
2595,59
602,59
3631,59
1485,59
1460,59
2678,59
1633,58
734,58
1900,58
46,58
3381,58
34,58
3008,57
3024,57
1832,57
3271,56
2880,56
1800,56
1703,56
3538,56
3034,55
2934,55
2069,55
344,55
1135,54
931,54
3070,54
45,54
1645,54
3454,54
3087,53
3340,53
2754,53
412,52
288,52
1969,52
3185,52
695,52
63,52
3019,51
377,51
1770,51
3580,51
383,51
1413,51
3050,50
646,50
620,50
1938,50
2119,50
363,50
3018,49
1230,49
64,49
1727,49
1741,49
2841,49
480,49
1849,49
451,48
1725,48
3074,47
3003,47
3060,47
1003,47
901,47
384,47
1477,47
2347,47
1841,47
289,47
3295,46
3023,46
95,46
1631,46
208,46
2632,46
1421,46
70,46
3475,46
2304,46
1099,45
679,45
169,45
1682,45
101,45
368,45
467,44
79,44
1704,44
1502,44
2349,44
703,44
2275,44
1204,43
301,43
98,43
1840,43
1632,43
260,42
1598,42
2004,42
191,42
184,42
825,42
3072,41
865,41
2976,41
2994,41
183,41
1665,41
150,41
1642,41
3379,41
142,41
2006,41
510,40
15,40
1870,40
179,40
1738,40
1608,40
2324,40
3439,40
1726,40
190,40
3068,39
2958,39
3075,39
411,39
3184,39
1809,39
3675,39
1683,39
1276,39
3151,39
3090,38
3047,38
1086,38
365,38
3665,38
221,38
196,38
665,38
1638,38
220,38
980,38
3634,38
170,38
2988,37
870,37
1223,37
1218,37
1178,37
1160,37
1795,37
3477,37
292,37
3575,37
2326,37
1779,37
1873,37
3265,36
2914,36
2979,36
471,36
2930,36
185,36
3387,36
2345,36
2270,36
1272,36
1180,36
1508,35
1901,35
2329,35
690,35
1532,35
2631,35
1753,35
3152,35
1651,35
1859,35
3078,34
521,34
3062,34
698,34
3176,34
1823,34
2223,34
1690,34
2267,34
649,33
358,33
2999,33
3270,33
594,33
423,33
1817,33
3435,33
3292,33
792,33
1095,32
1667,32
213,32
1767,32
789,32
2040,32
961,32
1805,32
727,32
3378,32
231,32
2368,32
1814,32
3046,31
3045,31
1031,31
2980,31
588,31
3276,31
2960,31
3443,31
1833,31
1851,31
2406,31
2034,31
2839,31
1216,30
2943,30
518,30
2389,30
1732,30
2758,30
3161,30
3290,30
189,30
3107,29
261,29
2985,29
3666,29
1168,29
2975,29
1744,29
403,29
481,29
711,29
2598,29
630,29
1590,29
186,29
65,29
2537,29
3296,29
2539,29
1981,29
538,29
1184,28
3053,28
993,28
1639,28
560,28
2272,28
1407,28
2013,28
1796,28
68,28
1674,28
485,28
1586,28
828,28
492,28
1486,28
2737,28
3565,28
2380,28
1405,28
2278,28
1755,27
3009,27
2993,27
2838,27
983,27
920,27
1939,27
2809,27
427,27
667,27
1321,27
614,27
692,27
1769,27
1014,27
1589,27
603,27
2144,27
265,26
2983,26
1563,26
224,26
2879,26
531,26
330,26
1487,26
3287,26
880,26
981,26
3167,26
2289,26
9,26
515,26
449,26
3094,25
3255,25
882,25
1212,25
2887,25
897,25
539,25
3109,25
2776,25
2177,25
2036,25
544,25
2624,25
3312,25
1627,25
3442,25
642,25
3657,25
298,25
1597,25
2415,25
733,24
149,24
2937,24
2932,24
74,24
1986,24
1752,24
2115,24
1959,24
1978,24
1514,24
3188,24
100,24
1412,24
2602,24
465,24
92,24
494,24
2116,24
589,24
2325,24
3293,24
1685,24
2323,24
689,23
3073,23
3250,23
413,23
3368,23
3067,23
2865,23
1569,23
1706,23
2073,23
1676,23
1553,23
373,23
3108,23
740,23
244,23
3392,23
1729,23
2332,23
1094,23
2559,23
2968,22
205,22
876,22
3237,22
523,22
3097,22
88,22
816,22
753,22
1787,22
1185,22
2279,22
1960,22
1458,22
900,22
91,22
743,22
1346,22
1102,22
3576,22
1259,22
2997,21
491,21
730,21
781,21
3052,21
2117,21
725,21
1792,21
3352,21
1797,21
1983,21
3398,21
3669,21
1824,21
1525,21
1417,21
513,21
430,21
699,21
1679,21
2138,21
1564,21
275,21
227,21
1700,21
739,21
151,21
302,21
1858,21
362,21
1158,20
3088,20
2992,20
3040,20
621,20
888,20
913,20
1243,20
2226,20
2302,20
628,20
239,20
194,20
