value,count
<NULL>,78730
10700,2482
6202,2126
5800,2015
10200,1634
10100,1530
10800,1200
40100,1028
480202,982
980100,915
10600,905
103402,811
999999,807
5900,804
740603,728
7200,708
705000,635
807200,618
10500,584
490103,553
101603,523
606707,520
702500,495
200702,481
751200,435
408400,421
60400,413
701205,400
5500,396
875801,392
605102,384
740102,382
700817,374
7301,362
201900,362
704804,359
482203,357
802405,343
701509,343
100,335
306500,333
701007,320
700901,302
2302,298
400,295
482501,295
5600,285
40200,282
700829,281
701216,273
101403,267
471202,264
701219,257
807102,255
701211,254
702402,249
980000,249
751003,248
806712,247
605402,245
481202,238
101702,235
751201,234
4702,233
482202,226
101802,225
103502,225
980200,219
440502,217
10400,210
490605,207
702701,203
416200,198
101401,197
200,187
611020,186
706101,185
200104,185
421900,182
260605,178
120202,176
460501,175
901100,175
5301,174
801104,174
201,172
202,171
10300,169
491703,162
611002,159
110200,158
201801,158
440202,158
507602,155
500,153
101500,153
401102,151
704805,151
851002,149
602302,148
480902,144
220100,140
605602,140
492500,139
901409,139
1002,136
440201,136
611601,136
750200,135
404101,133
430400,133
875500,133
1100,130
10201,130
482400,129
750600,129
807404,128
490101,128
481101,128
803514,127
102301,126
704806,126
280500,124
490900,122
807408,121
460400,121
805908,120
450100,119
260501,118
300200,118
606905,116
30200,116
1001,116
20300,114
750801,112
280101,111
461202,111
481900,111
610505,110
70400,108
490703,108
452501,108
930302,107
900403,107
751102,106
705602,106
450601,106
402407,104
860702,104
440701,104
801404,104
901,104
701421,103
803602,103
610400,102
700904,102
491701,101
601203,101
910402,101
480802,101
170200,100
408100,100
700718,100
451701,98
600,97
440600,96
772200,96
8803,96
1200,95
706600,95
301,95
491702,95
706700,93
500100,93
402603,93
611501,93
700818,93
470500,90
8200,90
4002,90
606803,89
120600,89
700309,88
706500,87
606901,87
850901,87
920200,87
452801,87
700304,86
800605,86
210200,85
750701,85
480903,85
1302,85
507601,84
700722,84
461602,84
9501,84
700105,83
740602,82
602800,81
452400,80
