value,count
138.0,1600
122.0,1529
161.0,1253
155.0,1225
107.0,1202
184.0,1195
124.0,1104
52.0,1076
108.0,1027
40.0,1010
86.0,981
181.0,970
137.0,960
136.0,955
82.0,936
104.014572329425,931
139.0,909
121.0,891
37.0,879
156.0,855
133.0,847
56.0,835
69.0,803
135.0,789
134.0,783
106.0,763
131.0,750
117.0,744
125.0,729
164.0,723
163.0,719
202.0,709
200.0,700
127.0,696
94.0,695
72.0,694
111.0,690
115.0,678
182.0,664
160.0,656
157.0,643
51.0,643
68.0,643
98.0,638
180.0,615
188.0,615
116.0,605
101.0,604
100.0,584
237.0,581
76.0,581
126.0,570
147.441509362385,565
104.0,558
99.0,556
78.0,552
192.0,537
71.0,522
308.0,515
349.0,515
102.0,514
141.0,514
81.0,498
91.0,491
94.965550303612,486
132.0,482
175.0,480
120.0,478
83.0,471
159.0,466
128.0,462
162.0,459
64.0,452
75.0,449
184.967647502802,445
203.0,443
232.0,437
307.0,429
314.0,420
65.0,417
48.4638805828061,412
115.982471276874,411
189.0,410
31.0,405
166.0,402
297.0,401
244.0,399
61.0,397
158.0,395
243.0,394
143.0,393
244.617232830511,391
95.0,385
219.0,384
77.0,383
170.0,379
93.0,377
50.0,370
150.0,366
103.0,365
207.0,365
204.0,362
195.0,361
194.0,357
160.023949107681,356
59.0,355
53.0,351
144.0,350
47.0,349
73.0,348
178.0,347
41.0,345
100.607362931947,341
142.0,341
112.0,341
43.0,338
58.0,335
225.0,334
178.436277392095,333
305.0,332
165.0,328
133.612035607087,327
296.0,327
256.0,326
322.0,322
97.0,318
206.0,317
119.0,314
214.0,313
343.627832863553,311
179.0,308
28.0,308
99.9725389734308,306
80.0,305
39.0,304
123.0,302
193.0,302
46.0,297
89.7364495717512,296
77.1010122832118,289
107.520669674879,288
63.1957718042061,288
113.0,287
118.0,281
174.0,279
54.0,278
196.0,277
67.0,275
152.0,272
298.0,271
260.0,269
358.0,268
185.0,264
213.0,264
300.0,263
264.945971217633,262
231.0,262
147.175394813201,260
62.0,260
60.0,258
151.0,257
171.0,255
179.647705414522,253
88.6982254119212,252
147.562761070152,252
146.102243641769,251
177.0,247
354.0,246
368.0,246
87.0,245
401.0,243
30.5284291910037,241
168.167782593223,235
343.0,235
282.0,235
119.727116506054,230
328.0,229
309.0,228
253.46503862502,227
34.7074825370036,226
176.424400094242,226
145.0,226
79.0,225
205.0,224
266.0,223
348.0,223
29.0,222
49.7070681962147,221
223.0,220
96.5756950311664,219
227.0,219
230.0,219
275.658117414927,218
241.456653336874,218
57.0,218
359.0,217
53.396637555428,214
59.2791500325225,214
196.721280613564,213
388.0,213
299.0,213
129.0,212
166.709919877979,209
344.0,209
38.0,208
74.0,207
236.0,204
55.0,204
167.0,204
149.0,203
114.0,203
400.0,202
119.891979584759,201
70.7066928884425,201
34.0,201
265.0,200
109.0,199
284.568332567977,197
193.235425537043,197
502.0,196
173.0,196
143.236150322261,195
69.0594854367682,195
102.064202169284,193
249.012203494584,193
399.0,193
321.0,193
49.0,193
100.113369570462,190
233.0,190
115.268095992554,189
431.0,188
149.4577680479,187
110.127182427189,183
48.0,183
34.7624234948834,182
264.0,182
289.0,178
32.0,178
374.0,177
190.0,177
191.0,177
222.425760047331,176
155.749566845603,175
63.0,174
114.3198973411,173
306.0,172
199.0,172
208.0,170
146.0,169
105.0,169
81.1300410146626,168
264.626849165087,167
118.618076193051,166
60.1786781289394,166
120.232513829917,166
320.0,166
447.0,165
277.0,165
427.0,164
228.433726463697,163
30.0371849525475,163
355.0,163
262.522646041823,162
186.979332690504,162
63.192332057616,162
25.1485023902903,161
375.738297485255,160
212.0,159
26.3860392498032,158
96.1397207040125,157
245.0,157
130.0,157
193.61283815411,156
417.0,156
275.0,155
535.0,154
37.4976033015304,153
391.0,153
49.2128999374246,153
138.057396360716,152
353.0,152
25.0,152
46.7201994122159,151
32.3929189046748,151
89.0,151
341.104586394455,150
195.27605856236,150
351.0,149
46.9672632381394,148
337.0,148
110.0,147
24.0691250448579,146
152.411431105157,146
211.509882051071,146
150.721169622798,145
179.415682898538,145
354.295730104289,145
65.3259591693465,145
13.2954308682899,145
63.0346998023202,144
302.651017951618,144
369.0,144
79.6041715216555,144
90.0348708634327,143
307.375293377707,143
852.0,143
96.9773885262693,142
133.84333994361,142
422.0,141
138.115796886603,140
186.90560517562,140
319.0,140
611.0,140
64.5806789019735,139
230.290022527449,139
376.337802873968,138
243.324317534282,138
90.0,137
50.3995053871283,136
185.726246600973,136
240.92737033884,135
443.0,135
176.0,135
490.1989437769,134
395.0,134
152.536769935346,132
202.252036406353,132
235.0,132
114.024101330938,131
173.836340401389,128
280.0,128
255.943697927394,127
18.4019400833739,127
92.0,127
231.054858011558,126
562.0,126
390.0,126
425.0,126
403.884855833089,125
38.6903736323851,125
58.5335251470226,124
49.8357363796465,124
227.021803184386,124
382.0,124
124.816641204048,123
281.0,123
29.0800998425394,123
366.0,123
212.380376281268,122
312.417503656164,122
22.5345080599867,122
226.835260311802,121
387.0,121
289.347282333691,119
675.0,119
74.5605292245162,118
210.355672321032,118
654.0,118
237.818415232292,117
57.257624204089,117
97.2251939755946,117
251.407904723199,117
224.0,116
715.0,114
153.0,114
276.0,113
454.443199843121,112
91.1995644024522,112
251.676512528049,112
211.857612000023,112
248.650493580753,112
64.4786110941888,111
470.880411278806,110
22.884410416265,110
142.280810849794,110
31.5073675967044,109
317.299305284361,109
273.0,109
55.8022600704227,109
249.595614180028,108
53.6870737927479,108
45.0,108
258.722139413503,107
169.0,107
557.481969314052,107
462.0,107
454.0,107
99.738376247166,107
235.066926561579,106
271.0,106
96.0,106
367.0,106
53.4811629142388,104
76.4731438411426,104
124.285281515595,104
327.0,104
236.133713725385,103
148.0,103
1043.0,102
92.3444307848884,101
28.3109477589166,101
80.906060852459,101
277.658550737343,101
50.5463454079886,101
94.8641960383801,101
371.475326389052,101
225.969049373855,101
185.703225607172,100
24.8804411281458,100
21.9046852814838,100
203.352312634434,100
40.4988665659031,100
75.7128777118467,100
252.0,100
418.0,99
226.425849398294,97
98.166625464259,97
85.1919882185227,97
504.0,97
218.0,96
560.540841490894,96
53.4298408771828,95
311.0,95
66.6482461972407,94
177.337227984097,94
481.0,94
1008.0,94
853.0,94
44.0,93
131.733049844091,92
259.0,92
350.0,92
342.0,92
191.202490980795,91
517.518165714548,90
333.744590061714,89
194.320070649769,89
341.0,89
336.0,89
290.0,89
103.998610910082,88
157.023350939002,88
390.793010486533,88
82.5962879234044,88
205.558943399256,87
192.619573432845,87
441.665280858965,87
373.0,87
191.986143661936,86
92.7612635049134,86
278.0,86
345.0,86
323.0,86
20.4547046147881,86
51.382581693507,85
64.0178290836798,85
65.3224034766335,85
160.999534524588,84
153.805376790692,84
193.281985552688,84
268.669217294881,83
335.0,83
21.799689544355,83
239.617009427373,82
167.480643279082,82
482.0,82
550.0,82
46.2114956446796,82
69.9279508894303,81
257.4058449441,81
32.3853568716853,81
35.9523858444907,81
148.579413063012,80
610.311734670269,80
154.782038373341,80
27.2754533011131,80
22.7963482312531,80
106.246378131862,80
638.502700669621,80
34.9681567055766,80
276.383728017621,79
157.100861292485,79
295.0,79
288.0,79
