value,count
138.0,1600
122.0,1529
161.0,1253
155.0,1225
107.0,1202
184.0,1195
124.0,1104
52.0,1076
108.0,1027
40.0,1010
86.0,981
181.0,970
137.0,960
136.0,955
82.0,936
104.0145723,931
139.0,909
121.0,891
37.0,879
156.0,855
133.0,847
56.0,835
69.0,803
135.0,789
134.0,783
106.0,763
131.0,750
117.0,744
125.0,729
164.0,723
163.0,719
202.0,709
200.0,700
127.0,696
94.0,695
72.0,694
111.0,690
115.0,678
182.0,664
160.0,656
157.0,643
51.0,643
68.0,643
98.0,638
180.0,615
188.0,615
116.0,605
101.0,604
100.0,584
237.0,581
76.0,581
126.0,570
147.4415094,565
104.0,558
99.0,556
78.0,552
192.0,537
71.0,522
308.0,515
349.0,515
102.0,514
141.0,514
81.0,498
91.0,491
94.9655503,486
132.0,482
175.0,480
120.0,478
83.0,471
159.0,466
128.0,462
162.0,459
64.0,452
75.0,449
184.9676475,445
203.0,443
232.0,437
307.0,429
314.0,420
65.0,417
48.46388058,412
115.9824713,411
189.0,410
31.0,405
166.0,402
297.0,401
244.0,399
61.0,397
158.0,395
243.0,394
143.0,393
244.6172328,391
95.0,385
219.0,384
77.0,383
170.0,379
93.0,377
50.0,370
150.0,366
103.0,365
207.0,365
204.0,362
195.0,361
194.0,357
160.0239491,356
59.0,355
53.0,351
144.0,350
47.0,349
73.0,348
178.0,347
41.0,345
100.6073629,341
142.0,341
112.0,341
43.0,338
58.0,335
225.0,334
178.4362774,333
305.0,332
165.0,328
133.6120356,327
296.0,327
256.0,326
322.0,322
97.0,318
206.0,317
119.0,314
214.0,313
343.6278329,311
179.0,308
28.0,308
99.97253897,306
80.0,305
39.0,304
123.0,302
193.0,302
46.0,297
89.73644957,296
77.10101228,289
107.5206697,288
63.1957718,288
113.0,287
118.0,281
174.0,279
54.0,278
196.0,277
67.0,275
152.0,272
298.0,271
260.0,269
358.0,268
185.0,264
213.0,264
300.0,263
264.9459712,262
231.0,262
147.1753948,260
62.0,260
60.0,258
151.0,257
171.0,255
179.6477054,253
88.69822541,252
147.5627611,252
146.1022436,251
177.0,247
354.0,246
368.0,246
87.0,245
401.0,243
30.52842919,241
168.1677826,235
343.0,235
282.0,235
119.7271165,230
328.0,229
309.0,228
253.4650386,227
34.70748254,226
176.4244001,226
145.0,226
79.0,225
205.0,224
266.0,223
348.0,223
29.0,222
49.7070682,221
223.0,220
96.57569503,219
227.0,219
230.0,219
275.6581174,218
241.4566533,218
57.0,218
359.0,217
53.39663756,214
59.27915003,214
196.7212806,213
388.0,213
299.0,213
129.0,212
166.7099199,209
344.0,209
38.0,208
74.0,207
236.0,204
55.0,204
167.0,204
149.0,203
114.0,203
400.0,202
119.8919796,201
70.70669289,201
34.0,201
265.0,200
109.0,199
284.5683326,197
193.2354255,197
502.0,196
173.0,196
143.2361503,195
69.05948544,195
102.0642022,193
249.0122035,193
399.0,193
321.0,193
49.0,193
100.1133696,190
233.0,190
115.268096,189
431.0,188
149.457768,187
110.1271824,183
48.0,183
34.76242349,182
264.0,182
289.0,178
32.0,178
374.0,177
190.0,177
191.0,177
222.42576,176
155.7495668,175
63.0,174
114.3198973,173
306.0,172
199.0,172
208.0,170
146.0,169
105.0,169
81.13004101,168
264.6268492,167
118.6180762,166
60.17867813,166
120.2325138,166
320.0,166
447.0,165
277.0,165
427.0,164
228.4337265,163
30.03718495,163
355.0,163
262.522646,162
186.9793327,162
63.19233206,162
25.14850239,161
375.7382975,160
212.0,159
26.38603925,158
96.1397207,157
245.0,157
130.0,157
193.6128382,156
417.0,156
275.0,155
535.0,154
37.4976033,153
391.0,153
49.21289994,153
138.0573964,152
353.0,152
25.0,152
46.72019941,151
32.3929189,151
89.0,151
341.1045864,150
195.2760586,150
351.0,149
46.96726324,148
337.0,148
110.0,147
24.06912504,146
152.4114311,146
211.5098821,146
150.7211696,145
179.4156829,145
354.2957301,145
65.32595917,145
13.29543087,145
63.0346998,144
302.651018,144
369.0,144
79.60417152,144
90.03487086,143
307.3752934,143
852.0,143
96.97738853,142
133.8433399,142
422.0,141
138.1157969,140
186.9056052,140
319.0,140
611.0,140
64.5806789,139
230.2900225,139
376.3378029,138
243.3243175,138
90.0,137
50.39950539,136
185.7262466,136
240.9273703,135
443.0,135
176.0,135
490.1989438,134
395.0,134
152.5367699,132
202.2520364,132
235.0,132
114.0241013,131
173.8363404,128
280.0,128
255.9436979,127
18.40194008,127
92.0,127
231.054858,126
562.0,126
390.0,126
425.0,126
403.8848558,125
38.69037363,125
58.53352515,124
49.83573638,124
227.0218032,124
382.0,124
124.8166412,123
281.0,123
29.08009984,123
366.0,123
212.3803763,122
312.4175037,122
22.53450806,122
226.8352603,121
387.0,121
289.3472823,119
675.0,119
74.56052922,118
210.3556723,118
654.0,118
237.8184152,117
57.2576242,117
97.22519398,117
251.4079047,117
224.0,116
715.0,114
153.0,114
276.0,113
454.4431998,112
91.1995644,112
251.6765125,112
211.857612,112
248.6504936,112
64.47861109,111
470.8804113,110
22.88441042,110
142.2808108,110
31.5073676,109
317.2993053,109
273.0,109
55.80226007,109
249.5956142,108
53.68707379,108
45.0,108
258.7221394,107
169.0,107
557.4819693,107
462.0,107
454.0,107
99.73837625,107
235.0669266,106
271.0,106
96.0,106
367.0,106
53.48116291,104
76.47314384,104
124.2852815,104
327.0,104
236.1337137,103
148.0,103
1043.0,102
92.34443078,101
28.31094776,101
80.90606085,101
277.6585507,101
50.54634541,101
94.86419604,101
371.4753264,101
225.9690494,101
185.7032256,100
24.88044113,100
21.90468528,100
203.3523126,100
40.49886657,100
75.71287771,100
252.0,100
418.0,99
226.4258494,97
98.16662546,97
85.19198822,97
504.0,97
218.0,96
560.5408415,96
53.42984088,95
311.0,95
66.6482462,94
177.337228,94
481.0,94
1008.0,94
853.0,94
44.0,93
131.7330498,92
259.0,92
350.0,92
342.0,92
191.202491,91
517.5181657,90
333.7445901,89
194.3200706,89
341.0,89
336.0,89
290.0,89
103.9986109,88
157.0233509,88
390.7930105,88
82.59628792,88
205.5589434,87
192.6195734,87
441.6652809,87
373.0,87
191.9861437,86
92.7612635,86
278.0,86
345.0,86
323.0,86
20.45470461,86
51.38258169,85
64.01782908,85
65.32240348,85
160.9995345,84
153.8053768,84
193.2819856,84
268.6692173,83
335.0,83
21.79968954,83
239.6170094,82
167.4806433,82
482.0,82
550.0,82
46.21149564,82
69.92795089,81
257.4058449,81
32.38535687,81
35.95238584,81
148.5794131,80
610.3117347,80
154.7820384,80
27.2754533,80
22.79634823,80
106.2463781,80
638.5027007,80
34.96815671,80
276.383728,79
157.1008613,79
295.0,79
288.0,79
93.92802399,78
253.0,78
365.4634108,77
305.4820649,77
772.0,77
515.0,77
220.0,77
164.7811355,76
79.55502426,76
90.86516364,76
85.17777132,76
23.0,76
129.4549545,75
151.7434388,75
229.9372264,75
136.4552954,75
141.0548965,75
407.1221224,75
33.53830461,75
114.5131305,74
198.3736496,73
90.80553611,73
254.0,73
75.95084141,73
412.7655522,72
238.0525814,72
40.5942947,72
370.6610371,72
98.06185477,72
234.0,72
392.9372697,72
161.8325089,71
56.71488017,71
396.0911058,71
24.69988756,71
41.20078432,71
53.79767857,71
83.86475227,70
105.5045569,70
