value,count
<NULL>,39759
2015.0,10987
2016.0,10669
2014.0,10403
2017.0,10224
2013.0,9789
2012.0,9111
2011.0,7501
2010.0,6935
2008.0,6159
2007.0,5689
2009.0,5181
2006.0,4973
2018.0,4897
2005.0,4345
2004.0,4262
2003.0,2895
2002.0,2273
2001.0,1667
2000.0,1419
1999.0,961
1998.0,819
1997.0,498
2019.0,467
1995.0,341
1996.0,311
1993.0,147
1994.0,114
1992.0,107
1991.0,82
1988.0,67
1990.0,64
1980.0,42
1989.0,41
1984.0,25
1987.0,14
1986.0,8
1903.0,6
1907.0,6
1913.0,5
1910.0,5
1982.0,4
1985.0,4
1979.0,3
1965.0,3
1966.0,2
1917.0,2
1983.0,2
1972.0,1
1970.0,1
