state_code,fhwa_station_id,station_id,direction,latitude,longitude,f_system,num_lanes_volume,station_location,posted_route_signing,posted_signed_route,year_record,source_file
24,0P0001,P0001,1,39.57953,-78.967222,4R,1,.07 MI SOUTH OF BRODIE RD,3,36,17,Station_Data_Extract_Pipe_Delimited_CleanData_2017.txt
24,0P0001,P0001,1,39.579464,-78.96723,4R,1,MD 36 - 100ft South of George's Creek Bridge (ATR#,3,36,18,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0001,P0001,1,39.57953,-78.967222,4R,1,MD 36 - 100ft South of George's Creek Bridge (ATR#,3,36,19,Station_Data_Extract_Pipe_Delimited_CleanData_2019.txt
24,0P0001,P0001,5,39.57953,-78.967222,4R,1,.07 MI SOUTH OF BRODIE RD,3,36,17,Station_Data_Extract_Pipe_Delimited_CleanData_2017.txt
24,0P0001,P0001,5,39.579464,-78.96723,4R,1,MD 36 - 100ft South of George's Creek Bridge (ATR#,3,36,18,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0001,P0001,5,39.57953,-78.967222,4R,1,MD 36 - 100ft South of George's Creek Bridge (ATR#,3,36,19,Station_Data_Extract_Pipe_Delimited_CleanData_2019.txt
24,0P0002,P0002,1,39.650902,-77.78933,4R,1,.58 MI EAST OF MD 63,2,40,17,Station_Data_Extract_Pipe_Delimited_CleanData_2017.txt
24,0P0002,P0002,1,39.650902,-77.78933,4R,1,.58 MI EAST OF MD 63,2,40,18,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0002,P0002,3,39.650902,-77.78933,4R,1,.58 MI EAST OF MD 63,2,40,17,Station_Data_Extract_Pipe_Delimited_CleanData_2017.txt
24,0P0002,P0002,3,39.650902,-77.78933,3U,1,US 40 - .58 Mile East of MD 63 (ATR#02),2,40,18,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0002,P0002,3,39.650902,-77.78933,3U,1,US 40 - .58 Mile East of MD 63 (ATR#02),2,40,19,Station_Data_Extract_Pipe_Delimited_CleanData_2019.txt
24,0P0002,P0002,7,39.650902,-77.78933,4R,1,.58 MI EAST OF MD 63,2,40,17,Station_Data_Extract_Pipe_Delimited_CleanData_2017.txt
24,0P0002,P0002,7,39.650902,-77.78933,3U,1,US 40 - .58 Mile East of MD 63 (ATR#02),2,40,18,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0002,P0002,7,39.650902,-77.78933,3U,1,US 40 - .58 Mile East of MD 63 (ATR#02),2,40,19,Station_Data_Extract_Pipe_Delimited_CleanData_2019.txt
24,0P0003,P0003,1,39.45614,-77.53622,5R,1,.33 MI N OF PETE WILES RD,3,17,17,Station_Data_Extract_Pipe_Delimited_CleanData_2017.txt
24,0P0003,P0003,1,39.45614,-77.53622,5R,1,MD 17 - 1.05 Miles North of US 40AL (ATR#03),3,17,18,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0003,P0003,1,39.45614,-77.53622,5R,1,MD 17 - 1.05 Miles North of US 40AL (ATR#03),3,17,19,Station_Data_Extract_Pipe_Delimited_CleanData_2019.txt
24,0P0003,P0003,5,39.45614,-77.53622,5R,1,.33 MI N OF PETE WILES RD,3,17,17,Station_Data_Extract_Pipe_Delimited_CleanData_2017.txt
24,0P0003,P0003,5,39.45614,-77.53622,5R,1,MD 17 - 1.05 Miles North of US 40AL (ATR#03),3,17,18,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
