requested_station_id,report_station_id,location,start_date,end_date,day_of_week,duration,report_type_id,count_id,source,report_record_id,report_source,report_values,report_options,itms_station_url
B010015,S2016010133,MD 736 at Park Ave/Alley 33/Bowery St,2018-02-13,2018-02-13,Tuesday,24 Hr,17,1442162,SHA,1201443,Summary,TurningMovement.rpt|TurningMovementDetail.rpt|TurningMovementVolume.rpt|TurningVolumeDetail.rpt,"[{""label"": ""Turning Movement"", ""value"": ""TurningMovement.rpt""}, {""label"": ""Turning Movement Detail"", ""value"": ""TurningMovementDetail.rpt""}, {""label"": ""Turning Movement Volume"", ""value"": ""TurningMovementVolume.rpt""}, {""label"": ""Turning Movement Volume Detail"", ""value"": ""TurningVolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B010015
B010019,S2014010058,S CENTRE ST at SALEM ST/RAMP 1 TO RAMP 8 (TO IS 68 WB),2018-10-30,2018-10-30,Tuesday,24 Hr,17,1471717,SHA,1221329,Summary,TurningMovement.rpt|TurningMovementDetail.rpt|TurningMovementVolume.rpt|TurningVolumeDetail.rpt,"[{""label"": ""Turning Movement"", ""value"": ""TurningMovement.rpt""}, {""label"": ""Turning Movement Detail"", ""value"": ""TurningMovementDetail.rpt""}, {""label"": ""Turning Movement Volume"", ""value"": ""TurningMovementVolume.rpt""}, {""label"": ""Turning Movement Volume Detail"", ""value"": ""TurningVolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B010019
B010025,S2018010248,WILLIAMS ST #2 at PARK ST,2018-10-30,2018-10-30,Tuesday,24 Hr,17,1471637,SHA,1221327,Summary,TurningMovement.rpt|TurningMovementDetail.rpt|TurningMovementVolume.rpt|TurningVolumeDetail.rpt,"[{""label"": ""Turning Movement"", ""value"": ""TurningMovement.rpt""}, {""label"": ""Turning Movement Detail"", ""value"": ""TurningMovementDetail.rpt""}, {""label"": ""Turning Movement Volume"", ""value"": ""TurningMovementVolume.rpt""}, {""label"": ""Turning Movement Volume Detail"", ""value"": ""TurningVolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B010025
B010025,S2018010245,BALTIMORE ST #2 at PARK ST,2018-10-30,2018-10-30,Tuesday,24 Hr,17,1471700,SHA,1221323,Summary,TurningMovement.rpt|TurningMovementDetail.rpt|TurningMovementVolume.rpt|TurningVolumeDetail.rpt,"[{""label"": ""Turning Movement"", ""value"": ""TurningMovement.rpt""}, {""label"": ""Turning Movement Detail"", ""value"": ""TurningMovementDetail.rpt""}, {""label"": ""Turning Movement Volume"", ""value"": ""TurningMovementVolume.rpt""}, {""label"": ""Turning Movement Volume Detail"", ""value"": ""TurningVolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B010025
B010023,S2018010249,WILLIAMS ST #2 at MARYLAND AVE/WILLIAMS ST (AHEAD),2018-11-29,2018-11-29,Thursday,24 Hr,17,1476441,SHA,1222994,Summary,TurningMovement.rpt|TurningMovementDetail.rpt|TurningMovementVolume.rpt|TurningVolumeDetail.rpt,"[{""label"": ""Turning Movement"", ""value"": ""TurningMovement.rpt""}, {""label"": ""Turning Movement Detail"", ""value"": ""TurningMovementDetail.rpt""}, {""label"": ""Turning Movement Volume"", ""value"": ""TurningMovementVolume.rpt""}, {""label"": ""Turning Movement Volume Detail"", ""value"": ""TurningVolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B010023
B010023,S2018010238,MARYLAND AVE at RAMPS 4&amp;6 TO&amp;FR IS 68 EB/EMILY ST,2018-10-30,2018-10-30,Tuesday,24 Hr,17,1471647,SHA,1221315,Summary,TurningMovement.rpt|TurningMovementDetail.rpt|TurningMovementVolume.rpt|TurningVolumeDetail.rpt,"[{""label"": ""Turning Movement"", ""value"": ""TurningMovement.rpt""}, {""label"": ""Turning Movement Detail"", ""value"": ""TurningMovementDetail.rpt""}, {""label"": ""Turning Movement Volume"", ""value"": ""TurningMovementVolume.rpt""}, {""label"": ""Turning Movement Volume Detail"", ""value"": ""TurningVolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B010023
B010034,S2019010005,CENTER ST at AMERICAN AVE,2019-03-06,2019-03-06,Wednesday,24 Hr,17,1486235,SHA,1229639,Summary,TurningMovement.rpt|TurningMovementDetail.rpt|TurningMovementVolume.rpt|TurningVolumeDetail.rpt,"[{""label"": ""Turning Movement"", ""value"": ""TurningMovement.rpt""}, {""label"": ""Turning Movement Detail"", ""value"": ""TurningMovementDetail.rpt""}, {""label"": ""Turning Movement Volume"", ""value"": ""TurningMovementVolume.rpt""}, {""label"": ""Turning Movement Volume Detail"", ""value"": ""TurningVolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B010034
B010034,S2019010007,CENTER ST at COLLEGE AVE,2019-03-06,2019-03-06,Wednesday,24 Hr,17,1486236,SHA,1229641,Summary,TurningMovement.rpt|TurningMovementDetail.rpt|TurningMovementVolume.rpt|TurningVolumeDetail.rpt,"[{""label"": ""Turning Movement"", ""value"": ""TurningMovement.rpt""}, {""label"": ""Turning Movement Detail"", ""value"": ""TurningMovementDetail.rpt""}, {""label"": ""Turning Movement Volume"", ""value"": ""TurningMovementVolume.rpt""}, {""label"": ""Turning Movement Volume Detail"", ""value"": ""TurningVolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B010034
B010034,S2019010006,CENTER ST at OAK ST,2019-03-06,2019-03-06,Wednesday,24 Hr,17,1486302,SHA,1229640,Summary,TurningMovement.rpt|TurningMovementDetail.rpt|TurningMovementVolume.rpt|TurningVolumeDetail.rpt,"[{""label"": ""Turning Movement"", ""value"": ""TurningMovement.rpt""}, {""label"": ""Turning Movement Detail"", ""value"": ""TurningMovementDetail.rpt""}, {""label"": ""Turning Movement Volume"", ""value"": ""TurningMovementVolume.rpt""}, {""label"": ""Turning Movement Volume Detail"", ""value"": ""TurningVolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B010034
B010034,S2019010005,CENTER ST at AMERICAN AVE,2019-01-17,2019-01-17,Thursday,24 Hr,17,1480358,SHA,1226834,Summary,TurningMovement.rpt|TurningMovementDetail.rpt|TurningMovementVolume.rpt|TurningVolumeDetail.rpt,"[{""label"": ""Turning Movement"", ""value"": ""TurningMovement.rpt""}, {""label"": ""Turning Movement Detail"", ""value"": ""TurningMovementDetail.rpt""}, {""label"": ""Turning Movement Volume"", ""value"": ""TurningMovementVolume.rpt""}, {""label"": ""Turning Movement Volume Detail"", ""value"": ""TurningVolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B010034
