station_id,date,observed_count,source,fhwa_station_ids,n_direction_lane_records,min_hours_observed,max_hours_observed
P0001,2017-10-01,5314,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-10-02,8271,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-10-03,8289,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-10-04,8598,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-10-05,8566,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-10-06,8911,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-10-07,6595,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-10-08,5152,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-10-09,7613,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-10-10,8449,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-10-11,8048,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-10-12,7949,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-10-13,8781,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-10-14,7090,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-10-15,6197,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-10-16,8012,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-10-17,8406,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-10-18,8606,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-10-19,8547,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-10-20,8911,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-10-21,6936,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-10-22,5639,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-10-23,7956,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-10-24,8381,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-10-25,8229,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-10-26,8256,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-10-27,8843,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-10-28,6377,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-10-29,4701,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-10-30,7798,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-10-31,8340,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-11-01,8121,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-11-02,8285,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-11-03,9013,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-11-04,6280,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-11-06,7831,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-11-07,7741,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-11-08,8066,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-11-09,8017,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-11-10,8314,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-11-11,6073,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-11-12,5101,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-11-13,7829,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-11-14,8427,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-11-15,8227,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-11-16,8364,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-11-17,8435,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-11-18,6111,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-11-19,4980,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-11-20,7842,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-11-21,8299,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-11-22,8348,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-11-23,5610,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-11-24,6871,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-11-25,5869,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-11-26,5219,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-11-27,7170,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-11-28,8016,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-11-29,8166,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-11-30,8076,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-12-01,8663,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-12-02,6478,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-12-03,5238,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-12-04,7995,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-12-05,7829,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-12-06,7933,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-12-07,8119,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-12-08,8212,FHWA_TMAS_CCS_MD,0P0001,2,24,24
P0001,2017-12-09,6135,FHWA_TMAS_CCS_MD,0P0001,2,24,24
