OBJECTID,LOCATION_ID,COUNTY_ID,COUNTY_DESC,MUN_SORT,MUNICIPALITY,ROADNAME,ID_PREFIX,ID_RTE_NO,MP_SUFFIX,ID_MP,BEGIN_SECTION,END_SECTION,STATION_DESC,ROAD_SECTION,RURAL_URBAN,F_SYSTEM,F_SYSTEM_DESC,ROUTEID,ROUTEID_RH,MAIN_LINE,PEAK_HOUR_DIRECTION,NUM_LANES,COUNTED_FACTORED,STMP_SEQ,K_FACTOR,D_FACTOR,NORTH_EAST_SPLIT,SOUTH_WEST_SPLIT,AVMT,LINK,AADT_2010,AADT_2011,AADT_2012,AADT_2013,AADT_2014,AADT_2015,AADT_2016,AADT_2017,AADT_2018,AADT,AAWDT_2010,AAWDT_2011,AAWDT_2012,AAWDT_2013,AAWDT_2014,AAWDT_2015,AAWDT_2016,AAWDT_2017,AAWDT_2018,AAWDT,MOTORCYCLE_AADT,CAR_AADT,LIGHT_TRUCK_AADT,BUS_AADT,SINGLE_UNIT_AADT,COMBINATION_UNIT_AADT,LOC_ERROR,Shape_Length0,TRUCK_AADT,SUTRUCK_AADT_PCT_TRUCK,CUTRUCK_AADT_PCT_TRUCK,MCYCLE_AADT_PCT_OVERALL,CAR_AADT_PCT_OVERALL,LIGHT_TRUCK_AADT_PCT_OVERALL,BUS_AADT_PCT_OVERALL,SUTRUCK_AADT_PCT_OVERALL,CUTRUCK_AADT_PCT_OVERALL,TRUCK_AADT_PCT_OVERALL,NUM_LANES_ANNO,K_FACTOR_ANNO,D_FACTOR_ANNO,NORTH_EAST_SPLIT_ANNO,SOUTH_WEST_SPLIT_ANNO,AADT_2010_ANNO,AADT_2011_ANNO,AADT_2012_ANNO,AADT_2013_ANNO,AADT_2014_ANNO,AADT_2015_ANNO,AADT_2016_ANNO,AADT_2017_ANNO,AADT_2018_ANNO,AADT_ANNO,AAWDT_2010_ANNO,AAWDT_2011_ANNO,AAWDT_2012_ANNO,AAWDT_2013_ANNO,AAWDT_2014_ANNO,AAWDT_2015_ANNO,AAWDT_2016_ANNO,AAWDT_2017_ANNO,AAWDT_2018_ANNO,AAWDT_ANNO,MOTORCYCLE_AADT_ANNO,CAR_AADT_ANNO,BUS_AADT_ANNO,LIGHT_TRUCK_AADT_ANNO,SINGLE_UNIT_AADT_ANNO,COMBINATION_UNIT_AADT_ANNO,TRUCK_AADT_ANNO,Shape.STLength(),_source_layer_title,_source_layer_url,COUNTY,DISTRICT,TSD_ID,OBJECTID_1,COUNTY_FIP,COUNTYNUM,Shape.STArea(),CUTRUCK__AADT_PCT_TRUCK,longitude,latitude,Shape__Length,AADT_2019,AAWDT_2019,AADT_2020,AAWDT_2020,AADT_2021,AAWDT_2021,AADT_2022,AAWDT_2022,GlobalID,AADT_2023,AAWDT_2023
4,B0810,2.0,Anne Arundel,0.0,None,John Hanson Hwy,IS,595.0,  ,2.64,2.15,6.93,Is595-.50 Mi E Of Md424,Md 424 To Is 97,Urban,1.0,Interstate,02000IS00595  01EE**************,02000IS00595--1-----,1.0,East,6.0,F,2.0,8.33,59.3,51.74,48.26,166.0099,https://maps.roads.maryland.gov/itms_public/?stationid=B0810,85820.0,87580.0,87530.0,88321.0,88232.0,82640.0,90180.0,90190.0,94490.0,95151.0,90970.0,92840.0,92780.0,93621.0,92642.0,86770.0,94690.0,93800.0,98270.0,98961.0,260.0,75714.0,12222.0,679.0,2813.0,3463.0,NO ERROR,25131.42806466,6276.0,0.44821542,0.55178458,0.0027325,0.79572469,0.12844847,0.00713603,0.02956354,0.03639478,0.06595832,6,8.33,59.3,51.74,48.26,"85,820","87,580","87,530","88,321","88,232","82,640","90,180","90,190","94,490","95,151","90,970","92,840","92,780","93,621","92,642","86,770","94,690","93,800","98,270","98,961",260,"75,714",679,"12,222","2,813",3463,6276,9847.487805804778,AADT,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/1,,,,,,,,,,,,,,,,,,,,,,
10,S2010020053,2.0,Anne Arundel,0.0,None,Ramp 7 Fr Ramp 2 (fr Md 32 Wb) To Md 170,RP,32.0,  ,0.03,0.0,0.06,Exit 5 Ramp 7 Fr Ramp 2 (fr Md 32 Wb) To Md 170 Sb,Exit 5  Ramp 07 Ramp 2 Fr Md 32 Wb To Md 170 Nb To Telegraph Rd,Urban,2.0,Principal Arterial Other Freeways and Expressways,02000RP00032  02WWMD5         07,02000RP00032--100507,2.0,West,2.0,F,0.0,15.96,100.0,0.0,100.0,0.0351,https://maps.roads.maryland.gov/itms_public/?stationid=S2010020053,1610.0,1621.0,1612.0,1623.0,1624.0,1675.0,1570.0,1611.0,1602.0,1603.0,1720.0,1751.0,1742.0,1753.0,1744.0,1795.0,1680.0,1721.0,1712.0,1703.0,,,,,,,NO ERROR,302.45166555,,,,,,,,,,,2,15.96,100,0,100,"1,610","1,621","1,612","1,623","1,624","1,675","1,570","1,611","1,602","1,603","1,720","1,751","1,742","1,753","1,744","1,795","1,680","1,721","1,712","1,703",N/A,N/A,N/A,N/A,N/A,N/A,N/A,118.69380188766951,AADT,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/1,,,,,,,,,,,,,,,,,,,,,,
24,S2011020262,2.0,Anne Arundel,0.0,None,National Business Pkwy,CO,957.0,  ,-1.0,0.0,1.77,National Business Pkwy - .10 Mile South Of Md 175,National Business Pkwy To Guilford Rd,Urban,5.0,Major Collector,02000CO00957  01SS**************,02000CO00957--1-----,1.0,North,2.0,F,0.0,12.29,80.41,52.22,47.78,9.2611,https://maps.roads.maryland.gov/itms_public/?stationid=S2011020262,,,,,13510.0,13861.0,14122.0,14463.0,14334.0,14335.0,,,,,14460.0,14831.0,15112.0,15333.0,15194.0,15775.0,,,,,,,NO ERROR,9336.34763631,,,,,,,,,,,2,12.29,80.41,52.22,47.78,N/A,N/A,N/A,N/A,"13,510","13,861","14,122","14,463","14,334","14,335",N/A,N/A,N/A,N/A,"14,460","14,831","15,112","15,333","15,194","15,775",N/A,N/A,N/A,N/A,N/A,N/A,N/A,3669.731994787678,AADT,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/1,,,,,,,,,,,,,,,,,,,,,,
31,B0807,2.0,Anne Arundel,0.0,None,Savage Rd,MD,32.0,  ,10.81,10.41,11.46,Md32-.40 Mi N Of Md295,Md 295 To Howard Co/l,Urban,2.0,Principal Arterial Other Freeways and Expressways,02000MD00032  01NN**************,02000MD00032--1-----,1.0,South,5.0,C,1.0,8.81,51.15,49.58,50.42,30.7558,https://maps.roads.maryland.gov/itms_public/?stationid=B0807,69620.0,69901.0,69342.0,70100.0,69891.0,71712.0,77460.0,79321.0,78612.0,80250.0,74490.0,75491.0,74892.0,75710.0,74781.0,76732.0,82880.0,84871.0,84122.0,85070.0,146.0,66006.0,10055.0,404.0,2781.0,858.0,NO ERROR,5474.34466961,3639.0,0.76422094,0.23577906,0.00181931,0.82250467,0.12529595,0.00503427,0.03465421,0.01069159,0.04534579,5,8.81,51.15,49.58,50.42,"69,620","69,901","69,342","70,100","69,891","71,712","77,460","79,321","78,612","80,250","74,490","75,491","74,892","75,710","74,781","76,732","82,880","84,871","84,122","85,070",146,"66,006",404,"10,055","2,781",858,3639,2152.920497499242,AADT,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/1,,,,,,,,,,,,,,,,,,,,,,
79,S2010020049,2.0,Anne Arundel,0.0,None,Ramp 8 Fr Md 32aa To Md 32 Wb,RP,32.0,  ,0.07,0.0,0.15,Exit 3 Ramp 8 Fr Md 32aa To Md 32 Wb ,Exit 3  Ramp 08 Sappington Station Rd To No Name,Urban,2.0,Principal Arterial Other Freeways and Expressways,02000RP00032  02SSMD3         08,02000RP00032--100308,2.0,North,1.0,F,0.0,13.65,100.0,100.0,0.0,0.0796,https://maps.roads.maryland.gov/itms_public/?stationid=S2010020049,1070.0,1071.0,1062.0,1063.0,1064.0,1095.0,1430.0,1461.0,1452.0,1453.0,1150.0,1161.0,1152.0,1153.0,1144.0,1175.0,1530.0,1561.0,1552.0,1543.0,,,,,,,NO ERROR,778.43803252,,,,,,,,,,,1,13.65,100,100,0,"1,070","1,071","1,062","1,063","1,064","1,095","1,430","1,461","1,452","1,453","1,150","1,161","1,152","1,153","1,144","1,175","1,530","1,561","1,552","1,543",N/A,N/A,N/A,N/A,N/A,N/A,N/A,305.6261145401333,AADT,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/1,,,,,,,,,,,,,,,,,,,,,,
96,S2007020018,2.0,Anne Arundel,0.0,None,Ramp 6 Fr Md 32 Eb To Md 295 Sb,RP,295.0,  ,0.2,0.0,0.57,Exit 4 Ramp 6 Fr Md 32 Eb To Md 295 Sb,Exit 4  Ramp 06 Savage Rd To Baltimore Washington Pkwy,Urban,2.0,Principal Arterial Other Freeways and Expressways,02000RP00295  02SSMD4         06,02000RP00295--100406,2.0,South,1.0,F,0.0,9.13,100.0,0.0,100.0,1.8583,https://maps.roads.maryland.gov/itms_public/?stationid=S2007020018,8450.0,8481.0,8412.0,8650.0,8621.0,8852.0,9023.0,9010.0,8931.0,8932.0,9040.0,9161.0,9092.0,9340.0,9221.0,9472.0,9663.0,9640.0,9561.0,9472.0,,,,,,,NO ERROR,3009.28679675,,,,,,,,,,,1,9.13,100,0,100,"8,450","8,481","8,412","8,650","8,621","8,852","9,023","9,010","8,931","8,932","9,040","9,161","9,092","9,340","9,221","9,472","9,663","9,640","9,561","9,472",N/A,N/A,N/A,N/A,N/A,N/A,N/A,1184.6914597996765,AADT,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/1,,,,,,,,,,,,,,,,,,,,,,
103,B2514,2.0,Anne Arundel,0.0,None,Guilford Rd,CO,6107.0,  ,-1.0,0.64,0.71,Guilford Rd-.20 Mi N Of Us1,Brock Bridge Rd To Anne Arundel Co/l,Urban,5.0,Major Collector,02000CO06107  01NN**************,02000CO06107--1-----,1.0,North,4.0,F,0.0,8.83,64.23,49.3,50.7,0.3583,https://maps.roads.maryland.gov/itms_public/?stationid=B2514,15812.0,14880.0,14761.0,14792.0,14753.0,15144.0,15435.0,14150.0,14021.0,14022.0,16922.0,16070.0,15941.0,15982.0,15793.0,16204.0,16535.0,15000.0,14861.0,15422.0,,,,,,,NO ERROR,319.74112362,,,,,,,,,,,4,8.83,64.23,49.3,50.7,"15,812","14,880","14,761","14,792","14,753","15,144","15,435","14,150","14,021","14,022","16,922","16,070","15,941","15,982","15,793","16,204","16,535","15,000","14,861","15,422",N/A,N/A,N/A,N/A,N/A,N/A,N/A,125.86202106592143,AADT,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/1,,,,,,,,,,,,,,,,,,,,,,
150,V2013000117,2.0,Anne Arundel,0.0,None,Ramp 4 Fr Md 295 Nb To Md 32 Eb,RP,295.0,  ,-1.0,0.475,0.488,Calculated Location,Exit 4  Ramp 04 Ramp 5 Fr Md 32 Sb To Ramp 4 (fr Md295) To Ramp 10 Fr Ramp 4 (fr Md295 Nb) To Md 32,Urban,2.0,Principal Arterial Other Freeways and Expressways,02000RP00295  02NNMD4         04,02000RP00295--100404,2.0,,1.0,F,0.0,,,,,0.0341,CALCULATED LOCATION,,,,,,,,,7575.0,7180.0,,,,,,,,,8115.0,7610.0,,,,,,,NO ERROR,75.82897822,,,,,,,,,,,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"7,575","7,180",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"8,115","7,610",N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.798951199878637,AADT,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/1,,,,,,,,,,,,,,,,,,,,,,
180,S2010020038,2.0,Anne Arundel,0.0,None,Ramp 4 Fr Md 295 Nb To Md 32 Eb,RP,295.0,  ,0.2,0.0,0.475,Exit 4 Ramp 4 Fr Md 295 Nb To Md 32 Eb (west Of Ramp 5),Exit 4 Ramp 4 Fr Md 295 Nb To Ramp 5 Fr Md 32 Sb,Urban,2.0,Principal Arterial Other Freeways and Expressways,02000RP00295  02NNMD4         04,02000RP00295--100404,2.0,East,1.0,F,0.0,12.29,100.0,100.0,0.0,0.4581,https://maps.roads.maryland.gov/itms_public/?stationid=S2010020038,2830.0,2841.0,2822.0,2730.0,2721.0,2792.0,2853.0,2660.0,2641.0,2642.0,3030.0,3071.0,3052.0,2950.0,2911.0,2992.0,3053.0,2850.0,2831.0,2802.0,,,,,,,NO ERROR,2282.0814762,,,,,,,,,,,1,12.29,100,100,0,"2,830","2,841","2,822","2,730","2,721","2,792","2,853","2,660","2,641","2,642","3,030","3,071","3,052","2,950","2,911","2,992","3,053","2,850","2,831","2,802",N/A,N/A,N/A,N/A,N/A,N/A,N/A,896.2697082145801,AADT,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/1,,,,,,,,,,,,,,,,,,,,,,
190,S2015020232,2.0,Anne Arundel,0.0,None,Ramp 7 Fr Rp 2 (md 4 Wb) To Md 794 Sb,RP,4.0,  ,0.01,0.0,0.015,Exit 4 Ramp 7 Fr Rp 2 (md 4 Wb) To Md 794 Sb,Exit 4 Ramp 7 Fr Rp 2 (md 4 Wb) To Md 794 Sb,Urban,3.0,Principal Arterial Other,02000RP00004  02NNMD4         07,02000RP00004--100407,2.0,South,1.0,F,0.0,27.27,100.0,0.0,100.0,0.0002,https://maps.roads.maryland.gov/itms_public/?stationid=S2015020232,,,,,,40.0,41.0,42.0,43.0,44.0,,,,,,40.0,41.0,52.0,53.0,54.0,,,,,,,NO ERROR,171.34230445,,,,,,,,,,,1,27.27,100,0,100,N/A,N/A,N/A,N/A,N/A,40,41,42,43,44,N/A,N/A,N/A,N/A,N/A,40,41,52,53,54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67.02465458988978,AADT,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/1,,,,,,,,,,,,,,,,,,,,,,
