state_code,station_id,direction,lane,daily_count,hours_observed,latitude,longitude,route,location_text,source_file
11,000050,7,1,27697,24,38918060,76944910,2,New York West 050                                 ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
11,000050,3,2,23210,24,38918060,76944910,2,New York East 050                                 ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
11,000050,3,1,22693,24,38918060,76944910,2,New York East 050                                 ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
11,002295,5,2,19047,24,38817260,77018580,1,Anacostia South ANS                               ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
11,000050,7,2,18735,24,38918060,76944910,2,New York West 050                                 ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
11,002295,5,3,17035,24,38817260,77018580,1,Anacostia South ANS                               ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
11,001295,1,2,16613,24,38814200,77019630,1,Anacostia North ANN                               ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
11,000050,7,3,14289,24,38918060,76944910,2,New York West 050                                 ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
11,001295,1,1,12393,24,38814200,77019630,1,Anacostia North ANN                               ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
11,000050,3,3,12115,24,38918060,76944910,2,New York East 050                                 ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
11,001295,1,3,9586,24,38814200,77019630,1,Anacostia North ANN                               ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
11,002295,5,1,6486,24,38817260,77018580,1,Anacostia South ANS                               ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0006,1,0,29630708,24,38812795,76721947,3,MD 4 - .54 Mile North of Patuxent River Bridge (AT,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0071,5,0,2228456,24,39239529,76699033,1,IS 95 - .65 Mile North of IS 1                    ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0025,1,0,1376735,24,39161077,76739810,3,MD 295(NB) - .81 South of MD 100 (ATR#25 Includes ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0041,3,0,1341488,24,39018199,76991452,1,IS 495 - .82 Mile West of MD 650 (ATR#41)         ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
