state_code,station_id,direction,latitude,longitude,route,location_text,source_file
11,000050,3,38918060,76944910,2,New York East 050                                 ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
11,001295,1,38814200,77019630,1,Anacostia North ANN                               ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
11,000050,7,38918060,76944910,2,New York West 050                                 ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
11,002295,5,38817260,77018580,1,Anacostia South ANS                               ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0002,1,39650902,77789330,2,.58 MI EAST OF MD 63                              ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0003,5,39456140,77536220,3,MD 17 - 1.05 Miles North of US 40AL (ATR#03)      ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0009,5,38423943,75564374,2,US 13 - 100ft North of Leonards Mill Pond Bridge (,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0013,5,39472993,76640244,3,MD 45 - .14 Mile South of Warren Rd (ATR#13)      ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0014,3,39284112,76877762,2,US 40 - .06 Mile West of Cemetery La (ATR#14)     ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0018,1,39141207,76603122,3,MD 2  - 160ft North of Marley Station Rd (ATR#18 O,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0026,1,39642393,78878689,2,.63 MI EAST OF MD 55                              ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0026,3,39642697,78876868,2,US 40AL - .62 Mile East of MD 55 (ATR#26)         ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0035,1,39529425,79345241,2,US 219 - .10 Mile North of Deep Creek Lake Bridge ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0038,3,0,0,3,MD 100 - .45 Mile West of Oakwood Rd (ATR#38)     ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
