screenline_id,tract_a,tract_b,observed_count,observed_count_field,station_count,synthetic_count,comparison_basis,temporal_expansion_factor,method,sample_expansion_factor,validation_tier,residual,residual_pct_guarded,abs_residual
24005403802__24005403803,24005403802,24005403803,602778.0,AAWDT_2018,9,41696.283131625,average_day,453.0,contrastive_vae,19.287212,annual_average,-561081.716868375,-0.9308264682327075,561081.716868375
24005403802__24005403803,24005403802,24005403803,602778.0,AAWDT_2018,9,49722.432536,average_day,423.0,weighted_bootstrap,19.287212,annual_average,-553055.567464,-0.917511202240294,553055.567464
24005403802__24005403803,24005403802,24005403803,602778.0,AAWDT_2018,9,54844.77315943111,average_day,452.0,noncontrastive_vae,19.287212,annual_average,-547933.2268405689,-0.9090133130946533,547933.2268405689
24005403802__24005403803,24005403802,24005403803,602778.0,AAWDT_2018,9,61276.02847467849,average_day,452.0,bayesian_network,19.287212,annual_average,-541501.9715253215,-0.8983439533714261,541501.9715253215
24033801404__24033801500,24033801404,24033801500,483017.0,AAWDT_2018,7,43473.375848,average_day,423.0,weighted_bootstrap,19.287212,annual_average,-439543.624152,-0.909996178503034,439543.624152
24005401102__24005401507,24005401102,24005401507,466787.0,AAWDT_2018,6,27619.287584,average_day,423.0,weighted_bootstrap,19.287212,annual_average,-439167.712416,-0.9408310694513772,439167.712416
24005401102__24005401507,24005401102,24005401507,466787.0,AAWDT_2018,6,28083.558330000003,average_day,453.0,contrastive_vae,19.287212,annual_average,-438703.44167,-0.9398364600342339,438703.44167
24033801404__24033801500,24033801404,24033801500,483017.0,AAWDT_2018,7,44381.62819490909,average_day,452.0,bayesian_network,19.287212,annual_average,-438635.3718050909,-0.9081158050443171,438635.3718050909
24005401102__24005401507,24005401102,24005401507,466787.0,AAWDT_2018,6,30444.714462971177,average_day,452.0,bayesian_network,19.287212,annual_average,-436342.2855370288,-0.9347781440721974,436342.2855370288
24033807407__24033807408,24033807407,24033807408,458927.0,AAWDT_2018,5,27426.415464,average_day,423.0,weighted_bootstrap,19.287212,annual_average,-431500.584536,-0.9402379562239745,431500.584536
24033807407__24033807408,24033807407,24033807408,458927.0,AAWDT_2018,5,30306.840031125,average_day,453.0,contrastive_vae,19.287212,annual_average,-428620.159968875,-0.9339615232245543,428620.159968875
24033801404__24033801500,24033801404,24033801500,483017.0,AAWDT_2018,7,54728.53556177778,average_day,452.0,noncontrastive_vae,19.287212,annual_average,-428288.46443822223,-0.8866943905457204,428288.46443822223
24005401102__24005401507,24005401102,24005401507,466787.0,AAWDT_2018,6,38784.61175032889,average_day,452.0,noncontrastive_vae,19.287212,annual_average,-428002.3882496711,-0.9169115426300884,428002.3882496711
24033807407__24033807408,24033807407,24033807408,458927.0,AAWDT_2018,5,42835.22999996452,average_day,452.0,bayesian_network,19.287212,annual_average,-416091.77000003547,-0.9066622142520171,416091.77000003547
24033807407__24033807408,24033807407,24033807408,458927.0,AAWDT_2018,5,46107.580402488886,average_day,452.0,noncontrastive_vae,19.287212,annual_average,-412819.4195975111,-0.8995317765080527,412819.4195975111
24033801404__24033801500,24033801404,24033801500,483017.0,AAWDT_2018,7,70774.4674858125,average_day,453.0,contrastive_vae,19.287212,annual_average,-412242.5325141875,-0.8534741686404154,412242.5325141875
24005401101__24005401505,24005401101,24005401505,413786.0,AAWDT_2018,3,35904.0492260625,average_day,453.0,contrastive_vae,19.287212,annual_average,-377881.9507739375,-0.9132303914920696,377881.9507739375
24510210200__24510250303,24510210200,24510250303,387210.0,AAWDT_2018,4,20791.614536,average_day,423.0,weighted_bootstrap,19.287212,annual_average,-366418.385464,-0.9463040351850417,366418.385464
24005401101__24005401505,24005401101,24005401505,413786.0,AAWDT_2018,3,47977.00399815521,average_day,452.0,bayesian_network,19.287212,annual_average,-365808.99600184476,-0.8840535832576374,365808.99600184476
24510210200__24510250303,24510210200,24510250303,387210.0,AAWDT_2018,4,21511.225581937502,average_day,453.0,contrastive_vae,19.287212,annual_average,-365698.7744180625,-0.9444455835801309,365698.7744180625
