screenline_id,tract_a,tract_b,observed_count,observed_count_field,station_count,synthetic_count,comparison_basis,temporal_expansion_factor,method,sample_expansion_factor,validation_tier,residual,residual_pct_guarded,geh,trip_date,hour,observed_tmas_count,annual_share_observed,tmas_station_count,annual_station_count_observed,annual_screenline_count,scaling_method,abs_residual
24031701505__24031701602,24031701505,24031701602,15144.287005222966,,4,1756679.26896,hourly_exact_time_scaled_by_annual_share,440.0,weighted_bootstrap,19.287212,hourly_tmas_scaled,1741534.9819547771,114.9961686115798,,2018-06-29,17.0,13586.0,0.8971039703166254,1.0,217118.0,242021.0,fhwa_tmas_hourly_scaled_by_annual_screenline_share,1741534.9819547771
24005490100__24005490302,24005490100,24005490302,19964.10972989657,,5,1171119.51264,hourly_exact_time_scaled_by_annual_share,440.0,weighted_bootstrap,19.287212,hourly_tmas_scaled,1151155.4029101036,57.66124402663597,,2019-03-21,15.0,9837.0,0.49273421820903623,1.0,165233.0,335339.0,fhwa_tmas_hourly_scaled_by_annual_screenline_share,1151155.4029101036
24005408100__24005408200,24005408100,24005408200,3586.0,,1,1154146.76608,hourly_exact_time_scaled_by_annual_share,440.0,weighted_bootstrap,19.287212,hourly_tmas_scaled,1150560.76608,320.8479548466258,,2018-07-23,14.0,3586.0,1.0,1.0,65135.0,65135.0,fhwa_tmas_hourly_scaled_by_annual_screenline_share,1150560.76608
24005490100__24005490302,24005490100,24005490302,20891.587431082167,,5,1060796.66,hourly_exact_time_scaled_by_annual_share,440.0,weighted_bootstrap,19.287212,hourly_tmas_scaled,1039905.0725689178,49.77625927179491,,2019-03-21,7.0,10294.0,0.49273421820903623,1.0,165233.0,335339.0,fhwa_tmas_hourly_scaled_by_annual_screenline_share,1039905.0725689178
24005408400__24005408503,24005408400,24005408503,2268.3353734036154,,2,1009878.42032,hourly_exact_time_scaled_by_annual_share,440.0,weighted_bootstrap,19.287212,hourly_tmas_scaled,1007610.0849465964,444.20683853053316,,2018-06-11,14.0,2108.0,0.929315843114048,1.0,28267.0,30417.0,fhwa_tmas_hourly_scaled_by_annual_screenline_share,1007610.0849465964
24005451200__24005451300,24005451200,24005451300,6333.173681650405,,6,941987.43408,hourly_exact_time_scaled_by_annual_share,440.0,weighted_bootstrap,19.287212,hourly_tmas_scaled,935654.2603983496,147.73860743931485,,2018-12-04,16.0,2773.0,0.4378531427354389,1.0,34949.0,79819.0,fhwa_tmas_hourly_scaled_by_annual_screenline_share,935654.2603983496
24027606707__24027606804,24027606707,24027606804,8698.971151324416,,3,874096.44784,hourly_exact_time_scaled_by_annual_share,440.0,weighted_bootstrap,19.287212,hourly_tmas_scaled,865397.4766886756,99.4827390083848,,2018-09-07,9.0,6883.0,0.7912429964722971,1.0,110577.0,139751.0,fhwa_tmas_hourly_scaled_by_annual_screenline_share,865397.4766886756
24005404800__24013504201,24005404800,24013504201,3247.0,,1,857123.70128,hourly_exact_time_scaled_by_annual_share,440.0,weighted_bootstrap,19.287212,hourly_tmas_scaled,853876.70128,262.9740379673545,,2018-07-16,15.0,3247.0,1.0,1.0,44561.0,44561.0,fhwa_tmas_hourly_scaled_by_annual_screenline_share,853876.70128
24013504100__24013504201,24013504100,24013504201,9474.163214470052,,3,857123.70128,hourly_exact_time_scaled_by_annual_share,440.0,weighted_bootstrap,19.287212,hourly_tmas_scaled,847649.53806553,89.46959418757957,,2018-07-16,15.0,3247.0,0.3427215603633259,1.0,44561.0,130021.0,fhwa_tmas_hourly_scaled_by_annual_screenline_share,847649.53806553
24005490100__24005490302,24005490100,24005490302,20238.091107708507,,5,840150.95472,hourly_exact_time_scaled_by_annual_share,440.0,weighted_bootstrap,19.287212,hourly_tmas_scaled,819912.8636122915,40.513349764494045,,2019-03-27,17.0,9972.0,0.49273421820903623,1.0,165233.0,335339.0,fhwa_tmas_hourly_scaled_by_annual_screenline_share,819912.8636122915
24005403601__24005403602,24005403601,24005403602,4638.760298507463,,2,823178.20816,hourly_exact_time_scaled_by_annual_share,440.0,weighted_bootstrap,19.287212,hourly_tmas_scaled,818539.4478614926,176.45650889201164,,2019-02-11,10.0,4318.0,0.930852150603542,1.0,113900.0,122361.0,fhwa_tmas_hourly_scaled_by_annual_screenline_share,818539.4478614926
24005490100__24005490302,24005490100,24005490302,20554.69181095786,,5,831664.58144,hourly_exact_time_scaled_by_annual_share,440.0,weighted_bootstrap,19.287212,hourly_tmas_scaled,811109.8896290421,39.4610581899668,,2018-05-18,12.0,10128.0,0.49273421820903623,1.0,165233.0,335339.0,fhwa_tmas_hourly_scaled_by_annual_screenline_share,811109.8896290421
24005408704__24005408800,24005408704,24005408800,14570.037972098484,,7,755287.22192,hourly_exact_time_scaled_by_annual_share,440.0,weighted_bootstrap,19.287212,hourly_tmas_scaled,740717.1839479016,50.83838390581889,,2018-12-04,16.0,11001.0,0.7550426444369489,1.0,156694.0,207530.0,fhwa_tmas_hourly_scaled_by_annual_screenline_share,740717.1839479016
24025303300__24025303400,24025303300,24025303400,2753.002093045381,,4,738314.47536,hourly_exact_time_scaled_by_annual_share,440.0,weighted_bootstrap,19.287212,hourly_tmas_scaled,735561.4732669547,267.1852212263572,,2018-05-09,11.0,1385.0,0.5030871583784042,1.0,21022.0,41786.0,fhwa_tmas_hourly_scaled_by_annual_screenline_share,735561.4732669547
24043010400__24043010500,24043010400,24043010500,8420.996114877733,,4,738314.47536,hourly_exact_time_scaled_by_annual_share,440.0,weighted_bootstrap,19.287212,hourly_tmas_scaled,729893.4792451223,86.67543237023804,,2019-04-05,17.0,1104.0,0.13110087986497418,1.0,13127.0,100129.0,fhwa_tmas_hourly_scaled_by_annual_screenline_share,729893.4792451223
24005403601__24005403602,24005403601,24005403602,10546.250544337137,,2,738314.47536,hourly_exact_time_scaled_by_annual_share,440.0,weighted_bootstrap,19.287212,hourly_tmas_scaled,727768.224815663,69.007295223651,,2018-09-19,17.0,9817.0,0.930852150603542,1.0,113900.0,122361.0,fhwa_tmas_hourly_scaled_by_annual_screenline_share,727768.224815663
