epoch,total_loss,reconstruction_loss,contrastive_loss,tv_loss,raw_reconstruction_loss,raw_numeric_loss,raw_categorical_loss,raw_contrastive_loss,raw_tv_loss
1,0.56735077,0.39067416,0.92470102,0.17667661,2.37744395,1.37984541,0.99759854,7.34679885,0.35335322
2,0.50797651,0.36269492,0.90154530,0.14528159,2.40504947,1.51830259,0.88674687,6.58042408,0.29056318
3,0.49997086,0.35803316,0.88729639,0.14193770,2.46541585,1.59913034,0.86628551,6.19744625,0.28387541
4,0.49976713,0.35819512,0.87527737,0.14157201,2.43511775,1.58772095,0.84739680,5.90922983,0.28314401
5,0.48104681,0.33852263,0.86920804,0.14252417,2.37056662,1.52717513,0.84339149,5.77497762,0.28504835
6,0.46470550,0.32086191,0.86027589,0.14384360,2.18877009,1.36847947,0.82029062,5.59106502,0.28768719
7,0.45790652,0.31281965,0.85499625,0.14508687,1.95196235,1.14340706,0.80855528,5.48613083,0.29017374
8,0.45466261,0.30934647,0.85052736,0.14531614,1.99671268,1.19553029,0.80118239,5.39790042,0.29063228
9,0.44600652,0.30030453,0.85005028,0.14570198,1.95488128,1.15144256,0.80343872,5.38954904,0.29140397
10,0.44692849,0.30110430,0.84734404,0.14582419,2.03832385,1.24087824,0.79744561,5.33968434,0.29164838
11,0.44319843,0.29709646,0.84225473,0.14610196,2.07921155,1.28664584,0.79256571,5.24953575,0.29220393
12,0.43941241,0.29298658,0.84617672,0.14642583,2.20233145,1.39177363,0.81055782,5.32006759,0.29285165
13,0.43340122,0.28725295,0.84806264,0.14614827,2.04597791,1.25653556,0.78944235,5.35225478,0.29229654
14,0.42981272,0.28343796,0.84886597,0.14637476,1.88107726,1.09700241,0.78407484,5.36716399,0.29274953
15,0.42954915,0.28317660,0.84834441,0.14637255,1.88764980,1.10492961,0.78272018,5.35722208,0.29274509
16,0.42733240,0.28084782,0.84788352,0.14648458,1.97604576,1.19560163,0.78044412,5.34854799,0.29296916
17,0.42701349,0.28034558,0.84607820,0.14666791,1.85876140,1.08111089,0.77765051,5.31463405,0.29333583
18,0.42324018,0.27586454,0.84952789,0.14737564,1.87891737,1.10079196,0.77812540,5.37768932,0.29475127
19,0.41905316,0.27157085,0.85148016,0.14748231,1.85456866,1.08055372,0.77401494,5.41338242,0.29496462
20,0.41845226,0.27000081,0.85507047,0.14845145,1.79416643,1.02471662,0.76944981,5.48178176,0.29690289
21,0.40901541,0.26046636,0.85812030,0.14854905,1.88452801,1.11738038,0.76714763,5.54266917,0.29709811
22,0.40985463,0.26154802,0.86089680,0.14830660,1.76381304,0.99631257,0.76750047,5.59730846,0.29661321
23,0.40737425,0.25876844,0.86441842,0.14860580,1.61132080,0.84645915,0.76486165,5.66933365,0.29721160
24,0.40682742,0.25772768,0.86562388,0.14909975,1.86104574,1.09968859,0.76135716,5.69252340,0.29819950
25,0.40443508,0.25508976,0.86276133,0.14934532,2.01919994,1.25497774,0.76422220,5.63314318,0.29869065
26,0.40226428,0.25236775,0.86410193,0.14989653,2.09534608,1.33461183,0.76073426,5.66017403,0.29979306
27,0.39822865,0.24785494,0.86394056,0.15037372,1.94808061,1.18389964,0.76418096,5.65661128,0.30074743
28,0.39210537,0.24131910,0.86254256,0.15078627,1.89691756,1.13745410,0.75946346,5.62800423,0.30157253
29,0.39322771,0.24202884,0.86148763,0.15119887,1.81042033,1.05305448,0.75736586,5.60602550,0.30239774
30,0.38609554,0.23461692,0.86027806,0.15147863,1.77493336,1.02205804,0.75287532,5.58196879,0.30295725
31,0.38967085,0.23840945,0.86235416,0.15126140,1.80252732,1.04695966,0.75556766,5.62421020,0.30252279
32,0.38876668,0.23683145,0.86081292,0.15193523,1.66524844,0.91238682,0.75286162,5.59303678,0.30387047
33,0.38663181,0.23510013,0.86131359,0.15153168,1.86647350,1.11727506,0.74919844,5.60302248,0.30306336
34,0.38186664,0.23029331,0.86093124,0.15157333,1.55638472,0.80975102,0.74663370,5.59452835,0.30314666
35,0.37691822,0.22461267,0.86161915,0.15230555,1.59653819,0.84864447,0.74789371,5.60906302,0.30461111
36,0.38177439,0.23009469,0.86078049,0.15167970,1.77969604,1.03249618,0.74719986,5.59159597,0.30335939
37,0.38088884,0.22874416,0.85893838,0.15214468,1.68375138,0.93892715,0.74482423,5.55441846,0.30428937
38,0.37664997,0.22418230,0.85689509,0.15246768,1.64547484,0.90344710,0.74202774,5.51411679,0.30493535
39,0.38278297,0.23031076,0.85671302,0.15247221,1.75731092,1.01376700,0.74354392,5.50980561,0.30494441
40,0.37259306,0.22011887,0.85704903,0.15247419,1.58808212,0.85329423,0.73478789,5.51672301,0.30494838
41,0.37219935,0.21935516,0.85787434,0.15284418,1.67665787,0.93754197,0.73911590,5.53272707,0.30568837
42,0.37462685,0.22161565,0.85879576,0.15301121,1.46864929,0.73212172,0.73652758,5.55125754,0.30602241
43,0.37696930,0.22417445,0.85792881,0.15279485,1.74318949,1.00669346,0.73649602,5.53351170,0.30558970
44,0.37337376,0.22017249,0.85717387,0.15320127,1.61072867,0.87320621,0.73752247,5.51882419,0.30640254
45,0.37380797,0.22008284,0.85664800,0.15372513,1.90581833,1.16967112,0.73614722,5.50846181,0.30745026
46,0.37074341,0.21713909,0.85744919,0.15360433,1.60143198,0.87374816,0.72768382,5.52408966,0.30720865
47,0.36845501,0.21446914,0.85734572,0.15398587,1.71249470,0.98068462,0.73181009,5.52194059,0.30797174
48,0.36707208,0.21315093,0.85583014,0.15392115,1.66093271,0.92957292,0.73135978,5.49231239,0.30784231
49,0.36470409,0.21025520,0.85536173,0.15444889,1.55054149,0.82362303,0.72691846,5.48319874,0.30889778
50,0.37093240,0.21695340,0.85332451,0.15397901,1.60183253,0.87675152,0.72508101,5.44328010,0.30795802
51,0.35869929,0.20420139,0.85320368,0.15449790,1.53961993,0.81151661,0.72810333,5.44142522,0.30899580
52,0.36095893,0.20655433,0.85428956,0.15440460,1.42841992,0.70185440,0.72656553,5.46266645,0.30880921
53,0.35973638,0.20579685,0.85496912,0.15393954,1.83244396,1.10370722,0.72873674,5.47479507,0.30787908
54,0.36065060,0.20573480,0.85627644,0.15491580,1.73777636,1.01593965,0.72183672,5.50098613,0.30983160
55,0.35888140,0.20391335,0.85572475,0.15496805,1.43784468,0.71258070,0.72526398,5.49084588,0.30993610
56,0.35852316,0.20419581,0.85741016,0.15432735,1.68184136,0.95566919,0.72617217,5.52421058,0.30865469
57,0.36214967,0.20750931,0.85834356,0.15464036,1.68867157,0.96267901,0.72599257,5.54204632,0.30928073
58,0.35972279,0.20545046,0.85747633,0.15427233,1.62428720,0.90321474,0.72107247,5.52500757,0.30854467
59,0.35534243,0.20044625,0.85797553,0.15489618,1.48161292,0.75813847,0.72347446,5.53484829,0.30979236
60,0.35539956,0.20054953,0.85849912,0.15485003,1.41388892,0.69068045,0.72320848,5.54573547,0.30970006
61,0.35680124,0.20195032,0.85955118,0.15485092,1.59363618,0.87504326,0.71859293,5.56690108,0.30970184
62,0.35833486,0.20379956,0.86016798,0.15453531,1.67691719,0.95817545,0.71874173,5.57906552,0.30907062
63,0.35612929,0.20047455,0.85935345,0.15565475,1.81775815,1.09562390,0.72213425,5.56289170,0.31130949
64,0.35873151,0.20377072,0.86259218,0.15496078,1.66203098,0.94167217,0.72035882,5.62765070,0.30992157
65,0.35466847,0.19969612,0.86127513,0.15497235,1.51725385,0.79976393,0.71748993,5.60068736,0.30994470
66,0.35319508,0.19750250,0.86037570,0.15569258,1.57726135,0.86240039,0.71486095,5.58379763,0.31138516
67,0.35067044,0.19544332,0.86074956,0.15522713,1.59484838,0.87997807,0.71487031,5.59040490,0.31045425
68,0.34959261,0.19371621,0.86002827,0.15587639,1.54312655,0.83162363,0.71150292,5.57555388,0.31175278
69,0.34962389,0.19380180,0.86285437,0.15582209,1.49787714,0.78302131,0.71485583,5.63298559,0.31164417
70,0.35209287,0.19647834,0.85914894,0.15561453,1.62114832,0.91024557,0.71090275,5.55826716,0.31122906
71,0.34974740,0.19407734,0.85963580,0.15567006,1.47371474,0.76296047,0.71075428,5.56763028,0.31134011
72,0.34828514,0.19237899,0.86172027,0.15590615,1.58880479,0.87514754,0.71365724,5.60961247,0.31181229
73,0.35515846,0.19884486,0.86101489,0.15631361,1.74903763,1.03110248,0.71793515,5.59568937,0.31262722
74,0.34940605,0.19349071,0.86070059,0.15591534,1.45147040,0.73869743,0.71277297,5.58916099,0.31183067
75,0.34577163,0.18944379,0.86156570,0.15632784,1.61634672,0.89989471,0.71645202,5.60616324,0.31265568
76,0.34514067,0.18946410,0.86294907,0.15567657,1.46244820,0.75195370,0.71049450,5.63465304,0.31135314
77,0.34808079,0.19171280,0.86210188,0.15636798,1.46482793,0.75777020,0.70705772,5.61727289,0.31273596
78,0.34679636,0.19039145,0.86344104,0.15640491,1.42611660,0.71579919,0.71031740,5.64480715,0.31280982
79,0.34370035,0.18746417,0.86218927,0.15623618,1.38238904,0.67418418,0.70820485,5.61882369,0.31247236
