county_fips,state,county_name,origin_trip_count,destination_trip_count,any_endpoint_trip_count,distinct_trip_dates,first_trip_date,last_trip_date
11001,DC,District of Columbia,17695,17655,23146,342,2017-10-10,2019-06-06
51059,VA,Fairfax County,16005,15986,20600,296,2017-10-10,2019-04-10
24031,MD,Montgomery County,16071,16081,19171,324,2017-10-10,2019-05-14
24033,MD,Prince George's County,12086,12025,15573,344,2017-10-10,2019-06-05
24005,MD,Baltimore County,11866,11862,15110,380,2017-10-12,2019-07-11
24003,MD,Anne Arundel County,11829,11788,14211,403,2017-10-10,2019-06-07
24510,MD,Baltimore city,9011,8997,11679,375,2017-10-11,2019-07-05
51013,VA,Arlington County,7420,7395,10481,287,2017-10-12,2019-05-03
24027,MD,Howard County,6761,6745,8586,383,2017-10-11,2019-06-26
51107,VA,Loudoun County,6757,6733,8132,263,2017-10-10,2019-05-31
51153,VA,Prince William County,5565,5550,7152,254,2017-10-12,2018-12-04
24021,MD,Frederick County,4636,4619,5415,283,2017-10-12,2019-07-11
51510,VA,Alexandria city,3564,3537,5128,259,2017-10-11,2019-04-29
24025,MD,Harford County,4065,4070,4680,246,2017-10-20,2019-06-14
24013,MD,Carroll County,3901,3887,4664,309,2017-10-11,2019-06-26
24017,MD,Charles County,2632,2621,3205,207,2017-10-10,2019-03-08
24043,MD,Washington County,2407,2406,2681,205,2017-11-20,2019-07-11
24037,MD,St. Mary's County,1896,1895,2113,172,2017-10-11,2019-04-11
24045,MD,Wicomico County,1583,1580,1818,151,2017-10-19,2019-05-28
51179,VA,Stafford County,1322,1323,1712,162,2017-10-13,2018-12-26
24009,MD,Calvert County,1361,1351,1656,169,2017-10-11,2019-04-19
51683,VA,Manassas city,1061,1055,1622,160,2017-10-16,2018-11-01
51177,VA,Spotsylvania County,1181,1177,1526,144,2017-10-16,2019-01-22
24015,MD,Cecil County,1192,1193,1467,156,2017-10-27,2019-06-14
24047,MD,Worcester County,1252,1276,1462,149,2018-02-23,2019-05-28
51061,VA,Fauquier County,1109,1109,1385,144,2017-10-12,2018-11-13
51600,VA,Fairfax city,698,704,1168,172,2017-10-12,2019-04-08
54037,WV,Jefferson County,827,832,999,118,2017-10-10,2019-04-09
51610,VA,Falls Church city,622,620,977,142,2017-10-16,2018-11-07
24001,MD,Allegany County,894,886,969,123,2017-11-17,2019-07-11
51630,VA,Fredericksburg city,580,579,876,134,2017-10-17,2018-11-08
24041,MD,Talbot County,716,723,857,102,2017-11-08,2019-05-14
24035,MD,Queen Anne's County,424,434,553,85,2017-11-16,2019-05-28
24019,MD,Dorchester County,445,444,543,81,2018-01-11,2019-05-21
24011,MD,Caroline County,388,388,501,65,2017-11-08,2019-05-21
51099,VA,King George County,402,402,496,66,2017-11-01,2018-12-28
51043,VA,Clarke County,274,273,405,66,2017-10-17,2018-10-08
24039,MD,Somerset County,295,296,381,56,2018-05-03,2019-05-23
10003,DE,New Castle County,217,217,346,73,2017-10-27,2019-05-17
24023,MD,Garrett County,296,293,336,56,2017-12-07,2019-05-17
24029,MD,Kent County,262,264,323,43,2017-11-14,2019-05-01
51685,VA,Manassas Park city,175,175,316,61,2017-10-19,2018-11-01
10005,DE,Sussex County,196,194,315,65,2018-02-09,2019-05-21
42133,PA,York County,88,90,152,41,2017-10-19,2019-04-23
54003,WV,Berkeley County,72,75,142,51,2017-10-16,2019-05-03
42055,PA,Franklin County,63,69,115,30,2017-12-15,2019-06-21
51069,VA,Frederick County,53,49,101,38,2017-10-17,2019-03-21
10001,DE,Kent County,48,48,76,21,2018-05-24,2019-05-23
51001,VA,Accomack County,47,47,71,23,2017-12-22,2019-05-21
54057,WV,Mineral County,32,35,61,20,2018-05-07,2019-06-04
42029,PA,Chester County,37,34,59,16,2018-05-14,2019-05-20
42001,PA,Adams County,35,39,58,15,2017-10-20,2019-04-26
42071,PA,Lancaster County,39,41,55,12,2018-05-10,2019-04-08
51840,VA,Winchester city,26,29,55,25,2017-10-23,2019-04-25
51087,VA,Henrico County,21,32,48,17,2017-10-25,2019-02-18
51760,VA,Richmond city,21,15,34,16,2017-10-25,2019-02-18
51187,VA,Warren County,14,17,31,13,2017-10-27,2019-03-26
06037,CA,Los Angeles County,20,19,29,3,2018-03-09,2018-11-14
36061,NY,New York County,21,24,29,10,2017-12-05,2019-05-01
51033,VA,Caroline County,16,16,29,12,2017-12-04,2018-10-18
42045,PA,Delaware County,16,14,26,11,2018-03-05,2019-04-12
42101,PA,Philadelphia County,15,17,24,10,2018-01-17,2019-04-26
51137,VA,Orange County,10,14,24,11,2017-10-30,2018-07-05
51047,VA,Culpeper County,13,10,23,11,2017-10-18,2018-11-06
51085,VA,Hanover County,9,14,23,12,2017-11-03,2018-07-31
42043,PA,Dauphin County,11,10,17,6,2017-10-19,2019-02-15
36035,NY,Fulton County,16,16,16,1,2018-08-21,2018-08-21
51171,VA,Shenandoah County,7,9,16,11,2017-10-17,2018-08-08
51003,VA,Albemarle County,8,8,15,7,2017-11-02,2018-11-05
51710,VA,Norfolk city,8,9,14,9,2017-11-06,2018-10-01
51193,VA,Westmoreland County,7,7,14,4,2017-10-30,2018-06-29
42009,PA,Bedford County,7,7,13,4,2018-10-01,2019-03-13
42041,PA,Cumberland County,8,8,13,4,2018-10-03,2019-04-09
12095,FL,Orange County,6,11,12,4,2018-05-25,2019-02-13
36067,NY,Onondaga County,12,12,12,1,2019-02-13,2019-02-13
42097,PA,Northumberland County,8,10,12,1,2019-04-19,2019-04-19
42111,PA,Somerset County,8,8,12,3,2018-12-10,2019-03-15
51041,VA,Chesterfield County,7,6,11,7,2017-10-17,2018-07-12
51109,VA,Louisa County,6,5,11,4,2017-10-19,2018-05-08
54061,WV,Monongalia County,7,6,11,4,2018-10-30,2019-03-13
06073,CA,San Diego County,10,10,10,1,2018-01-02,2018-01-02
06111,CA,Ventura County,5,5,10,1,2018-03-09,2018-03-09
42037,PA,Columbia County,7,7,10,2,2018-05-25,2019-04-19
51540,VA,Charlottesville city,4,5,9,5,2017-11-15,2018-10-01
51810,VA,Virginia Beach city,2,7,9,4,2018-06-22,2019-04-26
06059,CA,Orange County,4,4,8,1,2018-03-09,2018-03-09
33015,NH,Rockingham County,4,4,8,1,2018-08-03,2018-08-03
42057,PA,Fulton County,4,4,8,2,2018-07-27,2019-03-11
42091,PA,Montgomery County,6,4,8,4,2018-01-17,2018-11-19
51550,VA,Chesapeake city,6,8,8,1,2018-07-11,2018-07-11
51139,VA,Page County,5,3,8,4,2018-03-28,2019-03-26
36083,NY,Rensselaer County,6,7,7,2,2018-02-05,2019-02-13
51199,VA,York County,1,6,7,2,2018-06-28,2018-09-27
17201,IL,Winnebago County,4,4,6,1,2017-10-26,2017-10-26
18141,IN,St. Joseph County,6,6,6,1,2018-02-02,2018-02-02
30111,MT,Yellowstone County,3,6,6,1,2018-07-26,2018-07-26
37065,NC,Edgecombe County,6,6,6,1,2017-10-19,2017-10-19
34001,NJ,Atlantic County,5,5,6,2,2018-11-19,2019-05-15
42027,PA,Centre County,4,4,6,1,2019-03-22,2019-03-22
51103,VA,Lancaster County,4,4,6,2,2018-05-18,2018-07-12
51700,VA,Newport News city,2,4,6,5,2017-12-01,2018-10-24
51133,VA,Northumberland County,3,3,6,4,2017-11-16,2018-12-28
51770,VA,Roanoke city,4,5,6,1,2018-09-19,2018-09-19
51820,VA,Waynesboro city,4,4,6,2,2018-07-31,2019-03-04
51830,VA,Williamsburg city,4,2,6,3,2017-11-17,2017-12-18
54077,WV,Preston County,3,3,6,2,2018-06-26,2018-10-30
12099,FL,Palm Beach County,5,5,5,1,2017-11-17,2017-11-17
27053,MN,Hennepin County,4,2,5,2,2017-12-20,2018-11-09
34015,NJ,Gloucester County,2,4,5,2,2017-11-17,2018-03-27
36081,NY,Queens County,0,5,5,2,2017-12-22,2019-05-03
42075,PA,Lebanon County,3,3,5,2,2018-07-11,2019-07-11
42125,PA,Washington County,3,4,5,2,2018-12-06,2019-07-11
45051,SC,Horry County,3,4,5,3,2018-06-18,2019-05-03
51678,VA,Lexington city,2,3,5,1,2018-07-02,2018-07-02
51157,VA,Rappahannock County,2,3,5,2,2017-11-21,2017-12-05
51161,VA,Roanoke County,2,3,5,3,2018-01-10,2018-10-02
54065,WV,Morgan County,3,3,5,2,2018-08-13,2018-12-03
08031,CO,Denver County,2,2,4,2,2018-07-12,2019-04-08
09005,CT,Litchfield County,2,2,4,1,2018-03-30,2018-03-30
13127,GA,Glynn County,4,4,4,1,2018-11-30,2018-11-30
17031,IL,Cook County,2,4,4,2,2018-09-28,2019-04-05
17103,IL,Lee County,2,2,4,1,2017-10-26,2017-10-26
25009,MA,Essex County,0,4,4,1,2018-08-03,2018-08-03
25013,MA,Hampden County,2,4,4,1,2018-03-30,2018-03-30
37037,NC,Chatham County,2,2,4,1,2018-05-24,2018-05-24
37119,NC,Mecklenburg County,2,2,4,2,2018-02-21,2019-02-15
37131,NC,Northampton County,2,2,4,1,2018-05-24,2018-05-24
37133,NC,Onslow County,4,4,4,1,2018-04-11,2018-04-11
33001,NH,Belknap County,4,0,4,1,2018-08-03,2018-08-03
34013,NJ,Essex County,2,2,4,3,2018-02-14,2018-12-19
34021,NJ,Mercer County,1,3,4,2,2018-08-02,2019-05-02
48439,TX,Tarrant County,2,2,4,2,2018-04-23,2018-11-14
51131,VA,Northampton County,2,2,4,1,2018-07-11,2018-07-11
51165,VA,Rockingham County,0,4,4,3,2018-03-02,2018-11-20
50007,VT,Chittenden County,4,4,4,1,2019-04-23,2019-04-23
54027,WV,Hampshire County,3,2,4,2,2018-10-29,2019-05-01
04019,AZ,Pima County,2,3,3,1,2018-04-23,2018-04-23
06087,CA,Santa Cruz County,3,3,3,1,2018-05-14,2018-05-14
17097,IL,Lake County,3,3,3,1,2018-05-09,2018-05-09
37001,NC,Alamance County,3,3,3,1,2018-07-02,2018-07-02
34005,NJ,Burlington County,2,2,3,1,2018-01-17,2018-01-17
34023,NJ,Middlesex County,1,2,3,2,2018-08-02,2018-11-05
34033,NJ,Salem County,2,2,3,1,2018-01-03,2018-01-03
36059,NY,Nassau County,1,2,3,2,2018-11-16,2018-12-10
36103,NY,Suffolk County,0,3,3,3,2017-11-22,2018-06-14
42003,PA,Allegheny County,3,1,3,3,2018-07-11,2018-11-29
42069,PA,Lackawanna County,2,3,3,1,2018-01-17,2018-01-17
51053,VA,Dinwiddie County,1,2,3,2,2018-05-08,2018-09-20
51680,VA,Lynchburg city,2,1,3,1,2017-12-11,2017-12-11
51113,VA,Madison County,2,1,3,2,2017-12-22,2018-10-08
51155,VA,Pulaski County,0,3,3,1,2017-11-17,2017-11-17
55079,WI,Milwaukee County,2,3,3,1,2018-08-30,2018-08-30
54083,WV,Randolph County,1,2,3,2,2018-05-24,2018-08-27
54093,WV,Tucker County,2,1,3,2,2018-05-10,2018-05-24
06075,CA,San Francisco County,2,2,2,1,2018-09-25,2018-09-25
08013,CO,Boulder County,2,1,2,1,2018-07-12,2018-07-12
08067,CO,La Plata County,2,0,2,1,2018-06-05,2018-06-05
09003,CT,Hartford County,1,1,2,1,2019-03-29,2019-03-29
12005,FL,Bay County,2,2,2,1,2019-01-08,2019-01-08
12031,FL,Duval County,1,1,2,1,2018-04-09,2018-04-09
12057,FL,Hillsborough County,1,1,2,1,2018-10-30,2018-10-30
12071,FL,Lee County,1,1,2,2,2018-02-21,2018-05-25
13063,GA,Clayton County,1,1,2,1,2018-06-11,2018-06-11
13067,GA,Cobb County,1,1,2,1,2018-06-11,2018-06-11
22071,LA,Orleans Parish,2,2,2,1,2018-12-13,2018-12-13
25025,MA,Suffolk County,1,1,2,1,2018-10-19,2018-10-19
26125,MI,Oakland County,0,2,2,1,2018-07-09,2018-07-09
26163,MI,Wayne County,1,1,2,1,2019-04-05,2019-04-05
27123,MN,Ramsey County,1,1,2,1,2018-11-09,2018-11-09
29189,MO,St. Louis County,0,2,2,2,2017-12-11,2018-08-02
30013,MT,Cascade County,1,2,2,1,2019-04-08,2019-04-08
37067,NC,Forsyth County,0,2,2,1,2018-05-24,2018-05-24
34007,NJ,Camden County,1,1,2,1,2018-01-17,2018-01-17
35049,NM,Santa Fe County,0,2,2,1,2018-06-05,2018-06-05
32003,NV,Clark County,2,2,2,1,2018-05-24,2018-05-24
36005,NY,Bronx County,0,2,2,1,2018-12-21,2018-12-21
36085,NY,Richmond County,1,1,2,1,2018-11-05,2018-11-05
42011,PA,Berks County,1,1,2,1,2018-05-09,2018-05-09
42019,PA,Butler County,0,2,2,1,2018-12-05,2018-12-05
42025,PA,Carbon County,1,1,2,1,2018-01-17,2018-01-17
42031,PA,Clarion County,0,2,2,1,2018-10-04,2018-10-04
42035,PA,Clinton County,0,2,2,1,2019-03-22,2019-03-22
45013,SC,Beaufort County,0,2,2,1,2018-10-15,2018-10-15
51009,VA,Amherst County,2,0,2,1,2018-02-12,2018-02-12
51015,VA,Augusta County,0,2,2,2,2018-02-02,2018-03-14
51065,VA,Fluvanna County,0,2,2,1,2018-10-12,2018-10-12
51075,VA,Goochland County,0,2,2,1,2018-09-27,2018-09-27
51095,VA,James City County,0,2,2,1,2017-10-13,2017-10-13
