trip_date,county_fips,state,county_name,origin_trip_count,destination_trip_count,any_endpoint_trip_count
2017-10-10,11001,DC,District of Columbia,12,12,18
2017-10-10,24003,MD,Anne Arundel County,28,28,30
2017-10-10,24017,MD,Charles County,19,19,20
2017-10-10,24031,MD,Montgomery County,21,21,26
2017-10-10,24033,MD,Prince George's County,39,39,46
2017-10-10,51059,VA,Fairfax County,1,1,2
2017-10-10,51107,VA,Loudoun County,2,2,4
2017-10-10,54037,WV,Jefferson County,6,6,8
2017-10-11,11001,DC,District of Columbia,21,21,30
2017-10-11,24003,MD,Anne Arundel County,64,64,72
2017-10-11,24510,MD,Baltimore city,2,2,3
2017-10-11,24009,MD,Calvert County,9,9,14
2017-10-11,24013,MD,Carroll County,22,22,22
2017-10-11,24017,MD,Charles County,10,10,16
2017-10-11,24027,MD,Howard County,7,7,12
2017-10-11,24031,MD,Montgomery County,50,50,64
2017-10-11,24033,MD,Prince George's County,80,80,101
2017-10-11,24037,MD,St. Mary's County,1,1,2
2017-10-11,51510,VA,Alexandria city,1,1,2
2017-10-12,11001,DC,District of Columbia,44,44,66
2017-10-12,24003,MD,Anne Arundel County,14,12,17
2017-10-12,24005,MD,Baltimore County,2,2,4
2017-10-12,24510,MD,Baltimore city,2,2,4
2017-10-12,24009,MD,Calvert County,2,2,4
2017-10-12,24013,MD,Carroll County,6,6,8
2017-10-12,24017,MD,Charles County,13,13,19
2017-10-12,24021,MD,Frederick County,1,1,2
2017-10-12,24027,MD,Howard County,8,8,10
2017-10-12,24031,MD,Montgomery County,58,57,71
2017-10-12,24033,MD,Prince George's County,49,49,61
2017-10-12,24037,MD,St. Mary's County,5,5,8
2017-10-12,51510,VA,Alexandria city,6,6,9
2017-10-12,51013,VA,Arlington County,11,13,18
2017-10-12,51059,VA,Fairfax County,30,30,35
2017-10-12,51600,VA,Fairfax city,3,3,4
2017-10-12,51061,VA,Fauquier County,3,3,4
2017-10-12,51153,VA,Prince William County,14,14,16
2017-10-13,11001,DC,District of Columbia,44,42,54
2017-10-13,24003,MD,Anne Arundel County,55,55,59
2017-10-13,24005,MD,Baltimore County,1,0,1
2017-10-13,24009,MD,Calvert County,14,14,14
2017-10-13,24021,MD,Frederick County,14,14,15
2017-10-13,24027,MD,Howard County,16,16,19
2017-10-13,24031,MD,Montgomery County,180,180,194
2017-10-13,24033,MD,Prince George's County,13,13,18
2017-10-13,51510,VA,Alexandria city,1,1,2
2017-10-13,51013,VA,Arlington County,13,13,19
2017-10-13,51059,VA,Fairfax County,41,41,50
2017-10-13,51061,VA,Fauquier County,1,1,2
2017-10-13,51095,VA,James City County,0,2,2
2017-10-13,51107,VA,Loudoun County,31,31,35
2017-10-13,51153,VA,Prince William County,3,3,4
2017-10-13,51179,VA,Stafford County,5,5,6
2017-10-16,11001,DC,District of Columbia,134,134,164
2017-10-16,24003,MD,Anne Arundel County,61,61,78
2017-10-16,24005,MD,Baltimore County,3,3,5
2017-10-16,24510,MD,Baltimore city,3,3,6
2017-10-16,24013,MD,Carroll County,1,1,2
2017-10-16,24017,MD,Charles County,27,27,28
2017-10-16,24021,MD,Frederick County,44,44,48
2017-10-16,24027,MD,Howard County,33,33,39
2017-10-16,24031,MD,Montgomery County,194,195,220
2017-10-16,24033,MD,Prince George's County,93,93,105
2017-10-16,51510,VA,Alexandria city,9,9,11
2017-10-16,51013,VA,Arlington County,56,56,65
2017-10-16,51059,VA,Fairfax County,79,79,100
2017-10-16,51610,VA,Falls Church city,2,2,4
2017-10-16,51107,VA,Loudoun County,32,32,40
2017-10-16,51683,VA,Manassas city,2,2,4
2017-10-16,51153,VA,Prince William County,20,20,23
2017-10-16,51177,VA,Spotsylvania County,6,6,6
2017-10-16,51179,VA,Stafford County,3,3,4
2017-10-16,54003,WV,Berkeley County,1,1,2
2017-10-16,54037,WV,Jefferson County,3,3,4
2017-10-17,11001,DC,District of Columbia,155,156,212
2017-10-17,24003,MD,Anne Arundel County,61,57,68
2017-10-17,24005,MD,Baltimore County,1,1,2
2017-10-17,24510,MD,Baltimore city,2,2,4
2017-10-17,24009,MD,Calvert County,6,6,7
2017-10-17,24013,MD,Carroll County,2,2,4
2017-10-17,24017,MD,Charles County,15,12,21
2017-10-17,24021,MD,Frederick County,24,24,30
2017-10-17,24027,MD,Howard County,16,16,22
2017-10-17,24031,MD,Montgomery County,192,192,232
2017-10-17,24033,MD,Prince George's County,90,90,110
2017-10-17,24037,MD,St. Mary's County,4,4,5
2017-10-17,51510,VA,Alexandria city,21,21,35
2017-10-17,51013,VA,Arlington County,70,70,106
2017-10-17,51041,VA,Chesterfield County,0,1,1
2017-10-17,51043,VA,Clarke County,1,1,2
2017-10-17,51059,VA,Fairfax County,100,100,126
2017-10-17,51600,VA,Fairfax city,1,1,2
2017-10-17,51610,VA,Falls Church city,3,3,6
2017-10-17,51061,VA,Fauquier County,19,19,26
2017-10-17,51069,VA,Frederick County,0,1,1
2017-10-17,51630,VA,Fredericksburg city,10,10,10
2017-10-17,51107,VA,Loudoun County,36,36,43
2017-10-17,51683,VA,Manassas city,19,19,31
2017-10-17,51147,VA,Prince Edward County,0,1,1
2017-10-17,51153,VA,Prince William County,54,55,70
2017-10-17,51171,VA,Shenandoah County,1,0,1
2017-10-17,51179,VA,Stafford County,4,4,5
2017-10-17,53033,WA,King County,1,1,1
2017-10-17,54037,WV,Jefferson County,31,31,36
2017-10-18,11001,DC,District of Columbia,107,106,146
2017-10-18,24003,MD,Anne Arundel County,34,34,44
2017-10-18,24005,MD,Baltimore County,2,2,4
2017-10-18,24510,MD,Baltimore city,1,1,2
2017-10-18,24009,MD,Calvert County,3,3,5
2017-10-18,24013,MD,Carroll County,3,3,4
2017-10-18,24017,MD,Charles County,19,19,22
2017-10-18,24021,MD,Frederick County,61,61,65
2017-10-18,24027,MD,Howard County,19,19,24
2017-10-18,24031,MD,Montgomery County,153,155,189
2017-10-18,24033,MD,Prince George's County,30,30,39
2017-10-18,51510,VA,Alexandria city,24,24,33
2017-10-18,51013,VA,Arlington County,33,33,48
2017-10-18,51047,VA,Culpeper County,1,1,2
2017-10-18,51059,VA,Fairfax County,143,143,182
2017-10-18,51600,VA,Fairfax city,10,10,19
2017-10-18,51610,VA,Falls Church city,3,3,6
2017-10-18,51630,VA,Fredericksburg city,4,4,6
2017-10-18,51107,VA,Loudoun County,25,24,30
2017-10-18,51683,VA,Manassas city,18,17,20
2017-10-18,51153,VA,Prince William County,44,45,64
2017-10-18,51177,VA,Spotsylvania County,16,16,18
2017-10-18,54037,WV,Jefferson County,22,22,22
2017-10-19,11001,DC,District of Columbia,184,182,222
2017-10-19,24003,MD,Anne Arundel County,33,33,40
2017-10-19,24005,MD,Baltimore County,5,6,7
2017-10-19,24009,MD,Calvert County,3,3,4
2017-10-19,24013,MD,Carroll County,4,4,5
2017-10-19,24017,MD,Charles County,16,16,21
2017-10-19,24021,MD,Frederick County,59,60,67
2017-10-19,24027,MD,Howard County,18,17,20
2017-10-19,24031,MD,Montgomery County,148,149,177
2017-10-19,24033,MD,Prince George's County,106,104,122
2017-10-19,24037,MD,St. Mary's County,32,33,34
2017-10-19,24045,MD,Wicomico County,1,0,1
2017-10-19,37065,NC,Edgecombe County,6,6,6
2017-10-19,42043,PA,Dauphin County,1,2,3
2017-10-19,42133,PA,York County,2,2,4
2017-10-19,51510,VA,Alexandria city,49,49,63
2017-10-19,51013,VA,Arlington County,49,49,69
2017-10-19,51059,VA,Fairfax County,143,142,171
2017-10-19,51600,VA,Fairfax city,9,8,13
2017-10-19,51610,VA,Falls Church city,28,28,28
2017-10-19,51630,VA,Fredericksburg city,9,9,14
2017-10-19,51107,VA,Loudoun County,19,21,29
2017-10-19,51109,VA,Louisa County,2,2,4
2017-10-19,51685,VA,Manassas Park city,3,3,6
2017-10-19,51683,VA,Manassas city,22,22,29
2017-10-19,51153,VA,Prince William County,56,56,72
2017-10-19,51177,VA,Spotsylvania County,48,48,57
2017-10-19,51179,VA,Stafford County,1,1,2
2017-10-19,54037,WV,Jefferson County,15,15,16
2017-10-20,11001,DC,District of Columbia,114,111,138
2017-10-20,24003,MD,Anne Arundel County,29,26,37
2017-10-20,24005,MD,Baltimore County,1,4,5
2017-10-20,24009,MD,Calvert County,2,2,4
2017-10-20,24013,MD,Carroll County,5,5,9
2017-10-20,24017,MD,Charles County,49,49,54
2017-10-20,24021,MD,Frederick County,16,16,19
2017-10-20,24025,MD,Harford County,0,2,2
2017-10-20,24027,MD,Howard County,8,8,11
2017-10-20,24031,MD,Montgomery County,124,122,139
2017-10-20,24033,MD,Prince George's County,47,47,58
2017-10-20,24037,MD,St. Mary's County,11,10,13
2017-10-20,42001,PA,Adams County,12,16,16
2017-10-20,51510,VA,Alexandria city,20,20,25
2017-10-20,51013,VA,Arlington County,60,57,79
2017-10-20,51059,VA,Fairfax County,151,150,188
2017-10-20,51600,VA,Fairfax city,7,7,14
2017-10-20,51610,VA,Falls Church city,2,2,4
2017-10-20,51061,VA,Fauquier County,7,8,13
2017-10-20,51650,VA,Hampton city,0,1,1
2017-10-20,51107,VA,Loudoun County,16,16,23
2017-10-20,51683,VA,Manassas city,2,2,4
2017-10-20,51153,VA,Prince William County,5,5,10
2017-10-20,51177,VA,Spotsylvania County,9,7,9
2017-10-20,54037,WV,Jefferson County,0,2,2
2017-10-23,11001,DC,District of Columbia,155,154,188
2017-10-23,24003,MD,Anne Arundel County,78,78,85
2017-10-23,24005,MD,Baltimore County,1,2,3
2017-10-23,24510,MD,Baltimore city,2,1,3
2017-10-23,24009,MD,Calvert County,6,6,6
2017-10-23,24013,MD,Carroll County,13,13,15
2017-10-23,24017,MD,Charles County,15,15,19
2017-10-23,24021,MD,Frederick County,18,16,23
2017-10-23,24027,MD,Howard County,5,5,7
2017-10-23,24031,MD,Montgomery County,69,68,87
2017-10-23,24033,MD,Prince George's County,29,29,37
2017-10-23,24037,MD,St. Mary's County,4,4,5
2017-10-23,51510,VA,Alexandria city,23,23,36
2017-10-23,51013,VA,Arlington County,52,53,74
2017-10-23,51059,VA,Fairfax County,80,80,114
2017-10-23,51600,VA,Fairfax city,1,1,2
2017-10-23,51610,VA,Falls Church city,2,2,3
2017-10-23,51061,VA,Fauquier County,3,3,3
2017-10-23,51630,VA,Fredericksburg city,2,2,3
2017-10-23,51107,VA,Loudoun County,52,53,62
2017-10-23,51683,VA,Manassas city,2,2,3
2017-10-23,51153,VA,Prince William County,3,3,6
2017-10-23,51177,VA,Spotsylvania County,4,4,4
2017-10-23,51179,VA,Stafford County,1,1,2
2017-10-23,51840,VA,Winchester city,1,1,2
2017-10-23,54037,WV,Jefferson County,10,10,13
2017-10-24,11001,DC,District of Columbia,116,116,147
2017-10-24,24003,MD,Anne Arundel County,28,28,34
2017-10-24,24510,MD,Baltimore city,4,4,8
2017-10-24,24009,MD,Calvert County,35,35,36
2017-10-24,24013,MD,Carroll County,12,12,13
2017-10-24,24017,MD,Charles County,15,15,18
2017-10-24,24021,MD,Frederick County,15,15,15
2017-10-24,24027,MD,Howard County,1,1,2
2017-10-24,24031,MD,Montgomery County,93,94,112
2017-10-24,24033,MD,Prince George's County,49,49,63
2017-10-24,42133,PA,York County,1,1,2
2017-10-24,51510,VA,Alexandria city,25,23,34
2017-10-24,51013,VA,Arlington County,36,36,47
2017-10-24,51043,VA,Clarke County,5,5,7
2017-10-24,51059,VA,Fairfax County,69,69,94
2017-10-24,51600,VA,Fairfax city,13,13,20
2017-10-24,51610,VA,Falls Church city,8,8,12
2017-10-24,51061,VA,Fauquier County,6,6,8
2017-10-24,51069,VA,Frederick County,2,2,4
2017-10-24,51107,VA,Loudoun County,17,17,22
2017-10-24,51685,VA,Manassas Park city,1,1,2
2017-10-24,51683,VA,Manassas city,4,4,8
2017-10-24,51135,VA,Nottoway County,1,0,1
2017-10-24,51730,VA,Petersburg city,0,1,1
2017-10-24,51153,VA,Prince William County,41,40,54
