trip_date,weekday,trip_count
2017-10-10,Tuesday,128
2017-10-11,Wednesday,267
2017-10-12,Thursday,271
2017-10-13,Friday,432
2017-10-16,Monday,808
2017-10-17,Tuesday,940
2017-10-18,Wednesday,776
2017-10-19,Thursday,1072
2017-10-20,Friday,700
2017-10-23,Monday,633
2017-10-24,Tuesday,610
2017-10-25,Wednesday,676
2017-10-26,Thursday,643
2017-10-27,Friday,501
2017-10-30,Monday,574
2017-10-31,Tuesday,842
2017-11-01,Wednesday,607
2017-11-02,Thursday,820
2017-11-03,Friday,943
2017-11-06,Monday,430
2017-11-07,Tuesday,543
2017-11-08,Wednesday,493
2017-11-09,Thursday,607
2017-11-13,Monday,746
2017-11-14,Tuesday,725
2017-11-15,Wednesday,695
2017-11-16,Thursday,887
2017-11-17,Friday,1200
2017-11-20,Monday,586
2017-11-21,Tuesday,581
2017-11-22,Wednesday,539
2017-11-27,Monday,529
2017-11-28,Tuesday,549
2017-11-29,Wednesday,578
2017-11-30,Thursday,1042
2017-12-01,Friday,1150
2017-12-04,Monday,729
2017-12-05,Tuesday,381
2017-12-06,Wednesday,509
2017-12-07,Thursday,608
2017-12-08,Friday,506
2017-12-11,Monday,673
2017-12-12,Tuesday,742
2017-12-13,Wednesday,666
2017-12-14,Thursday,697
2017-12-15,Friday,681
2017-12-18,Monday,389
2017-12-19,Tuesday,442
2017-12-20,Wednesday,481
2017-12-21,Thursday,555
2017-12-22,Friday,318
2018-01-01,Monday,26
2018-01-02,Tuesday,1002
2018-01-03,Wednesday,923
2018-01-04,Thursday,538
2018-01-05,Friday,833
2018-01-08,Monday,780
2018-01-09,Tuesday,533
2018-01-10,Wednesday,551
2018-01-11,Thursday,503
2018-01-12,Friday,491
2018-01-16,Tuesday,198
2018-01-17,Wednesday,216
2018-01-18,Thursday,183
2018-01-19,Friday,361
2018-01-22,Monday,760
2018-01-23,Tuesday,678
2018-01-24,Wednesday,742
2018-01-25,Thursday,720
2018-01-26,Friday,637
2018-01-29,Monday,305
2018-01-30,Tuesday,354
2018-01-31,Wednesday,449
2018-02-01,Thursday,333
2018-02-02,Friday,417
2018-02-05,Monday,553
2018-02-06,Tuesday,435
2018-02-07,Wednesday,539
2018-02-08,Thursday,766
2018-02-09,Friday,687
2018-02-12,Monday,691
2018-02-13,Tuesday,722
2018-02-14,Wednesday,662
2018-02-15,Thursday,600
2018-02-16,Friday,586
2018-02-20,Tuesday,604
2018-02-21,Wednesday,586
2018-02-22,Thursday,553
2018-02-23,Friday,652
2018-02-26,Monday,1043
2018-02-27,Tuesday,719
2018-02-28,Wednesday,767
2018-03-01,Thursday,648
2018-03-02,Friday,552
2018-03-05,Monday,602
2018-03-06,Tuesday,511
2018-03-07,Wednesday,513
2018-03-08,Thursday,572
2018-03-09,Friday,615
2018-03-12,Monday,352
2018-03-13,Tuesday,565
2018-03-14,Wednesday,415
2018-03-15,Thursday,312
2018-03-16,Friday,406
2018-03-19,Monday,496
2018-03-20,Tuesday,486
2018-03-21,Wednesday,197
2018-03-22,Thursday,474
2018-03-23,Friday,701
2018-03-26,Monday,337
2018-03-27,Tuesday,418
2018-03-28,Wednesday,426
2018-03-29,Thursday,392
2018-03-30,Friday,466
2018-04-02,Monday,595
2018-04-03,Tuesday,521
2018-04-04,Wednesday,610
2018-04-05,Thursday,520
2018-04-06,Friday,588
2018-04-09,Monday,524
2018-04-10,Tuesday,351
2018-04-11,Wednesday,404
2018-04-12,Thursday,375
2018-04-13,Friday,459
2018-04-16,Monday,301
2018-04-17,Tuesday,262
2018-04-18,Wednesday,159
2018-04-19,Thursday,327
2018-04-20,Friday,441
2018-04-23,Monday,491
2018-04-24,Tuesday,520
2018-04-25,Wednesday,383
2018-04-26,Thursday,631
2018-04-27,Friday,548
2018-04-30,Monday,651
2018-05-01,Tuesday,577
2018-05-02,Wednesday,603
2018-05-03,Thursday,466
2018-05-04,Friday,411
2018-05-07,Monday,599
2018-05-08,Tuesday,645
2018-05-09,Wednesday,641
2018-05-10,Thursday,587
2018-05-11,Friday,613
2018-05-14,Monday,702
2018-05-15,Tuesday,698
2018-05-16,Wednesday,532
2018-05-17,Thursday,758
2018-05-18,Friday,697
2018-05-21,Monday,652
2018-05-22,Tuesday,738
2018-05-23,Wednesday,654
2018-05-24,Thursday,729
2018-05-25,Friday,671
2018-05-29,Tuesday,667
2018-05-30,Wednesday,613
2018-05-31,Thursday,576
2018-06-01,Friday,605
2018-06-04,Monday,1047
2018-06-05,Tuesday,516
2018-06-06,Wednesday,671
2018-06-07,Thursday,470
2018-06-08,Friday,652
2018-06-11,Monday,570
2018-06-12,Tuesday,602
2018-06-13,Wednesday,595
2018-06-14,Thursday,459
2018-06-15,Friday,562
2018-06-18,Monday,480
2018-06-19,Tuesday,483
2018-06-20,Wednesday,439
2018-06-21,Thursday,332
2018-06-22,Friday,360
2018-06-25,Monday,474
2018-06-26,Tuesday,558
2018-06-27,Wednesday,547
2018-06-28,Thursday,351
2018-06-29,Friday,394
2018-07-02,Monday,765
2018-07-03,Tuesday,468
2018-07-05,Thursday,513
2018-07-06,Friday,475
2018-07-09,Monday,472
2018-07-10,Tuesday,356
2018-07-11,Wednesday,971
2018-07-12,Thursday,282
2018-07-13,Friday,326
2018-07-16,Monday,414
2018-07-17,Tuesday,323
2018-07-18,Wednesday,410
2018-07-19,Thursday,407
2018-07-20,Friday,665
2018-07-23,Monday,392
2018-07-24,Tuesday,357
2018-07-25,Wednesday,406
2018-07-26,Thursday,457
2018-07-27,Friday,550
2018-07-30,Monday,418
2018-07-31,Tuesday,677
2018-08-01,Wednesday,454
2018-08-02,Thursday,433
2018-08-03,Friday,369
2018-08-06,Monday,308
2018-08-07,Tuesday,313
2018-08-08,Wednesday,284
2018-08-09,Thursday,353
2018-08-10,Friday,352
2018-08-13,Monday,241
2018-08-14,Tuesday,165
2018-08-15,Wednesday,143
2018-08-16,Thursday,359
2018-08-17,Friday,222
2018-08-20,Monday,204
2018-08-21,Tuesday,259
2018-08-22,Wednesday,195
2018-08-23,Thursday,245
2018-08-24,Friday,344
2018-08-27,Monday,389
2018-08-28,Tuesday,211
2018-08-29,Wednesday,268
2018-08-30,Thursday,311
2018-08-31,Friday,722
2018-09-04,Tuesday,238
2018-09-05,Wednesday,158
2018-09-06,Thursday,210
2018-09-07,Friday,439
2018-09-10,Monday,770
2018-09-11,Tuesday,120
2018-09-12,Wednesday,133
2018-09-13,Thursday,204
2018-09-14,Friday,489
2018-09-17,Monday,214
2018-09-18,Tuesday,383
2018-09-19,Wednesday,207
2018-09-20,Thursday,517
2018-09-21,Friday,229
2018-09-24,Monday,193
2018-09-25,Tuesday,338
2018-09-26,Wednesday,180
2018-09-27,Thursday,369
2018-09-28,Friday,400
2018-10-01,Monday,457
2018-10-02,Tuesday,552
2018-10-03,Wednesday,471
2018-10-04,Thursday,461
2018-10-05,Friday,327
2018-10-08,Monday,225
2018-10-09,Tuesday,430
2018-10-10,Wednesday,397
2018-10-11,Thursday,249
2018-10-12,Friday,417
2018-10-15,Monday,383
2018-10-16,Tuesday,347
2018-10-17,Wednesday,558
2018-10-18,Thursday,435
2018-10-19,Friday,615
2018-10-22,Monday,386
2018-10-23,Tuesday,551
2018-10-24,Wednesday,493
2018-10-25,Thursday,696
2018-10-26,Friday,486
2018-10-29,Monday,546
2018-10-30,Tuesday,676
2018-10-31,Wednesday,601
2018-11-01,Thursday,655
2018-11-02,Friday,471
2018-11-05,Monday,374
2018-11-06,Tuesday,338
2018-11-07,Wednesday,460
2018-11-08,Thursday,317
2018-11-09,Friday,247
2018-11-12,Monday,149
2018-11-13,Tuesday,192
2018-11-14,Wednesday,193
2018-11-15,Thursday,196
2018-11-16,Friday,158
2018-11-19,Monday,217
2018-11-20,Tuesday,127
2018-11-21,Wednesday,134
2018-11-26,Monday,116
2018-11-27,Tuesday,167
2018-11-28,Wednesday,236
2018-11-29,Thursday,254
2018-11-30,Friday,409
2018-12-03,Monday,277
2018-12-04,Tuesday,280
2018-12-05,Wednesday,209
2018-12-06,Thursday,192
2018-12-07,Friday,170
2018-12-10,Monday,153
2018-12-11,Tuesday,241
