canonical_field,configured_source_field,resolved_source_field,configured,field_found,rows,missing_count,missing_share,derivation
trip_id,,,False,False,110926,110926,1.0,
household_id,,,False,False,110926,110926,1.0,
person_id,,,False,False,110926,110926,1.0,
origin_tract,o_tract_fips,o_tract_fips,True,True,110926,0,0.0,
destination_tract,d_tract_fips,d_tract_fips,True,True,110926,0,0.0,
trip_date,derived:survey_week+day_of_week,,True,True,110926,0,0.0,"{'derived': True, 'reference_date': '2017-01-01', 'week_field': 'survey_week', 'day_of_week_field': 'day_of_week', 'week_index_base': 0, 'valid_derived_dates': 110926}"
survey_date,,,False,False,110926,110926,1.0,
survey_year,,,False,False,110926,110926,1.0,
survey_month,,,False,False,110926,110926,1.0,
survey_week,tdate_week,tdate_week,True,True,110926,0,0.0,
day_of_week,tdate_dow,tdate_dow,True,True,110926,0,0.0,
departure_time,departure_time_minutes,departure_time_minutes,True,True,110926,0,0.0,
arrival_time,,,False,False,110926,110926,1.0,
travel_time_min,reported_travel_time,reported_travel_time,True,True,110926,0,0.0,
mode,travel_mode,travel_mode,True,True,110926,0,0.0,
purpose,d_activity,d_activity,True,True,110926,0,0.0,
weight,weight,weight,True,True,110926,0,0.0,
vehicle_available,numvehicle,numvehicle,True,True,110926,0,0.0,
vehicle_occupancy,vehicle_occupancy,vehicle_occupancy,True,True,110926,0,0.0,
