coverage_type,year,month,day_of_week,hour,count,status,note
calendar,,,,,110926,unknown,No exact trip date or configured year/month fields were available.
day_of_week,,,1,,21393,observed,from configured day_of_week field
day_of_week,,,2,,22326,observed,from configured day_of_week field
day_of_week,,,3,,22038,observed,from configured day_of_week field
day_of_week,,,4,,21948,observed,from configured day_of_week field
day_of_week,,,5,,23221,observed,from configured day_of_week field
hour,,,,0,198,observed,from configured departure_time field
hour,,,,1,100,observed,from configured departure_time field
hour,,,,2,76,observed,from configured departure_time field
hour,,,,3,170,observed,from configured departure_time field
hour,,,,4,532,observed,from configured departure_time field
hour,,,,5,1661,observed,from configured departure_time field
hour,,,,6,3940,observed,from configured departure_time field
hour,,,,7,7696,observed,from configured departure_time field
hour,,,,8,7506,observed,from configured departure_time field
hour,,,,9,6337,observed,from configured departure_time field
hour,,,,10,6166,observed,from configured departure_time field
hour,,,,11,7068,observed,from configured departure_time field
hour,,,,12,7511,observed,from configured departure_time field
hour,,,,13,6843,observed,from configured departure_time field
hour,,,,14,7224,observed,from configured departure_time field
hour,,,,15,8391,observed,from configured departure_time field
hour,,,,16,9472,observed,from configured departure_time field
hour,,,,17,9803,observed,from configured departure_time field
hour,,,,18,7678,observed,from configured departure_time field
hour,,,,19,4992,observed,from configured departure_time field
hour,,,,20,3651,observed,from configured departure_time field
hour,,,,21,2243,observed,from configured departure_time field
hour,,,,22,1120,observed,from configured departure_time field
hour,,,,23,548,observed,from configured departure_time field
