household_id,person_id,tripid,persno,tripno,area_type,food_delivered,hh_income_detailed,hhsize,home_bmc_taz,home_ownership,home_state_puma,home_tpb_taz,home_type,numbicycle,numvehicle,numworkers,package_delivered,service_delivered,tdate_string,wthhfin,home_state_county_fips,home_tract_fips,home_fips,age,disability,employment_status,gender,j1_benefits_bicycle_parking,j1_benefits_carpool,j1_benefits_ev_charging,j1_benefits_free_parking,j1_benefits_none,j1_benefits_parking,j1_benefits_transit,j1_benefits_walking_biking,j1_commute_mode,j1_telecommute,j1_telecommute_days,j1_workplace_loc,jobs_count,license,person_tripcount,race_ethnicity_hispanic,race_ethnicity,smartphone,student_status,td_shop_time,td_telecommute_time,volunteer_status,walk_bike_loop_trips,work_bmc_taz,work_state_county_fips,work_tract_fips,work_fips,work_tpb_taz,school_bmc_taz,school_state_county_fips,school_tract_fips,school_fips,school_mode,school_tpb_taz,school_type,travel_mode,travelers_hh,travelers_nonhh,vehicle_occupancy,subway_access_mode,subway_egress_mode,subway_pay,subway_station_board,subway_station_exit,subway_used,toll_road_used,transit_access_mode,transit_egress_mode,hov_used,park_loc,park_pay,reported_travel_time,departure_time_in_minutes_after_arrival,departure_time_hhmm,arrival_time_hhmm,fueltype,bodytype,year,make,model,tolltransponder,o_activity,d_activity,o_bmc_taz,d_bmc_taz,o_fips,d_fips,o_state_county_fips,o_tract_fips,d_state_county_fips,d_tract_fips,o_tpb_taz,d_tpb_taz
1,1,1,1,1,10,0,5,2,,1,24_00700,,1,2,3,1,0,0,2018-10-23,1,24015,030200,24015030200,66,2,0,2,0,0,0,1,0,0,0,0,3,1,3,1,1,1,4,2,1,1,0,0,2,,,,,,,,,,,,,,,4,2,1,3,,,,,,0,,,,,2,0,23,512,08:32,08:55,1.0,4.0,2015.0,Chevrolet,Silverado,1.0,1,5,,,24015030200,24015030506,24015,030200,24015,030506,,
1,1,2,1,2,10,0,5,2,,1,24_00700,,1,2,3,1,0,0,2018-10-23,1,24015,030200,24015030200,66,2,0,2,0,0,0,1,0,0,0,0,3,1,3,1,1,1,4,2,1,1,0,0,2,,,,,,,,,,,,,,,4,2,1,3,,,,,,0,,,,,2,0,9,29,09:24,09:33,1.0,4.0,2015.0,Chevrolet,Silverado,1.0,5,5,,,24015030506,24015030505,24015,030506,24015,030505,,
1,1,3,1,3,10,0,5,2,,1,24_00700,,1,2,3,1,0,0,2018-10-23,1,24015,030200,24015030200,66,2,0,2,0,0,0,1,0,0,0,0,3,1,3,1,1,1,4,2,1,1,0,0,2,,,,,,,,,,,,,,,4,2,1,3,,,,,,0,,,,,2,0,6,14,09:47,09:53,1.0,4.0,2015.0,Chevrolet,Silverado,1.0,5,5,,,24015030505,24015030505,24015,030505,24015,030505,,
1,1,4,1,4,10,0,5,2,,1,24_00700,,1,2,3,1,0,0,2018-10-23,1,24015,030200,24015030200,66,2,0,2,0,0,0,1,0,0,0,0,3,1,3,1,1,1,4,2,1,1,0,0,2,,,,,,,,,,,,,,,4,2,1,3,,,,,,0,,,,,1,0,15,67,11:00,11:15,1.0,4.0,2015.0,Chevrolet,Silverado,1.0,5,1,,,24015030505,24015030200,24015,030505,24015,030200,,
1,2,5,2,1,10,0,5,2,,1,24_00700,,1,2,3,1,0,0,2018-10-23,1,24015,030200,24015030200,66,2,1,1,,,,,,,,,,,,,,1,4,2,1,1,0,0,,1,,,,,,,,,,,,,,5,2,1,3,,,,,,0,,,,,,,25,510,08:30,08:55,1.0,4.0,2015.0,Chevrolet,Silverado,1.0,1,5,,,24015030200,24015030506,24015,030200,24015,030506,,
1,2,6,2,2,10,0,5,2,,1,24_00700,,1,2,3,1,0,0,2018-10-23,1,24015,030200,24015030200,66,2,1,1,,,,,,,,,,,,,,1,4,2,1,1,0,0,,1,,,,,,,,,,,,,,5,2,1,3,,,,,,0,,,,,,,9,29,09:24,09:33,1.0,4.0,2015.0,Chevrolet,Silverado,1.0,5,5,,,24015030506,24015030505,24015,030506,24015,030505,,
1,2,7,2,3,10,0,5,2,,1,24_00700,,1,2,3,1,0,0,2018-10-23,1,24015,030200,24015030200,66,2,1,1,,,,,,,,,,,,,,1,4,2,1,1,0,0,,1,,,,,,,,,,,,,,5,2,1,3,,,,,,0,,,,,,,6,14,09:47,09:53,1.0,4.0,2015.0,Chevrolet,Silverado,1.0,5,5,,,24015030505,24015030505,24015,030505,24015,030505,,
1,2,8,2,4,10,0,5,2,,1,24_00700,,1,2,3,1,0,0,2018-10-23,1,24015,030200,24015030200,66,2,1,1,,,,,,,,,,,,,,1,4,2,1,1,0,0,,1,,,,,,,,,,,,,,5,2,1,3,,,,,,0,,,,,,,15,67,11:00,11:15,1.0,4.0,2015.0,Chevrolet,Silverado,1.0,5,1,,,24015030505,24015030200,24015,030505,24015,030200,,
2,3,9,1,1,12,0,6,2,760,1,24_00504,,1,0,2,1,0,0,2018-07-11,1,24005,491701,24005491701,47,2,0,1,0,0,0,1,0,0,0,0,3,2,,1,2,1,7,2,1,1,0,0,0,,,459,24003,731307,24003731307,3068,,,,,,,,4,1,0,1,,,,,,0,,,,,2,,50,366,06:06,06:56,1.0,1.0,2018.0,Subaru,Legacy/Outback,1.0,1,2,760,574,24005491701,24003701400,24005,491701,24003,701400,,3109
2,3,10,1,2,12,0,6,2,760,1,24_00504,,1,0,2,1,0,0,2018-07-11,1,24005,491701,24005491701,47,2,0,1,0,0,0,1,0,0,0,0,3,2,,1,2,1,7,2,1,1,0,0,0,,,459,24003,731307,24003731307,3068,,,,,,,,4,1,0,1,,,,,,0,,,,,2,,45,79,08:15,09:00,1.0,1.0,2018.0,Subaru,Legacy/Outback,1.0,2,5,574,833,24003701400,24005440600,24003,701400,24005,440600,3109,
2,3,11,1,3,12,0,6,2,760,1,24_00504,,1,0,2,1,0,0,2018-07-11,1,24005,491701,24005491701,47,2,0,1,0,0,0,1,0,0,0,0,3,2,,1,2,1,7,2,1,1,0,0,0,,,459,24003,731307,24003731307,3068,,,,,,,,4,1,0,1,,,,,,0,,,,,2,,11,59,09:59,10:10,1.0,1.0,2018.0,Subaru,Legacy/Outback,1.0,5,5,833,782,24005440600,24005411404,24005,440600,24005,411404,,
2,3,12,1,4,12,0,6,2,760,1,24_00504,,1,0,2,1,0,0,2018-07-11,1,24005,491701,24005491701,47,2,0,1,0,0,0,1,0,0,0,0,3,2,,1,2,1,7,2,1,1,0,0,0,,,459,24003,731307,24003731307,3068,,,,,,,,4,1,0,1,,,,,,0,,,,,2,,10,20,10:30,10:40,1.0,1.0,2018.0,Subaru,Legacy/Outback,1.0,5,16,782,769,24005411404,24005492200,24005,411404,24005,492200,,
2,3,13,1,5,12,0,6,2,760,1,24_00504,,1,0,2,1,0,0,2018-07-11,1,24005,491701,24005491701,47,2,0,1,0,0,0,1,0,0,0,0,3,2,,1,2,1,7,2,1,1,0,0,0,,,459,24003,731307,24003731307,3068,,,,,,,,4,1,1,2,,,,,,0,,,,,1,,2,5,10:45,10:47,1.0,1.0,2018.0,Subaru,Legacy/Outback,1.0,16,11,769,760,24005492200,24005491701,24005,492200,24005,491701,,
2,3,14,1,6,12,0,6,2,760,1,24_00504,,1,0,2,1,0,0,2018-07-11,1,24005,491701,24005491701,47,2,0,1,0,0,0,1,0,0,0,0,3,2,,1,2,1,7,2,1,1,0,0,0,,,459,24003,731307,24003731307,3068,,,,,,,,4,1,1,2,,,,,,0,,,,,2,,5,113,12:40,12:45,1.0,1.0,2018.0,Subaru,Legacy/Outback,1.0,11,16,760,769,24005491701,24005492200,24005,491701,24005,492200,,
2,3,15,1,7,12,0,6,2,760,1,24_00504,,1,0,2,1,0,0,2018-07-11,1,24005,491701,24005491701,47,2,0,1,0,0,0,1,0,0,0,0,3,2,,1,2,1,7,2,1,1,0,0,0,,,459,24003,731307,24003731307,3068,,,,,,,,4,1,0,1,,,,,,0,,,,,1,,5,5,12:50,12:55,1.0,1.0,2018.0,Subaru,Legacy/Outback,1.0,16,1,769,760,24005492200,24005491701,24005,492200,24005,491701,,
3,4,16,1,1,1,0,5,2,2022,2,24_01007,622,1,5,2,2,0,0,2017-11-15,1,24031,702402,24031702402,35,2,0,1,1,0,0,0,0,0,0,0,2,2,,1,1,1,4,2,4,1,1,0,8,1,0,2310,24033,807000,24033807000,910,2021,24031,701800,24031701800,2,621,6,2,1,0,,,,,,,,,,,,,,30,570,09:30,10:00,,,,,,,1,2,2022,2310,24031702402,24033807000,24031,702402,24033,807000,622,910
3,4,17,1,2,1,0,5,2,2022,2,24_01007,622,1,5,2,2,0,0,2017-11-15,1,24031,702402,24031702402,35,2,0,1,1,0,0,0,0,0,0,0,2,2,,1,1,1,4,2,4,1,1,0,8,1,0,2310,24033,807000,24033807000,910,2021,24031,701800,24031701800,2,621,6,2,1,0,,,,,,,,,,,,,,30,540,19:00,19:30,,,,,,,2,1,2310,2022,24033807000,24031702402,24033,807000,24031,702402,910,622
3,4,18,1,3,1,0,5,2,2022,2,24_01007,622,1,5,2,2,0,0,2017-11-15,1,24031,702402,24031702402,35,2,0,1,1,0,0,0,0,0,0,0,2,2,,1,1,1,4,2,4,1,1,0,8,1,0,2310,24033,807000,24033807000,910,2021,24031,701800,24031701800,2,621,6,4,1,0,1,,,,,,,,,,,1,,10,5,19:35,19:45,1.0,3.0,2005.0,Hyundai,Tucson,2.0,1,6,2022,2024,24031702402,24031702800,24031,702402,24031,702800,622,624
3,4,19,1,4,1,0,5,2,2022,2,24_01007,622,1,5,2,2,0,0,2017-11-15,1,24031,702402,24031702402,35,2,0,1,1,0,0,0,0,0,0,0,2,2,,1,1,1,4,2,4,1,1,0,8,1,0,2310,24033,807000,24033807000,910,2021,24031,701800,24031701800,2,621,6,4,1,0,1,,,,,,,,,,,1,,10,5,19:50,20:00,1.0,3.0,2005.0,Hyundai,Tucson,2.0,6,1,2024,2022,24031702800,24031702402,24031,702800,24031,702402,624,622
4,5,20,1,1,0,0,5,2,2032,1,24_01004,632,1,2,2,2,0,0,2017-12-04,1,24031,705100,24031705100,58,2,0,2,0,0,0,1,0,0,0,0,3,2,,1,2,1,6,2,3,1,0,0,1,2,0,2086,24031,701213,24031701213,686,,,,,,,,4,1,0,1,,,,,,,,,,,2,0,15,380,06:20,06:35,1.0,1.0,2016.0,Volkswagen,Passat,1.0,1,2,2032,2086,24031705100,24031701213,24031,705100,24031,701213,632,686
4,5,21,1,2,0,0,5,2,2032,1,24_01004,632,1,2,2,2,0,0,2017-12-04,1,24031,705100,24031705100,58,2,0,2,0,0,0,1,0,0,0,0,3,2,,1,2,1,6,2,3,1,0,0,1,2,0,2086,24031,701213,24031701213,686,,,,,,,,4,1,0,1,,,,,,,,,,,1,,15,510,15:05,15:20,1.0,1.0,2016.0,Volkswagen,Passat,1.0,2,1,2086,2032,24031701213,24031705100,24031,701213,24031,705100,686,632
4,5,22,1,3,0,0,5,2,2032,1,24_01004,632,1,2,2,2,0,0,2017-12-04,1,24031,705100,24031705100,58,2,0,2,0,0,0,1,0,0,0,0,3,2,,1,2,1,6,2,3,1,0,0,1,2,0,2086,24031,701213,24031701213,686,,,,,,,,4,1,0,1,,,,,,,,,,,2,1,15,50,16:10,16:25,1.0,1.0,2016.0,Volkswagen,Passat,1.0,1,18,2032,2062,24031705100,24031704805,24031,705100,24031,704805,632,662
4,5,23,1,4,0,0,5,2,2032,1,24_01004,632,1,2,2,2,0,0,2017-12-04,1,24031,705100,24031705100,58,2,0,2,0,0,0,1,0,0,0,0,3,2,,1,2,1,6,2,3,1,0,0,1,2,0,2086,24031,701213,24031701213,686,,,,,,,,7,1,0,,1,1,1,7,72,1,,1,1,,,,55,10,16:35,17:30,,,,,,,18,11,2062,1568,24031704805,11001003200,24031,704805,11001,003200,662,169
4,5,24,1,5,0,0,5,2,2032,1,24_01004,632,1,2,2,2,0,0,2017-12-04,1,24031,705100,24031705100,58,2,0,2,0,0,0,1,0,0,0,0,3,2,,1,2,1,6,2,3,1,0,0,1,2,0,2086,24031,701213,24031701213,686,,,,,,,,1,1,3,,,,,,,,,,,,,,5,65,18:35,18:40,,,,,,,11,14,1568,1568,11001003200,11001003400,11001,003200,11001,003400,169,169
4,5,25,1,6,0,0,5,2,2032,1,24_01004,632,1,2,2,2,0,0,2017-12-04,1,24031,705100,24031705100,58,2,0,2,0,0,0,1,0,0,0,0,3,2,,1,2,1,6,2,3,1,0,0,1,2,0,2086,24031,701213,24031701213,686,,,,,,,,12,1,0,,,,,,,,,,,,,,45,140,21:00,21:45,,,,,,,14,1,1568,2032,11001003400,24031705100,11001,003400,24031,705100,169,632
