household_id,person_id,tripid,persno,tripno,area_type,food_delivered,hh_income_detailed,hhsize,home_bmc_taz,home_ownership,home_state_puma,home_tpb_taz,home_type,numbicycle,numvehicle,numworkers,package_delivered,service_delivered,tdate_string,wthhfin,home_state_county_fips,home_tract_fips,home_fips,age,disability,employment_status,gender,j1_benefits_bicycle_parking,j1_benefits_carpool,j1_benefits_ev_charging,j1_benefits_free_parking,j1_benefits_none,j1_benefits_parking,j1_benefits_transit,j1_benefits_walking_biking,j1_commute_mode,j1_telecommute,j1_telecommute_days,j1_workplace_loc,jobs_count,license,person_tripcount,race_ethnicity_hispanic,race_ethnicity,smartphone,student_status,td_shop_time,td_telecommute_time,volunteer_status,walk_bike_loop_trips,work_bmc_taz,work_state_county_fips,work_tract_fips,work_fips,work_tpb_taz,school_bmc_taz,school_state_county_fips,school_tract_fips,school_fips,school_mode,school_tpb_taz,school_type,travel_mode,travelers_hh,travelers_nonhh,vehicle_occupancy,subway_access_mode,subway_egress_mode,subway_pay,subway_station_board,subway_station_exit,subway_used,toll_road_used,transit_access_mode,transit_egress_mode,hov_used,park_loc,park_pay,reported_travel_time,departure_time_in_minutes_after_arrival,departure_time_hhmm,arrival_time_hhmm,fueltype,bodytype,year,make,model,tolltransponder,o_activity,d_activity,o_bmc_taz,d_bmc_taz,o_fips,d_fips,o_state_county_fips,o_tract_fips,d_state_county_fips,d_tract_fips,o_tpb_taz,d_tpb_taz
40,95,682,1,1,10,0,4.030297,1.930457,,1,24_00100,19,1,0.033279,1.987356,0.969646,0,0,2018-04-05,1,51013,102500,51013102500,76.544334,1,1,2,0,,0,0,1,0,0,0,3,2,1.084905,,1.108785,1,3.060152,2,1,2,0,0,0.926596,1,0.502981,1765,11001,007301,11001007301,731,2826,,,,3,623,8,4,1.998919,0.005735,2.064669,,,,,,0,,,,,2,,12.805565,337.880463,05:38,05:51,1.0,3.0,2016.0,Ford,Edge,1.0,1,1,,,24023000500,24023000600,24023,000500,24023,000600,,
40,95,683,1,2,10,0,4.030297,1.930457,,1,24_00100,19,1,0.033279,1.987356,0.969646,0,0,2018-04-05,1,51013,102500,51013102500,76.544334,1,1,2,0,,0,0,1,0,0,0,3,2,1.084905,,1.108785,1,3.060152,2,1,2,0,0,0.926596,1,0.502981,1765,11001,007301,11001007301,731,2826,,,,3,623,8,4,,,,,,,,,0,,,,,1,0,,,,,1.0,3.0,2016.0,Ford,Edge,1.0,1,1,,,24023000600,24023000600,24023,000600,24023,000600,,
40,95,684,1,3,10,0,4.030297,1.930457,,1,24_00100,19,1,0.033279,1.987356,0.969646,0,0,2018-04-05,1,51013,102500,51013102500,76.544334,1,1,2,0,,0,0,1,0,0,0,3,2,1.084905,,1.108785,1,3.060152,2,1,2,0,0,0.926596,1,0.502981,1765,11001,007301,11001007301,731,2826,,,,3,623,8,4,,,,,,,,,0,,,,,2,0,,,,,,,,,,,1,9,,,24023000600,24023000500,24023,000600,24023,000500,,
40,95,685,1,4,10,0,4.030297,1.930457,,1,24_00100,19,1,0.033279,1.987356,0.969646,0,0,2018-04-05,1,51013,102500,51013102500,76.544334,1,1,2,0,,0,0,1,0,0,0,3,2,1.084905,,1.108785,1,3.060152,2,1,2,0,0,0.926596,1,0.502981,1765,11001,007301,11001007301,731,2826,,,,3,623,8,,,,,,,,,,,,,,,,1,,,,,,,,,,,9,5,,,24023000500,,24023,000500,,,,
40,95,686,1,5,10,0,4.030297,1.930457,,1,24_00100,19,1,0.033279,1.987356,0.969646,0,0,2018-04-05,1,51013,102500,51013102500,76.544334,1,1,2,0,,0,0,1,0,0,0,3,2,1.084905,,1.108785,1,3.060152,2,1,2,0,0,0.926596,1,0.502981,1765,11001,007301,11001007301,731,2826,,,,3,623,8,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,
40,95,687,1,6,10,0,4.030297,1.930457,,1,24_00100,19,1,0.033279,1.987356,0.969646,0,0,2018-04-05,1,51013,102500,51013102500,76.544334,1,1,2,0,,0,0,1,0,0,0,3,2,1.084905,,1.108785,1,3.060152,2,1,2,0,0,0.926596,1,0.502981,1765,11001,007301,11001007301,731,2826,,,,3,623,8,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,,,,,,,,,,
40,95,688,1,7,10,0,4.030297,1.930457,,1,24_00100,19,1,0.033279,1.987356,0.969646,0,0,2018-04-05,1,51013,102500,51013102500,76.544334,1,1,2,0,,0,0,1,0,0,0,3,2,1.084905,,1.108785,1,3.060152,2,1,2,0,0,0.926596,1,0.502981,1765,11001,007301,11001007301,731,2826,,,,3,623,8,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,,,,,,,,,,
40,96,689,2,1,10,0,4.030297,1.930457,,1,24_00100,19,1,0.033279,1.987356,0.969646,0,0,2018-04-05,1,51013,102500,51013102500,64.729065,2,0,1,0,0,0,1,0,0,0,0,3,2,1.117923,1,2.019867,1,3.162056,2,1,1,0,0,0,1,0.478181,1039,24510,160200,24510160200,,2909,51059,452501,51059452501,6,1168,9,5,1.991464,0,2.048146,,,,,,0,,,,,2,,17.646456,351.481049,05:51,06:09,1.0,3.0,2015.0,Jeep,Cherokee,1.0,1,2,2300,1772,51179010503,51177020108,51179,010503,51177,020108,,
40,96,690,2,2,10,0,4.030297,1.930457,,1,24_00100,19,1,0.033279,1.987356,0.969646,0,0,2018-04-05,1,51013,102500,51013102500,64.729065,2,0,1,0,0,0,1,0,0,0,0,3,2,1.117923,1,2.019867,1,3.162056,2,1,1,0,0,0,1,0.478181,1039,24510,160200,24510160200,,2909,51059,452501,51059452501,6,1168,9,5,,,,,,,,,0,,,,,2,,,,,,1.0,3.0,2015.0,Jeep,Cherokee,1.0,2,2,1772,2300,51177020108,51179010502,51177,020108,51179,010502,,
40,96,691,2,3,10,0,4.030297,1.930457,,1,24_00100,19,1,0.033279,1.987356,0.969646,0,0,2018-04-05,1,51013,102500,51013102500,64.729065,2,0,1,0,0,0,1,0,0,0,0,3,2,1.117923,1,2.019867,1,3.162056,2,1,1,0,0,0,1,0.478181,1039,24510,160200,24510160200,,2909,51059,452501,51059452501,6,1168,9,5,,,,,,,,,0,,,,,2,,,,,,,,,,,,2,1,2300,,51179010502,51179010503,51179,010502,51179,010503,,
40,96,692,2,4,10,0,4.030297,1.930457,,1,24_00100,19,1,0.033279,1.987356,0.969646,0,0,2018-04-05,1,51013,102500,51013102500,64.729065,2,0,1,0,0,0,1,0,0,0,0,3,2,1.117923,1,2.019867,1,3.162056,2,1,1,0,0,0,1,0.478181,1039,24510,160200,24510160200,,2909,51059,452501,51059452501,6,1168,9,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,13,,,51179010503,51630000100,51179,010503,51630,000100,,
40,96,693,2,5,10,0,4.030297,1.930457,,1,24_00100,19,1,0.033279,1.987356,0.969646,0,0,2018-04-05,1,51013,102500,51013102500,64.729065,2,0,1,0,0,0,1,0,0,0,0,3,2,1.117923,1,2.019867,1,3.162056,2,1,1,0,0,0,1,0.478181,1039,24510,160200,24510160200,,2909,51059,452501,51059452501,6,1168,9,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,,,51630000100,51179010503,51630,000100,51179,010503,,
40,96,694,2,6,10,0,4.030297,1.930457,,1,24_00100,19,1,0.033279,1.987356,0.969646,0,0,2018-04-05,1,51013,102500,51013102500,64.729065,2,0,1,0,0,0,1,0,0,0,0,3,2,1.117923,1,2.019867,1,3.162056,2,1,1,0,0,0,1,0.478181,1039,24510,160200,24510160200,,2909,51059,452501,51059452501,6,1168,9,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,51179010503,,51179,010503,,,,
40,96,695,2,7,10,0,4.030297,1.930457,,1,24_00100,19,1,0.033279,1.987356,0.969646,0,0,2018-04-05,1,51013,102500,51013102500,64.729065,2,0,1,0,0,0,1,0,0,0,0,3,2,1.117923,1,2.019867,1,3.162056,2,1,1,0,0,0,1,0.478181,1039,24510,160200,24510160200,,2909,51059,452501,51059452501,6,1168,9,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
150,370,2548,1,1,1,0,7.169491,2.055059,2509,2,51_51246,845,2,0,1.977987,1.978582,0,0,2018-08-24,1,24033,802001,24033802001,48.148144,2,0,2,0,0,0,0,0,0,1,0,2,1,1.945078,1,1.01623,1,2.184052,2,2,1,1,0,0,1,0,68,24043,000200,24043000200,2275,287,24037,876001,24037876001,3,580,8,4,1.006587,0.042621,1.021343,,,,,,,,,,,2,,35.416794,454.906189,07:35,08:10,1.0,1.0,2017.0,Mini,Cooper,1.0,1,8,1642,2064,51153900502,51153900502,51153,900502,51153,900502,845,12
150,370,2549,1,2,1,0,7.169491,2.055059,2509,2,51_51246,845,2,0,1.977987,1.978582,0,0,2018-08-24,1,24033,802001,24033802001,48.148144,2,0,2,0,0,0,0,0,0,1,0,2,1,1.945078,1,1.01623,1,2.184052,2,2,1,1,0,0,1,0,68,24043,000200,24043000200,2275,287,24037,876001,24037876001,3,580,8,4,,,,,,,218,,,,,,,1,,,,,,1.0,1.0,2017.0,Mini,Cooper,1.0,8,3,2064,1642,51153900502,51153900502,51153,900502,51153,900502,12,845
