example_id,filename,o_tract_fips,d_tract_fips,o_state_fips,d_state_fips,proxy_distance_km,displayed_screenlines,cached_validation_path_rows,cached_unique_screenlines,validation_candidate_screenlines,missing_point_touch_adjacencies,nearby_mdot_station_points,nearby_mdot_unique_station_ids,nearby_fhwa_station_ids,nearby_fhwa_active_station_ids,mapped_station_ids,mapped_fhwa_station_ids,mapped_station_screenline_links,x_min,y_min,x_max,y_max
1,screenline_001_O_24005430101_D_24005430400.png,24005430101,24005430400,24,24,2.9964980852504617,3,3,3,3,0,257,257,5,3,4,0,5,424541.869006359,171109.35390984846,433047.47426110506,179567.85955350375
2,screenline_002_O_24033802901_D_24033806602.png,24033802901,24033806602,24,24,7.915901384439097,9,9,8,8,1,198,197,2,2,22,1,25,404946.44829575194,133449.53485401598,412005.87347128557,146959.26934380693
3,screenline_003_O_24033801209_D_24033801207.png,24033801209,24033801207,24,24,3.503228082008011,1,2,1,1,1,52,52,0,0,1,0,1,405341.88613472844,115029.45627074556,415340.49503520963,125140.82785880349
4,screenline_004_O_24510270805_D_24005440300.png,24510270805,24005440300,24,24,8.194348785475254,9,9,9,9,0,284,284,2,0,13,0,17,431609.21354139125,185382.08479352266,445000.3461776337,192957.12779913377
5,screenline_005_O_24005490602_D_24005491100.png,24005490602,24005491100,24,24,1.4522422641340282,2,2,2,2,0,110,110,0,0,2,0,3,430495.34769099904,187358.89491119736,437893.27828316286,193134.52410419242
6,screenline_006_O_11001010300_D_11001009501.png,11001010300,11001009501,11,11,4.438554711008865,6,1,1,1,0,65,65,0,0,2,0,2,394848.2352864906,138370.42691772067,402469.66815080016,148287.2209017759
7,screenline_007_O_51059420503_D_24033801311.png,51059420503,24033801311,51,24,13.930933138173385,7,3,3,3,2,158,158,1,0,4,0,4,390985.40262010595,109649.14098459261,409818.3712685994,127643.89874912314
8,screenline_008_O_24017851100_D_24033801217.png,24017851100,24033801217,24,24,35.1569805711453,10,10,9,9,1,286,286,4,2,9,0,10,393232.7516314282,77820.0378599111,421136.9215666103,126619.47982229215
9,screenline_009_O_24003740305_D_24003751200.png,24003740305,24003751200,24,24,9.687992848878883,4,4,4,4,0,427,426,6,5,5,0,5,419819.8462376278,156277.49686248405,431803.1895490251,175622.14661700235
10,screenline_010_O_24003740203_D_24003730203.png,24003740203,24003730203,24,24,7.0832792325858085,6,7,6,6,1,234,233,2,1,19,1,21,425180.1941044851,157374.11127110294,437922.2018510504,168375.06253071484
11,screenline_011_O_24005401503_D_24005411302.png,24005401503,24005411302,24,24,34.51496905736818,26,26,26,26,5,1846,1845,17,9,45,1,53,414699.6519749649,174140.57132232262,458520.7910044147,197343.8342286549
12,screenline_012_O_24003751103_D_24003740201.png,24003751103,24003740201,24,24,5.212754040039245,5,5,5,5,0,239,238,2,1,19,0,23,427340.90551022126,160016.64188720708,438580.53553636494,170840.28546516693
13,screenline_013_O_24045000200_D_24045010605.png,24045000200,24045010605,24,24,8.820181358467334,4,4,4,4,0,163,163,1,1,8,0,10,516594.35783641686,66847.62724480405,537799.4667371792,82573.94713734511
14,screenline_014_O_24005490701_D_24005410100.png,24005490701,24005410100,24,24,16.558881991466922,10,9,9,9,0,340,340,5,4,25,0,27,428710.2932717824,189761.52085179306,442445.8475747824,220666.34346388592
15,screenline_015_O_24033802301_D_11001007709.png,24033802301,11001007709,24,11,7.3570104646447465,6,4,4,4,2,101,101,0,0,7,0,7,399906.2935590794,129495.02347418934,412602.2743824922,136908.69507124246
16,screenline_016_O_51510200107_D_24031702102.png,51510200107,24031702102,51,24,22.38990178869266,35,9,9,9,0,331,331,1,1,23,0,29,388350.4424319985,127375.4106387639,402510.42589836376,153349.52087567287
17,screenline_017_O_24017850901_D_24033801207.png,24017850901,24033801207,24,24,15.795521344419857,4,2,2,2,1,99,99,2,1,4,0,4,404456.7540595458,101732.72310956042,417944.067687224,125140.82785880349
18,screenline_018_O_11001001401_D_24033807407.png,11001001401,24033807407,11,24,16.94870372488235,15,12,12,12,0,591,590,2,1,41,1,44,391290.3671011637,141680.35449009508,410896.3423263209,159489.7993598745
19,screenline_019_O_24027606803_D_24031700901.png,24027606803,24031700901,24,24,26.193886080487125,8,7,7,7,5,568,568,2,1,8,0,8,383750.2787168198,154314.08780885945,415152.17022612394,170369.14802936418
20,screenline_020_O_24510100300_D_24005402306.png,24510100300,24005402306,24,24,15.490883459500337,16,16,16,16,3,618,617,5,2,31,1,33,417070.9400338197,179127.27192685413,435957.68752239604,191056.12517255667
