example_id,o_tract_fips,d_tract_fips,path_order,first_raw_position,path_occurrences,screenline_id,tract_a,tract_b,screenline_color,shared_boundary_m,is_validation_candidate,is_in_cached_validation_path,mapped_mdot_station_ids,mapped_fhwa_station_ids
1,24005430101,24005430400,1,1,1,24005430101__24005430300,24005430101,24005430300,#1f77b4,1748.1595806331381,True,True,B1167;S2008030085,
1,24005430101,24005430400,2,2,1,24005430200__24005430300,24005430200,24005430300,#ff7f0e,1701.4941314070895,True,True,S2008030085;S2017030302,
1,24005430101,24005430400,3,3,1,24005430200__24005430400,24005430200,24005430400,#2ca02c,1593.50372617091,True,True,B240127,
2,24033802901,24033806602,1,1,2,24033802901__24033803001,24033802901,24033803001,#1f77b4,1910.458726412936,True,True,,
2,24033802901,24033806602,2,4,1,24033803100__24033803300,24033803100,24033803300,#ff7f0e,1352.332134994908,True,True,B160015,
2,24033802901,24033806602,3,5,1,24033803200__24033803300,24033803200,24033803300,#2ca02c,2996.166360642267,True,True,S2012161177,
2,24033802901,24033806602,4,6,1,24033803200__24033804101,24033803200,24033804101,#d62728,2226.064625220377,True,True,B160039;P0061;S2010160077,P0061
2,24033802901,24033806602,5,7,1,24033804101__24033804102,24033804101,24033804102,#9467bd,1565.1798798725843,True,True,B3195;B3196;S1999160170;S1999160173;S1999160174;S1999160176;S2010160078;S2012161243,
2,24033802901,24033806602,6,8,1,24033803801__24033804102,24033803801,24033804102,#8c564b,1729.6411563562224,True,True,B3279;S2010160113;S2010160114;S2010160115;S2010160116;S2010160117;S2010160118,
2,24033802901,24033806602,7,9,1,24033803801__24033804001,24033803801,24033804001,#e377c2,1666.3126316648834,True,True,B3236;S2010160115;S2010160117;S2010160118,
2,24033802901,24033806602,8,10,1,24033804001__24033806601,24033804001,24033806601,#7f7f7f,609.309493815668,False,False,,
2,24033802901,24033806602,9,11,1,24033806601__24033806602,24033806601,24033806602,#bcbd22,1260.2059063658244,True,True,B3267,
3,24033801209,24033801207,1,1,2,24033801208__24033801209,24033801208,24033801209,#1f77b4,2729.866705182191,True,True,S2012161078,
4,24510270805,24005440300,1,1,1,24510270802__24510270805,24510270802,24510270805,#1f77b4,1448.6348295051394,True,True,S2012240274;S2012240275,
4,24510270805,24005440300,2,2,1,24510270802__24510270803,24510270802,24510270803,#ff7f0e,1241.854597197904,True,True,B240091;S2012240273,
4,24510270805,24005440300,3,3,1,24510270702__24510270803,24510270702,24510270803,#2ca02c,399.97974028159206,True,True,S2009240032,
4,24510270805,24005440300,4,4,1,24510270701__24510270702,24510270701,24510270702,#d62728,991.7171323802719,True,True,S2009240032,
4,24510270805,24005440300,5,5,1,24510270701__24510270703,24510270701,24510270703,#9467bd,611.5107161907606,True,True,S2012030149,
4,24510270805,24005440300,6,6,1,24510270501__24510270703,24510270501,24510270703,#8c564b,1176.3732203024106,True,True,S2012240147;S2012240148,
4,24510270805,24005440300,7,7,1,24005440100__24510270501,24005440100,24510270501,#e377c2,1296.4193480039735,True,True,B1050;S2012240147;S2012240148,
4,24510270805,24005440300,8,8,1,24005440100__24005440200,24005440100,24005440200,#7f7f7f,1696.4146873682312,True,True,S2010030024,
4,24510270805,24005440300,9,9,1,24005440200__24005440300,24005440200,24005440300,#bcbd22,1218.4357850357467,True,True,B1098;S2002030044;S2002030045;S2010030024,
5,24005490602,24005491100,1,1,1,24005490602__24005491000,24005490602,24005491000,#1f77b4,621.714548439517,True,True,S2012030154;S2017030294,
5,24005490602,24005491100,2,2,1,24005491000__24005491100,24005491000,24005491100,#ff7f0e,2144.711860078659,True,True,S2012030154,
6,11001010300,11001009501,1,1,1,11001001702__11001010300,11001001702,11001010300,#1f77b4,1115.989715385278,True,True,B150102;B2854,
6,11001010300,11001009501,2,2,1,11001001702__11001001901,11001001702,11001001901,#ff7f0e,477.59453629108793,False,False,,
6,11001010300,11001009501,3,3,1,11001001901__11001001902,11001001901,11001001902,#2ca02c,1242.2120931348632,False,False,,
6,11001010300,11001009501,4,4,1,11001001902__11001002102,11001001902,11001002102,#d62728,1016.9431734031895,False,False,,
6,11001010300,11001009501,5,5,1,11001002102__11001002202,11001002102,11001002202,#9467bd,925.959264783744,False,False,,
6,11001010300,11001009501,6,6,1,11001002202__11001009501,11001002202,11001009501,#8c564b,950.0858013584046,False,False,,
7,51059420503,24033801311,1,1,2,51059420501__51059420503,51059420501,51059420503,#1f77b4,937.07986480171,False,False,,
