example_id,filename,o_tract_fips,d_tract_fips,o_state_fips,d_state_fips,proxy_distance_km,displayed_screenlines,cached_validation_path_rows,cached_unique_screenlines,validation_candidate_screenlines,minimum_mapped_aadt_stations_per_screenline,maximum_mapped_aadt_stations_per_screenline,missing_point_touch_adjacencies,nearby_mdot_station_points,nearby_mdot_unique_station_ids,nearby_fhwa_station_ids,nearby_fhwa_active_station_ids,mapped_station_ids,mapped_fhwa_station_ids,mapped_station_screenline_links,x_min,y_min,x_max,y_max
1,screenline_001_O_24003730401_D_24003730502.png,24003730401,24003730502,24,24,3.0616226683735337,2,2,2,2,2,8,0,161,160,2,1,10,1,10,428855.10306028195,159540.99898464847,437485.4033841417,167981.5709873443
2,screenline_002_O_24005420200_D_24005420701.png,24005420200,24005420701,24,24,2.3104725734915355,2,2,2,2,1,2,0,146,146,1,1,2,0,3,438683.60558226827,173404.9780018372,446498.4458175935,181535.64564565828
3,screenline_003_O_24021752102_D_24021751801.png,24021752102,24021751801,24,24,10.400182980957542,2,2,2,2,1,9,0,72,72,0,0,10,0,10,369193.69646283786,177270.4491672113,383248.19512692216,200380.0865753095
4,screenline_004_O_24003751103_D_24003730204.png,24003751103,24003730204,24,24,3.1410159406038094,2,2,2,2,1,2,0,127,127,2,1,3,0,3,432138.6567190164,160671.63555944295,439767.06664380466,170840.28546516693
5,screenline_005_O_24043010802_D_24043011100.png,24043010802,24043011100,24,24,8.678373169034868,2,2,2,2,1,4,0,165,165,0,0,5,0,5,326442.3411508857,208704.80035258524,345341.129840242,220279.63075937572
6,screenline_006_O_24510200800_D_24510200500.png,24510200800,24510200500,24,24,2.106356163216962,2,2,2,2,1,2,0,173,173,1,0,3,0,3,425017.73626929376,176484.7582964372,432508.3023700147,181939.00234977846
7,screenline_007_O_24005491600_D_24005490100.png,24005491600,24005490100,24,24,3.4563349001185912,2,2,2,2,2,3,0,194,194,1,1,5,0,5,432404.9810041262,189226.2130517377,441910.6849090754,199979.00695363418
8,screenline_008_O_24035810500_D_24019970200.png,24035810500,24019970200,24,24,41.11734112141117,2,3,2,2,3,4,1,277,277,5,5,7,0,7,475150.5500812564,97098.65763582515,511261.7781020688,162420.25409256527
9,screenline_009_O_24510260301_D_24510090200.png,24510260301,24510090200,24,24,2.08789970239149,2,2,2,2,1,2,0,191,191,0,0,3,0,3,432464.70330328564,181442.9164678246,439962.6736349385,187885.4666048862
10,screenline_010_O_24005408601_D_24005408503.png,24005408601,24005408503,24,24,3.365790368818973,2,2,2,2,1,2,0,125,125,3,2,3,0,3,428880.4536783587,193827.0683389097,436032.29921734275,202788.29908190176
