example_id,o_tract_fips,d_tract_fips,path_order,first_raw_position,path_occurrences,screenline_id,tract_a,tract_b,screenline_color,shared_boundary_m,is_validation_candidate,is_in_cached_validation_path,mapped_mdot_station_ids,mapped_fhwa_station_ids
1,24003730401,24003730502,1,1,1,24003730401__24003730402,24003730401,24003730402,#1f77b4,2494.664468257779,True,True,B0632;S2011020888,
1,24003730401,24003730502,2,2,1,24003730402__24003730502,24003730402,24003730502,#ff7f0e,2620.0137992290834,True,True,B0650;P0038;S2010020139;S2010020140;S2010020141;S2010020142;S2010020143;S2010020148,P0038
2,24005420200,24005420701,1,1,1,24005420200__24005420800,24005420200,24005420800,#1f77b4,1217.9369061579055,True,True,B030004;B030005,
2,24005420200,24005420701,2,2,1,24005420701__24005420800,24005420701,24005420800,#ff7f0e,1298.2263977940743,True,True,B030005,
3,24021752102,24021751801,1,1,1,24021751903__24021752102,24021751903,24021752102,#1f77b4,12700.632210170821,True,True,B100082,
3,24021752102,24021751801,2,2,1,24021751801__24021751903,24021751801,24021751903,#ff7f0e,3705.3692032447734,True,True,B2060;S2007100032;S2007100033;S2007100034;S2007100035;S2007100036;S2007100037;S2007100038;S2007100039,
4,24003751103,24003730204,1,1,1,24003730203__24003751103,24003730203,24003751103,#1f77b4,1447.4934386127682,True,True,B0755,
4,24003751103,24003730204,2,2,1,24003730203__24003730204,24003730203,24003730204,#ff7f0e,3535.2996389743594,True,True,B020106;B0754,
5,24043010802,24043011100,1,1,1,24043010802__24043010900,24043010802,24043010900,#1f77b4,10270.392907348822,True,True,B4006;S2010210057;S2010210058;S2010210059,
5,24043010802,24043011100,2,2,1,24043010900__24043011100,24043010900,24043011100,#ff7f0e,4034.6059314027634,True,True,S2008210032,
6,24510200800,24510200500,1,1,1,24510200600__24510200800,24510200600,24510200800,#1f77b4,582.580210498319,True,True,B240121;S2012241395,
6,24510200800,24510200500,2,2,1,24510200500__24510200600,24510200500,24510200600,#ff7f0e,686.4704889151558,True,True,S2012241339,
7,24005491600,24005490100,1,1,1,24005491600__24005491701,24005491600,24005491701,#1f77b4,1183.2981470168527,True,True,B1100;S2003030032;S2003030033,
7,24005491600,24005490100,2,2,1,24005490100__24005491701,24005490100,24005491701,#ff7f0e,2945.3108590444194,True,True,B030053;B1177,
8,24035810500,24019970200,1,1,2,24035810500__24041960100,24035810500,24041960100,#1f77b4,11933.456485549284,True,True,B3829;B3830;B3831;S2013200456,
8,24035810500,24019970200,2,4,1,24011955500__24019970200,24011955500,24019970200,#ff7f0e,12432.791671810579,True,True,B1437;B1825;S2014090612,
9,24510260301,24510090200,1,1,1,24510080101__24510260301,24510080101,24510260301,#1f77b4,754.8570682839006,True,True,S2012240249;S2012240251,
9,24510260301,24510090200,2,2,1,24510080101__24510090200,24510080101,24510090200,#ff7f0e,1030.0210490350182,True,True,B240026,
10,24005408601,24005408503,1,1,1,24005408505__24005408601,24005408505,24005408601,#1f77b4,1910.6770478160138,True,True,B0965,
10,24005408601,24005408503,2,2,1,24005408503__24005408505,24005408503,24005408505,#ff7f0e,1592.58704095366,True,True,S2011030397;S2017030286,
11,24510270200,24510260203,1,1,2,24510270101__24510270200,24510270101,24510270200,#1f77b4,1034.8314120275224,True,True,B240155,
11,24510270200,24510260203,2,4,1,24510260201__24510270102,24510260201,24510270102,#ff7f0e,1072.1136985335904,True,True,B240038;S2012240241,
12,24005490703,24005491201,1,1,1,24005490703__24005490900,24005490703,24005490900,#1f77b4,751.8174114705056,True,True,B0962;S2009030120;S2012030201,
12,24005490703,24005491201,2,2,1,24005490900__24005491201,24005490900,24005491201,#ff7f0e,1054.3371075788855,True,True,B030093,
13,24025303206,24025303603,1,1,1,24025303206__24025303802,24025303206,24025303802,#1f77b4,1282.065502961787,True,True,B2444,
13,24025303206,24025303603,2,2,1,24025303603__24025303802,24025303603,24025303802,#ff7f0e,1889.6599687911557,True,True,S2017120206;S2017120207,
14,24005490100,24005491201,1,1,1,24005490100__24005490302,24005490100,24005490302,#1f77b4,3235.247651683771,True,True,B1102;P0054;S1998030068;S1998030089;S2007030024,P0054
14,24005490100,24005491201,2,2,1,24005490302__24005491201,24005490302,24005491201,#ff7f0e,1845.6737789036222,True,True,S2007030023,
15,24033801802,24033802001,1,1,1,24033801802__24033801907,24033801802,24033801907,#1f77b4,895.2480733340236,True,True,B3132;S2010160091;S2010160093;S2010160094;S2010160095;S2010160096;S2010160097;S2010160098,
15,24033801802,24033802001,2,2,1,24033801907__24033801908,24033801907,24033801908,#ff7f0e,2605.3630309391674,True,True,B3272;S2010160143;S2010160148,
16,24005403402,24005403601,1,1,1,24005403402__24005403500,24005403402,24005403500,#1f77b4,1065.2904525079114,True,True,B0996;S2010030035,
16,24005403402,24005403601,2,2,1,24005403500__24005403601,24005403500,24005403601,#ff7f0e,1504.2293376963519,True,True,S2009030047;S2012030221,
17,24510250103,24005430900,1,1,1,24005430400__24510250103,24005430400,24510250103,#1f77b4,1907.8566826830454,True,True,S2008030084,
17,24510250103,24005430900,2,2,1,24005430400__24005430900,24005430400,24005430900,#ff7f0e,1290.408371579502,True,True,B0910;S2012030196,
18,24031702402,24031702601,1,1,1,24031702402__24031702500,24031702402,24031702500,#1f77b4,1489.4671468407425,True,True,B2896;B2962;S2012150761;S2012150763;S2012150981,
18,24031702402,24031702601,2,2,1,24031702500__24031702601,24031702500,24031702601,#ff7f0e,1198.2556040295992,True,True,B150049,
19,24510270502,24005440100,1,1,1,24510270501__24510270502,24510270501,24510270502,#1f77b4,2062.272756821395,True,True,B240102;B240199;S2009030052,
19,24510270502,24005440100,2,2,1,24005440100__24510270501,24005440100,24510270501,#ff7f0e,1296.4193480039735,True,True,B1050;S2012240147;S2012240148,
20,11001001702,24031701704,1,1,1,11001001702__24031701701,11001001702,24031701701,#1f77b4,1079.9076485057171,True,True,S2012150982,
20,11001001702,24031701704,2,2,1,24031701701__24031701704,24031701701,24031701704,#ff7f0e,2165.0396503709803,True,True,B150109;B2921,
21,24005452400,24005980000,1,1,2,24005452400__24005452500,24005452400,24005452500,#1f77b4,4261.7930846058725,True,True,B1066,
21,24005452400,24005980000,2,3,1,24005452400__24005980000,24005452400,24005980000,#ff7f0e,3149.109548602913,True,True,S2010030169;S2010030170,
22,24005403500,24005403602,1,1,1,24005403500__24005403601,24005403500,24005403601,#1f77b4,1504.2293376963519,True,True,S2009030047;S2012030221,
22,24005403500,24005403602,2,2,1,24005403601__24005403602,24005403601,24005403602,#ff7f0e,2684.9352897047265,True,True,B030010;P0076,P0076
23,24005401102,24005402406,1,1,1,24005401102__24005401507,24005401102,24005401507,#1f77b4,1772.3718827701953,True,True,B1109;B1110;S1997030030;S1999030114;S1999030115;S2010030030,
23,24005401102,24005402406,2,3,2,24005402406__24005402407,24005402406,24005402407,#ff7f0e,4831.46285703989,True,True,S2013030563,
24,24025301401,24025301302,1,1,1,24025301301__24025301401,24025301301,24025301401,#1f77b4,4522.734672862945,True,True,S2011120698;S2011120702,
24,24025301401,24025301302,2,2,1,24025301301__24025301302,24025301301,24025301302,#ff7f0e,4350.098116164561,True,True,B120025;B2342,
25,24003702204,24033800513,1,1,1,24003702204__24003702300,24003702204,24003702300,#1f77b4,3170.6166081786046,True,True,B020051;B0733,
25,24003702204,24033800513,2,3,2,24033800504__24033800513,24033800504,24033800513,#ff7f0e,1972.6696949775942,True,True,S2012161225,
26,24510080500,24510090900,1,1,1,24510080500__24510080600,24510080500,24510080600,#1f77b4,845.3530167995617,True,True,B240037;B240141,
26,24510080500,24510090900,2,2,1,24510080600__24510090900,24510080600,24510090900,#ff7f0e,396.39615123439455,True,True,B240037,
27,24037875600,24037875802,1,1,1,24037875600__24037875700,24037875600,24037875700,#1f77b4,16527.099251075797,True,True,B180009;B3628;B3629;B3630;B3632,
27,24037875600,24037875802,2,2,1,24037875700__24037875802,24037875700,24037875802,#ff7f0e,7472.717429212626,True,True,B3628,
28,24510120202,24510230100,1,2,1,24510120500__24510120600,24510120500,24510120600,#1f77b4,379.59625773273683,True,True,S2005240011,
28,24510120202,24510230100,2,5,1,24510040100__24510220100,24510040100,24510220100,#ff7f0e,1467.6674381050168,True,True,B240055;B240211;S2012240492;S2012240496;S2012240498,
29,24033807404,24033806712,1,1,1,24033807404__24033807408,24033807404,24033807408,#1f77b4,8285.234106812553,True,True,B160004;B160086;B160129;B3186;S2012161017,
29,24033807404,24033806712,2,2,1,24033806712__24033807408,24033806712,24033807408,#ff7f0e,1462.0825906543275,True,True,S2010160122,
30,24005402603,24005402602,1,1,1,24005402603__24005402604,24005402603,24005402604,#1f77b4,4377.76850809413,True,True,B030120,
30,24005402603,24005402602,2,2,1,24005402602__24005402604,24005402602,24005402604,#ff7f0e,2512.8729016176476,True,True,B030013;B0936;S2011030971,
31,24011955000,24035810500,1,1,1,24011955000__24011955100,24011955000,24011955100,#1f77b4,16380.843759353675,True,True,B1430;P0084,P0084
31,24011955000,24035810500,2,2,1,24011955100__24035810500,24011955100,24035810500,#ff7f0e,7614.0861046750515,True,True,B3568,
32,24033800514,24033803523,1,1,1,24033800514__24033800518,24033800514,24033800518,#1f77b4,2471.967727802877,True,True,B160071;B3141,
32,24033800514,24033803523,2,3,2,24033803520__24033803523,24033803520,24033803523,#ff7f0e,1216.983709464699,True,True,S2012161053,
33,24043000900,24043000800,1,1,2,24043000900__24043001001,24043000900,24043001001,#1f77b4,3806.746116344943,True,True,B210034;B210052;S2013210536;S2013210537,
