example_id,o_tract_fips,d_tract_fips,path_order,screenline_id,screenline_color,station_id,is_fhwa_station,boundary_distance_m,boundary_centroid_distance_ratio,station_x,station_y
1,24003730401,24003730502,1,24003730401__24003730402,#1f77b4,B0632,False,18.428894899771265,0.020348865744243914,431880.09321265644,164291.60227887388
1,24003730401,24003730502,1,24003730401__24003730402,#1f77b4,S2011020888,False,0.7383488402517773,0.0007992847147391071,433131.5734346703,165043.91577808227
1,24003730401,24003730502,2,24003730402__24003730502,#ff7f0e,B0650,False,30.92946946505108,0.05100216900386573,434053.2753609128,163170.55008885116
1,24003730401,24003730502,2,24003730402__24003730502,#ff7f0e,P0038,True,48.088113860614165,0.049662614602291634,432267.2534067422,163696.27436800275
1,24003730401,24003730502,2,24003730402__24003730502,#ff7f0e,S2010020139,False,23.017857365957312,0.04503290412186725,433129.0244913467,163609.1166552262
1,24003730401,24003730502,2,24003730402__24003730502,#ff7f0e,S2010020140,False,64.06551550603211,0.10578955639204869,432994.3634487021,163531.8204394935
1,24003730401,24003730502,2,24003730402__24003730502,#ff7f0e,S2010020141,False,64.06551550603211,0.10578955639204869,432994.3634487021,163531.8204394935
1,24003730401,24003730502,2,24003730402__24003730502,#ff7f0e,S2010020142,False,51.36472524668328,0.0789482133780851,432827.7889290599,163548.18635941786
1,24003730401,24003730502,2,24003730402__24003730502,#ff7f0e,S2010020143,False,37.482629429775336,0.06923118210126464,432895.84816053335,163635.84886858898
1,24003730401,24003730502,2,24003730402__24003730502,#ff7f0e,S2010020148,False,63.377794366417326,0.07362508721615232,434558.1663548544,163107.0628291412
2,24005420200,24005420701,1,24005420200__24005420800,#1f77b4,B030004,False,19.380284207832954,0.021634031951719947,442748.94895967934,177815.7920973436
2,24005420200,24005420701,1,24005420200__24005420800,#1f77b4,B030005,False,60.56410188340683,0.05558159034825521,442900.8405523814,178143.76747328835
2,24005420200,24005420701,2,24005420701__24005420800,#ff7f0e,B030005,False,60.56410188340683,0.05558159034825521,442900.8405523814,178143.76747328835
3,24021752102,24021751801,1,24021751903__24021752102,#1f77b4,B100082,False,333.8668257546653,0.08949016294021445,380750.3338074138,184588.9833284553
3,24021752102,24021751801,2,24021751801__24021751903,#ff7f0e,B2060,False,217.87811746040362,0.07357963974195712,377348.9246462213,190647.1058615554
3,24021752102,24021751801,2,24021751801__24021751903,#ff7f0e,S2007100032,False,189.46642477375164,0.0627700809988806,377642.96309394104,190588.76609090532
3,24021752102,24021751801,2,24021751801__24021751903,#ff7f0e,S2007100033,False,171.83040997965617,0.056564710935273536,377647.06829476485,190569.5868990665
3,24021752102,24021751801,2,24021751801__24021751903,#ff7f0e,S2007100034,False,172.26343404777984,0.05714906828525244,377527.95320644847,190589.8661753135
