epoch,total_loss,reconstruction_loss,contrastive_loss,tv_loss,raw_reconstruction_loss,raw_numeric_loss,raw_categorical_loss,raw_contrastive_loss,raw_tv_loss
1,0.72408373,0.39010077,0.15361787,0.18036509,2.38533379,1.36912861,1.01620518,0.64966442,0.36073018
2,0.51222068,0.36275490,0.00371842,0.14574736,2.34607411,1.46810148,0.87797263,0.01121605,0.29149471
3,0.50668934,0.35679627,0.00422963,0.14566344,2.48072982,1.59392244,0.88680738,0.01294180,0.29132688
4,0.50617609,0.35697905,0.00344331,0.14575373,2.45016853,1.57788668,0.87228185,0.01063239,0.29150745
5,0.47944256,0.33041166,0.00163008,0.14740081,2.31734449,1.49204139,0.82530311,0.00495112,0.29480163
6,0.46314391,0.31205658,0.00193697,0.14915036,2.13961497,1.33149647,0.80811850,0.00598765,0.29830073
7,0.45878879,0.30635463,0.00307942,0.14935474,2.16472265,1.30067401,0.86404865,0.00970021,0.29870947
8,0.45415240,0.30331945,0.00220210,0.14863085,1.97129380,1.17705699,0.79423681,0.00684938,0.29726170
9,0.44592298,0.29450842,0.00261502,0.14879954,1.92994515,1.13423242,0.79571272,0.00815230,0.29759909
10,0.44584831,0.29611385,0.00200679,0.14772767,2.01878253,1.22905598,0.78972655,0.00619426,0.29545534
11,0.44174823,0.29286656,0.00145058,0.14743109,2.06212850,1.27696275,0.78516574,0.00452478,0.29486217
12,0.43642597,0.28739617,0.00157390,0.14745590,2.13138496,1.34938666,0.78199830,0.00491026,0.29491181
13,0.43284828,0.28287726,0.00283376,0.14713725,2.05811206,1.25168757,0.80642450,0.00876037,0.29427451
14,0.42754666,0.27869607,0.00101976,0.14783083,1.86158183,1.08377873,0.77780311,0.00310292,0.29566167
15,0.42842145,0.27818210,0.00251828,0.14772107,1.86928296,1.09562854,0.77365442,0.00809269,0.29544214
16,0.42408717,0.27388074,0.00211127,0.14809516,2.02466807,1.23492361,0.78974445,0.00648431,0.29619032
17,0.42357771,0.27302154,0.00241608,0.14814010,1.82307261,1.05305196,0.77002065,0.00749570,0.29628019
18,0.41807867,0.26853780,0.00140749,0.14813338,1.84043489,1.07383474,0.76660015,0.00429568,0.29626676
19,0.41301153,0.26333098,0.00092221,0.14875834,1.81163239,1.04505564,0.76657675,0.00287233,0.29751668
20,0.41256963,0.26146931,0.00179690,0.14930342,1.75344809,0.99216319,0.76128491,0.00557592,0.29860685
21,0.40259543,0.25089111,0.00193529,0.14976903,1.83325347,1.07292292,0.76033055,0.00595776,0.29953806
22,0.39867049,0.24682492,0.00139399,0.15045157,1.73744555,0.95392919,0.78351637,0.00429334,0.30090315
23,0.39503514,0.24227349,0.00191394,0.15084771,1.53531340,0.77751910,0.75779430,0.00595229,0.30169542
24,0.39440462,0.24156010,0.00237018,0.15047434,1.78518153,1.03218934,0.75299220,0.00744241,0.30094869
25,0.39355731,0.24016543,0.00237536,0.15101652,1.94428856,1.19001036,0.75427820,0.00734358,0.30203304
26,0.39212922,0.23779794,0.00274456,0.15158672,2.01954172,1.26811837,0.75142334,0.00854752,0.30317343
27,0.38688279,0.23452038,0.00059449,0.15176791,1.88065077,1.12560621,0.75504456,0.00179853,0.30353583
28,0.38149859,0.22711134,0.00230590,0.15208135,1.82537438,1.07655165,0.74882272,0.00713405,0.30416271
29,0.38605950,0.23126494,0.00231861,0.15247595,1.75281944,1.00631197,0.74650747,0.00720871,0.30495191
30,0.37731045,0.22353140,0.00115221,0.15262684,1.72306586,0.98091843,0.74214743,0.00358051,0.30525368
31,0.38238005,0.22663646,0.00308429,0.15265931,1.74173140,0.99633427,0.74539713,0.00962325,0.30531861
32,0.38090781,0.22663675,0.00141862,0.15285244,1.61910215,0.87719341,0.74190874,0.00427732,0.30570488
33,0.37828899,0.22440498,0.00142162,0.15246239,1.80911454,1.07110638,0.73800816,0.00435573,0.30492479
34,0.37498729,0.22060832,0.00150067,0.15287830,1.51284429,0.77627480,0.73656949,0.00452425,0.30575661
35,0.37054931,0.21588626,0.00134753,0.15331553,1.55540289,0.81490422,0.74049868,0.00410660,0.30663105
36,0.37391051,0.22025378,0.00094577,0.15271096,1.73146567,0.99342568,0.73803999,0.00301545,0.30542191
37,0.37400992,0.21915322,0.00158267,0.15327403,1.63855356,0.89450413,0.74404943,0.00491052,0.30654806
38,0.36678583,0.21179902,0.00126855,0.15371826,1.58510037,0.85169331,0.73340706,0.00389110,0.30743652
39,0.37351905,0.21774427,0.00189235,0.15388244,1.69283236,0.95579266,0.73703969,0.00591277,0.30776487
40,0.36449281,0.20893690,0.00216025,0.15339566,1.53121005,0.80222027,0.72898978,0.00674986,0.30679133
41,0.36204591,0.20652394,0.00172038,0.15380158,1.61253720,0.87981390,0.73272330,0.00529648,0.30760317
42,0.36336972,0.20825754,0.00101685,0.15409533,1.41559686,0.68535762,0.73023924,0.00317993,0.30819066
43,0.36540564,0.20929825,0.00237040,0.15373700,1.67257744,0.94203027,0.73054717,0.00746819,0.30747400
44,0.36287800,0.20715747,0.00172807,0.15399246,1.55160948,0.81933176,0.73227773,0.00531149,0.30798491
45,0.36355379,0.20824885,0.00115327,0.15415166,1.83940895,1.10859751,0.73081143,0.00350892,0.30830333
46,0.35920194,0.20413317,0.00138006,0.15368872,1.54129595,0.81952702,0.72176893,0.00424294,0.30737743
47,0.35880472,0.20382934,0.00106655,0.15390882,1.66038347,0.93529354,0.72508992,0.00326806,0.30781765
48,0.35856049,0.20280509,0.00153189,0.15422351,1.61083850,0.88633142,0.72450708,0.00474344,0.30844701
49,0.35852644,0.20294760,0.00103181,0.15454703,1.51253719,0.79118959,0.72134760,0.00313556,0.30909405
50,0.36342849,0.20726757,0.00181173,0.15434919,1.56182040,0.84272875,0.71909166,0.00561252,0.30869837
51,0.35320977,0.19683202,0.00208102,0.15429672,1.50364402,0.78075534,0.72288869,0.00637714,0.30859345
52,0.35620805,0.19978471,0.00172045,0.15470289,1.39786615,0.67684590,0.72102025,0.00521162,0.30940578
53,0.35433249,0.19927339,0.00076394,0.15429516,1.78891935,1.06649298,0.72242637,0.00230457,0.30859032
54,0.35620059,0.19892763,0.00270415,0.15456881,1.69209004,0.97727177,0.71481828,0.00839516,0.30913762
55,0.35457852,0.19784139,0.00154684,0.15519029,1.40527315,0.68710815,0.71816500,0.00479710,0.31038058
56,0.35417622,0.19791118,0.00191732,0.15434771,1.64112070,0.92051102,0.72060969,0.00586512,0.30869543
57,0.35669902,0.20051044,0.00188184,0.15430674,1.64382330,0.92574494,0.71807837,0.00576528,0.30861348
58,0.35515598,0.19911517,0.00158911,0.15445170,1.59322640,0.87827500,0.71495140,0.00495737,0.30890340
59,0.34892869,0.19292589,0.00095946,0.15504334,1.43691237,0.72135107,0.71556131,0.00293042,0.31008668
60,0.34995244,0.19431530,0.00088113,0.15475602,1.37930449,0.66263930,0.71666518,0.00263077,0.30951204
61,0.35258106,0.19617223,0.00197959,0.15442924,1.56288435,0.85047354,0.71241081,0.00613718,0.30885848
62,0.35513852,0.19966994,0.00109899,0.15436958,1.65402413,0.94098504,0.71303909,0.00339504,0.30873916
63,0.35187388,0.19590180,0.00087451,0.15509758,1.78067464,1.06526479,0.71540985,0.00270114,0.31019515
64,0.35462637,0.19779916,0.00205412,0.15477309,1.62613788,0.91275785,0.71338002,0.00642884,0.30954618
65,0.35039896,0.19345037,0.00197925,0.15496934,1.48576489,0.77480176,0.71096312,0.00601730,0.30993868
66,0.34918182,0.19299313,0.00136659,0.15482210,1.54774639,0.83953463,0.70821176,0.00420471,0.30964420
67,0.34658854,0.19056494,0.00127605,0.15474755,1.56752521,0.85860953,0.70891567,0.00390506,0.30949511
68,0.34630543,0.19021038,0.00135745,0.15473760,1.52446451,0.81905049,0.70541402,0.00420307,0.30947520
69,0.34735081,0.19068751,0.00168143,0.15498186,1.47744233,0.76791923,0.70952310,0.00518394,0.30996372
70,0.34930646,0.19299266,0.00111304,0.15520076,1.60035008,0.89534342,0.70500666,0.00337824,0.31040152
71,0.34613348,0.19018670,0.00110338,0.15484340,1.45188042,0.74681402,0.70506641,0.00341703,0.30968679
72,0.34618441,0.18962245,0.00132522,0.15523674,1.56244983,0.85542937,0.70702045,0.00408120,0.31047348
73,0.35281965,0.19581423,0.00139663,0.15560879,1.71388542,1.00178549,0.71209994,0.00432176,0.31121758
74,0.34643704,0.18980802,0.00144161,0.15518741,1.43147292,0.72436222,0.70711070,0.00451087,0.31037483
75,0.34413835,0.18761666,0.00111641,0.15540527,1.59504617,0.88458311,0.71046306,0.00339303,0.31081055
76,0.34259685,0.18713814,0.00073542,0.15472329,1.44190920,0.73652062,0.70538858,0.00224937,0.30944658
77,0.34617722,0.18880885,0.00174788,0.15562049,1.44580108,0.74429331,0.70150776,0.00540253,0.31124099
78,0.34533699,0.18835441,0.00127121,0.15571137,1.41086030,0.70521433,0.70564597,0.00390497,0.31142274
79,0.34353826,0.18669037,0.00153674,0.15531114,1.37407252,0.67039124,0.70368128,0.00484174,0.31062229
80,0.34529167,0.18811215,0.00164010,0.15553941,1.51765355,0.81187736,0.70577619,0.00498696,0.31107882
81,0.34654995,0.19026957,0.00105033,0.15523005,1.49995832,0.79759936,0.70235895,0.00325474,0.31046010
82,0.33900973,0.18252989,0.00081986,0.15565998,1.29624220,0.59634159,0.69990061,0.00251259,0.31131995
83,0.33976312,0.18302601,0.00116532,0.15557179,1.30790353,0.60495134,0.70295219,0.00360489,0.31114358
84,0.34322688,0.18620595,0.00166968,0.15535125,1.42289084,0.72134675,0.70154408,0.00518225,0.31070250
85,0.33912993,0.18335829,0.00068019,0.15509145,1.39940105,0.70121924,0.69818181,0.00203800,0.31018290
86,0.34588050,0.18928554,0.00124491,0.15535005,1.83148463,1.09566079,0.73582384,0.00382977,0.31070010
87,0.34116505,0.18367045,0.00187340,0.15562120,1.42130667,0.71784521,0.70346147,0.00586718,0.31124239
88,0.34493597,0.18842725,0.00078048,0.15572824,1.57995479,0.87748821,0.70246657,0.00235659,0.31145647
89,0.33823424,0.18222722,0.00066583,0.15534119,1.44822603,0.75074831,0.69747772,0.00203336,0.31068237
90,0.34266600,0.18532738,0.00156324,0.15577538,1.59365170,0.90022508,0.69342662,0.00486915,0.31155077
91,0.33794186,0.18178828,0.00089510,0.15525849,1.45687480,0.76045113,0.69642367,0.00277729,0.31051697
92,0.34303114,0.18586018,0.00103398,0.15613698,1.73972108,1.04300444,0.69671665,0.00317873,0.31227396
93,0.34085822,0.18364950,0.00142680,0.15578192,1.40576139,0.71140320,0.69435820,0.00439447,0.31156384
94,0.34116676,0.18361366,0.00173757,0.15581553,1.43934342,0.74312343,0.69621999,0.00541517,0.31163105
95,0.34094847,0.18501437,0.00025641,0.15567768,1.53015699,0.83544080,0.69471619,0.00072650,0.31135537
96,0.34044009,0.18378338,0.00152009,0.15513662,1.31873273,0.62814793,0.69058480,0.00474894,0.31027324
97,0.33889478,0.18262314,0.00100582,0.15526582,1.55979841,0.86976165,0.69003677,0.00314548,0.31053164
98,0.34522041,0.18879983,0.00137389,0.15504669,1.64335004,0.95176128,0.69158877,0.00426527,0.31009338
99,0.34108998,0.18471404,0.00101863,0.15535731,1.55395596,0.86233486,0.69162109,0.00314517,0.31071462
100,0.34001441,0.18310845,0.00133780,0.15556816,1.46278554,0.77227971,0.69050583,0.00413757,0.31113633
101,0.33622047,0.18020195,0.00050102,0.15551749,1.32771290,0.63641937,0.69129354,0.00148295,0.31103499
