screenline_id,method,absolute_error_delta_vs_direct
11001000901__11001000902,direct_survey,0.0
11001000901__11001001001,direct_survey,0.0
11001000901__24031705601,direct_survey,0.0
11001000901__24031705702,direct_survey,0.0
11001000902__24031705800,direct_survey,0.0
11001000902__51013100300,direct_survey,0.0
11001001001__11001001100,direct_survey,0.0
11001001001__24031705601,direct_survey,0.0
11001001100__11001001401,direct_survey,0.0
11001001100__24031705300,direct_survey,0.0
11001001401__11001001500,direct_survey,0.0
11001001401__24031705300,direct_survey,0.0
11001001500__24031705200,direct_survey,0.0
11001001500__24031705300,direct_survey,0.0
11001001600__11001010300,direct_survey,0.0
11001001600__24031702500,direct_survey,0.0
11001001600__24031702601,direct_survey,0.0
11001001600__24031702602,direct_survey,0.0
11001001702__11001010300,direct_survey,0.0
11001001702__24031701701,direct_survey,0.0
11001001702__24031701800,direct_survey,0.0
11001007304__24033801807,direct_survey,0.0
11001007408__11001007502,direct_survey,0.0
11001007408__24033801807,direct_survey,0.0
11001007409__24033801807,direct_survey,0.0
11001007502__11001007603,direct_survey,0.0
11001007502__24033801807,direct_survey,0.0
11001007603__11001009902,direct_survey,0.0
11001007603__24033801807,direct_survey,0.0
11001007603__24033802501,direct_survey,0.0
11001007707__11001009902,direct_survey,0.0
11001007707__24033802502,direct_survey,0.0
11001007707__24033802600,direct_survey,0.0
11001007806__11001009601,direct_survey,0.0
11001007806__24033803100,direct_survey,0.0
11001007807__11001007808,direct_survey,0.0
11001007808__11001009903,direct_survey,0.0
11001007808__24033802901,direct_survey,0.0
11001009000__11001009601,direct_survey,0.0
11001009000__11001011100,direct_survey,0.0
11001009000__24033804400,direct_survey,0.0
11001009400__11001009503,direct_survey,0.0
11001009400__11001011100,direct_survey,0.0
11001009400__24033804900,direct_survey,0.0
11001009503__11001009508,direct_survey,0.0
11001009503__11001009509,direct_survey,0.0
11001009503__24033804900,direct_survey,0.0
11001009505__11001009507,direct_survey,0.0
11001009505__24033805201,direct_survey,0.0
11001009507__11001009508,direct_survey,0.0
11001009507__24033805000,direct_survey,0.0
11001009508__11001009509,direct_survey,0.0
11001009508__24033804900,direct_survey,0.0
11001009508__24033805000,direct_survey,0.0
11001009601__11001011100,direct_survey,0.0
11001009601__24033803100,direct_survey,0.0
11001009601__24033804300,direct_survey,0.0
11001009810__11001009811,direct_survey,0.0
11001009810__11001010900,direct_survey,0.0
11001009811__11001010900,direct_survey,0.0
11001009902__24033802502,direct_survey,0.0
11001009903__11001009905,direct_survey,0.0
11001009903__24033802700,direct_survey,0.0
11001010300__24031701800,direct_survey,0.0
11001010300__24031702500,direct_survey,0.0
11001010900__24033801500,direct_survey,0.0
11001011100__24033804400,direct_survey,0.0
11001011100__24033804700,direct_survey,0.0
