value,count
60,552
62,518
61,505
66,493
65,489
63,489
68,483
57,480
64,471
56,470
67,465
58,464
71,456
55,448
59,447
33,446
69,439
37,439
70,428
50,421
38,421
53,408
47,396
54,394
36,393
34,392
32,392
35,388
40,388
39,372
52,370
30,370
51,362
72,349
49,349
48,349
31,339
29,335
44,328
41,326
42,318
45,312
74,309
43,304
73,303
46,299
28,281
75,262
27,240
76,238
77,202
26,186
78,175
80,143
79,138
25,138
24,131
81,125
82,93
84,91
83,90
23,79
85,62
22,54
<NULL>,48
86,48
87,42
89,34
88,32
20,21
90,21
91,18
18,17
21,15
19,14
93,13
92,13
95,9
9,6
94,6
17,5
12,4
14,4
96,3
16,3
10,2
8,2
99,2
15,1
0,1
110,1
2,1
4,1
11,1
7,1
13,1
97,1
