value,count
"('51043010100', '51069999999', '51043010100')",5
"('51107610400', '51107610400', '51107610400')",5
"('24003740304', '24003740603', '24003740304')",4
"('24013507602', '24013507602', '24013507602')",4
"('24003706600', '24003706600', '24003706600')",4
"('51013103402', '51013103502', '51013103402')",4
"('24033807200', '24033807200', '24033807200')",4
"('24017851002', '24017851002', '24017851002')",4
"('51043010100', '51043010100', '51043010100')",4
"('51013103501', '51013103502', '51013103501')",4
"('51013103402', '11001010200', '51013103402')",4
"('11001010600', '11001010600', '11001010600')",4
"('51013103502', '11001010200', '51013103502')",4
"('24003702402', '24003702402', '24003702402', '24003702402', '24003702402')",3
"('24003740500', '24003740500', '24003740500')",3
"('24027605502', '24027606707', '24027605502')",3
"('24027606905', '24027606905', '24027606905', '24027606905', '24027606905')",3
"('24043000200', '24043010400', '24043000200')",3
"('24510240100', '24510240400', '24510240100')",3
"('24023000600', '24023000600', '24023000600')",3
"('24031702500', '24031701509', '24031702500')",3
"('51099040400', '51099040100', '51099040400')",3
"('11001001302', '11001010700', '11001001302')",3
"('51013103402', '51510201801', '51013103402')",3
"('54037972201', '54003999999', '54037972201')",3
"('51179010303', '51179010303', '51179010303')",3
"('24031700311', '24031700205', '24031700311')",3
"('24037876002', '24037876200', '24037876002')",3
"('24033807102', '24033807200', '24033807102')",3
"('24033806400', '24033807200', '24033806400')",3
"('51177020205', '51099040100', '51177020205')",3
"('11001004001', '11001005800', '11001004001')",3
"('24031702500', '11001005800', '24031702500')",3
"('51107611016', '51107611016', '51107611016')",3
"('51013103503', '11001005800', '51013103503')",3
"('24003740602', '24003740603', '24003740602')",3
"('51013103502', '51013103402', '51013103502')",3
"('24027605402', '24027605102', '24027605402')",3
"('51683910301', '51153901403', '51683910301')",3
"('24001001700', '24001001700', '24001001700')",2
"('24003702206', '24003702206', '24003702206')",2
"('24003702601', '24003702602', '24003702601')",2
"('24003706500', '24003706302', '24003706500')",2
"('24003730203', '24003730203', '24003730203')",2
"('24003730504', '24003730505', '24003730504')",2
"('24003731004', '24003731003', '24003731004')",2
"('24003731307', '24003731204', '24003731307')",2
"('24003740102', '24003740102', '24003740102', '24003740102', '24003740102')",2
"('24003740102', '24003980000', '24003740102')",2
"('24003740102', '24003740603', '24003740102')",2
"('24003740103', '24003740102', '24003740103')",2
"('24003740601', '24003740603', '24003740601', '24003740603', '24003740601')",2
"('24003740702', '24003751200', '24003740702')",2
"('24003750101', '24510040100', '24003750101')",2
"('24003751600', '24003702701', '24003751600')",2
"('24005402604', '24005402503', '24005402604')",2
"('24005408507', '24005408400', '24005408506', '24005408507')",2
"('24005411303', '24005411303', '24005411303')",2
"('24005420401', '24005420800', '24005420401')",2
"('24005440100', '24005490605', '24005440100')",2
"('24005492200', '24005491900', '24005492200')",2
"('24011955301', '24011955301', '24011955301')",2
"('24013505101', '24013514202', '24013505101')",2
"('24013505102', '24013505203', '24013505102', '24013505102', '24013505102')",2
"('24013505102', '24013505102', '24013505102', '24013505102', '24013505102')",2
"('24013507500', '24013507601', '24013507500')",2
"('24013507500', '24013504100', '24013507500')",2
"('24013514202', '24005401102', '24013514202')",2
"('24015030501', '24015030601', '24015030501')",2
"('24015031400', '24015031400', '24015031400')",2
"('24019970500', '24019970500', '24019970500')",2
"('24019970600', '24019970400', '24019970600')",2
"('24023000600', '24023000700', '24023000600')",2
"('24025301704', '24510040100', '24025301704')",2
"('24025302802', '24025302801', '24025302802')",2
"('24025304201', '24025304201', '24025304201')",2
"('24025305100', '42133024001', '24025305100')",2
"('24025306400', '24025306100', '24025306400')",2
"('24027602100', '24027602202', '24027602100')",2
"('24027602302', '24003751200', '24027602302')",2
"('24027602306', '24027602302', '24027602306')",2
"('24027605401', '24027602302', '24027605401')",2
"('24027605503', '24027605402', '24027605503')",2
"('24027605503', '24027605503', '24027605503')",2
"('24027605602', '24027606707', '24027605602')",2
"('24027606603', '24027606603', '24027606603')",2
"('24027606905', '24027605102', '24027606905')",2
"('24035810600', '24035811000', '24035810600', '24035810700', '24035810600')",2
"('24041960501', '24041960400', '24041960501')",2
"('24043000500', '24043011100', '24043000500')",2
"('24043010300', '24043010300', '24043010300')",2
"('24043010600', '24043000602', '24043010600')",2
"('24043010900', '24043001001', '24043010900')",2
"('24043011500', '24043011500', '24043011500', '24043011500', '24043011500')",2
"('24045010603', '24039930101', '24045010603')",2
"('24510060100', '24510260501', '24510060100')",2
"('24510060400', '24510060400', '24510060400')",2
"('24510070400', '24510060400', '24510070400')",2
"('24510180200', '24510040100', '24510180200')",2
"('24510250204', '24510250207', '24510250204')",2
"('24510270804', '24005490601', '24510270804')",2
"('24003707002', '24003707001', '24003707002')",2
"('24025302802', '24025306500', '24025302902', '24025302802')",2
"('24025301703', '24025302400', '24025301703')",2
"('24025301602', '24025301301', '24025301602')",2
"('24013504100', '24013504100', '24013504100')",2
"('24003740702', '24003740900', '24003740702')",2
"('24025301401', '24025301401', '24025301401')",2
"('24027603001', '24510040100', '24027603001')",2
"('24025305100', '24025305100', '24025305100')",2
"('24510110100', '24510110100', '24510110100')",2
"('24510272003', '24510280101', '24510280101', '24510272003')",2
"('24510120100', '24510120202', '24510120100')",2
"('24005420303', '24005420100', '24005420303')",2
"('24003702701', '24003702402', '24003702701')",2
"('24041960201', '24041960400', '24041960201')",2
"('24011955100', '24011955100', '24011955100')",2
"('24047951200', '24047951300', '24047951200', '24047951300', '24047951200')",2
"('24015031201', '24015031400', '24015031201')",2
"('24015030906', '24015030906', '24015030906')",2
"('24005491100', '24005408800', '24005491100')",2
"('24025306500', '24025306500', '24025306500')",2
"('24027606905', '24027606901', '24027606905')",2
"('24039930500', '24039930600', '24039930500', '24039930500')",2
"('24043000200', '24043010300', '24043000200')",2
"('24043010900', '24043000700', '24043010900')",2
"('24043011100', '24043011100', '24043011100')",2
"('24043011100', '24043000900', '24043011100')",2
"('24047951100', '24047950900', '24047951100')",2
"('24047951500', '24047951500', '24047951500', '24047951500', '24047951500', '24047951500')",2
"('24510110200', '24510110200', '24510110200')",2
"('11001000600', '11001006202', '11001000600')",2
"('24031702500', '11001002302', '24031702500')",2
"('24009860600', '24009860600', '24009860600')",2
"('51107611004', '51107611004', '51107611004')",2
"('24031702500', '11001010800', '24031702500')",2
"('11001008100', '11001006202', '11001008100')",2
"('51059461602', '11001005800', '51059461602')",2
"('51510201801', '11001005800', '51510201801')",2
"('24031702900', '24031702500', '24031702900')",2
"('51013101701', '51013101603', '51013101701')",2
