value,count
"('2', '1')",2314
"('', '')",1966
"('2', '2', '1')",1134
"('2', '2')",882
"('', '', '', '')",802
"('', '', '')",776
"('2', '2', '2', '1')",593
"('2', '1', '2', '1')",483
"('2', '2', '2')",440
"('', '', '', '', '')",440
"('2', '2', '2', '2')",383
"('2', '3')",375
"('', '', '', '', '', '')",299
"('2', '2', '2', '2', '1')",296
"('2', '2', '2', '2', '2')",245
"('2', '2', '3')",192
"('', '', '', '', '', '', '')",171
"('2', '2', '1', '2', '1')",147
"('3', '1')",141
"('2', '2', '2', '2', '2', '1')",132
"('2', '2', '2', '2', '2', '2')",131
"('2',)",131
"('',)",116
"('4', '1')",110
"('2', '1', '2', '2', '1')",109
"('4', '2', '1')",98
"('2', '2', '2', '3')",97
"('2', '1', '', '')",87
"('2', '3', '2', '3')",87
"('2', '2', '2', '1', '2', '1')",86
"('', '', '', '', '', '', '', '')",83
"('2', '4', '1')",82
"('2', '', '', '1')",77
"('', '', '2', '1')",75
"('2', '2', '2', '2', '2', '2', '2')",74
"('2', '1', '2', '1', '2', '1')",70
"('3', '3')",67
"('3', '2', '1')",64
"('2', '3', '1')",64
"('1', '1')",62
"('1',)",61
"('2', '2', '1', '2', '2', '1')",58
"('4', '2', '2', '1')",57
"('2', '')",55
"('2', '2', '2', '2', '2', '2', '1')",53
"('', '1')",52
"('2', '1', '3', '1')",43
"('3', '2')",43
"('2', '2', '', '')",43
"('2', '2', '4', '1')",42
"('2', '1', '2', '2', '2', '1')",41
"('2', '4', '2', '1')",41
"('2', '3', '2', '1')",40
"('', '2', '1')",39
"('2', '2', '2', '2', '2', '2', '2', '2')",37
"('', '', '2', '2')",37
"('2', '1', '1')",37
"('', '', '1')",35
"('2', '3', '2')",34
"('2', '2', '1', '', '')",32
"('2', '2', '3', '1')",31
"('3',)",31
"('2', '2', '2', '2', '1', '2', '1')",30
"('2', '2', '2', '2', '3')",30
"('1', '2', '1')",30
"('', '', '2', '3')",29
"('', '2')",29
"('4', '1', '2', '1')",29
"('3', '2', '2', '1')",28
"('2', '', '')",28
"('2', '3', '', '')",28
"('', '', '', '', '', '', '', '', '')",28
"('3', '2', '3')",28
"('1', '2')",26
"('4', '2', '2')",26
"('2', '4', '2')",26
"('2', '1', '2')",25
"('4', '4')",25
"('2', '3', '2', '2', '3')",24
"('2', '', '', '2', '1')",24
"('2', '1', '1', '1')",24
"('2', '2', '2', '2', '2', '2', '2', '1')",24
"('4', '2', '4', '1')",24
"('2', '', '', '2')",23
