value,count
"('15', '15')",416
"('10', '10')",399
"('30', '30')",327
"('5', '5')",293
"('20', '20')",190
"('15', '20')",121
"('25', '25')",98
"('60', '60')",94
"('45', '45')",91
"('25', '30')",90
"('10', '15')",89
"('20', '25')",89
"('20', '15')",77
"('20', '30')",73
"('30', '35')",68
"('30', '40')",66
"('45', '60')",61
"('30', '45')",60
"('40', '45')",60
"('15', '15', '15', '15')",59
"('15', '10')",58
"('10', '10', '10')",56
"('35', '35')",56
"('10', '10', '10', '10')",54
"('5', '5', '5', '5')",54
"('35', '40')",54
"('30', '25')",54
"('10', '5', '10')",54
"('40', '40')",53
"('5', '5', '5')",52
"('25', '20')",46
"('35', '45')",43
"('35', '30')",42
"('45', '40')",41
"('10', '5')",37
"('15', '30')",36
"('50', '60')",36
"('5', '10')",36
"('25', '35')",35
"('10', '5', '5')",35
"('40', '50')",35
"('15', '25')",34
"('30', '60')",33
"('45', '50')",32
"('15', '15', '10')",32
"('30',)",31
"('15', '15', '15')",30
"('30', '20')",29
"('50', '50')",29
"('40', '30')",28
"('15', '10', '10')",28
"('15', '15', '10', '10')",27
"('40', '35')",27
"('10', '10', '5')",27
"('25', '40')",26
"('50', '45')",26
"('15', '5', '15')",25
"('60', '75')",24
"('55', '60')",24
"('15', '10', '15')",24
"('10', '10', '5', '5')",23
"('60',)",23
"('25', '15')",23
"('10', '10', '15')",23
"('10', '10', '15', '15')",23
"('10', '20')",22
"('40', '60')",22
"('5', '5', '10', '10')",22
"('45', '55')",22
"('75', '75')",22
"('60', '45')",21
"('30', '15')",21
"('35', '50')",21
"('55', '50')",21
"('45', '30')",20
"('50', '70')",20
"('35', '25')",20
"('60', '65')",20
"('30', '30', '15')",19
"('5', '5', '10')",19
"('60', '30')",19
"('15', '15', '5')",19
"('45', '35')",19
"('10', '15', '10')",19
"('10', '5', '15')",18
"('55', '70')",18
"('20',)",18
"('20', '15', '15')",18
"('30', '30', '10')",18
"('15', '10', '5')",18
"('5', '10', '10')",18
"('30', '30', '15', '15')",17
"('55', '45')",17
"('20', '5', '20')",17
"('50', '55')",17
"('20', '20', '15', '15')",16
"('10', '15', '20')",16
"('45', '70')",16
"('15', '15', '10', '15')",16
"('15', '15', '5', '5')",15
"('20', '45')",15
"('90', '75')",15
"('15', '5')",15
"('15',)",15
"('75', '90')",15
"('10',)",15
"('45', '75')",15
"('30', '5', '5', '30')",15
"('20', '15', '10')",15
"('10', '5', '10', '10')",15
"('70', '70')",15
"('45',)",14
"('10', '15', '15')",14
"('10', '5', '5', '10')",14
"('70', '75')",14
"('20', '40')",13
"('60', '90')",13
"('20', '35')",13
"('25', '45')",13
"('45', '65')",13
"('5', '5', '15', '15')",13
"('15', '15', '20')",13
"('55', '55')",13
"('15', '10', '10', '15')",12
"('15', '15', '15', '20')",12
"('30', '50')",12
"('10', '20', '20')",12
"('15', '5', '5', '15')",12
"('90', '105')",12
"('10', '10', '10', '15')",12
"('15', '5', '10')",12
"('5', '15', '15')",12
"('80', '75')",12
"('15', '10', '10', '10')",11
"('10', '10', '10', '10', '10')",11
"('5', '15')",11
"('70', '60')",11
"('20', '15', '5')",11
"('90',)",11
"('45', '90')",11
"('90', '90')",11
"('50', '40')",11
"('20', '10', '15')",11
"('40',)",11
"('70', '80')",11
"('75', '60')",11
"('15', '20', '10', '10')",11
"('40', '55')",11
"('80', '90')",11
"('60', '55')",11
"('15', '15', '15', '10')",11
"('75', '70')",11
"('15', '15', '20', '20')",10
"('20', '30', '15')",10
"('120',)",10
"('30', '30', '30', '30')",10
"('35', '60')",10
"('15', '20', '15')",10
"('35',)",10
"('15', '35')",10
"('15', '20', '20')",10
"('65', '60')",10
"('25',)",10
"('20', '20', '5', '5')",10
"('20', '20', '20', '20')",10
"('20', '25', '10')",10
"('5', '5', '5', '5', '5', '5')",10
"('10', '30')",10
"('180',)",10
"('20', '15', '20')",10
"('10', '5', '5', '5')",10
"('60', '80')",10
"('50',)",10
"('10', '10', '5', '10')",10
"('30', '30', '20')",10
"('60', '70')",10
"('75', '65')",10
"('30', '20', '15')",10
"('40', '40', '10', '10')",9
"('5', '5', '10', '15')",9
"('30', '25', '30')",9
"('30', '5', '5', '35')",9
"('30', '10', '30')",9
"('60', '50')",9
"('35', '20')",9
"('20', '15', '30')",9
"('150',)",9
"('10', '15', '15', '15')",9
"('30', '30', '5')",9
"('15', '5', '20')",9
"('30', '15', '30')",9
"('30', '20', '10')",9
"('40', '75')",9
"('20', '20', '20')",9
"('15', '20', '5')",9
"('30', '10')",9
"('30', '30', '25')",9
"('10', '10', '20')",9
"('20', '10', '20')",9
"('80', '80')",9
"('5', '10', '5', '5')",9
"('40', '65')",9
"('10', '15', '5')",9
"('3', '3')",8
"('30', '55')",8
"('120', '120')",8
"('30', '30', '10', '10')",8
"('25', '10', '20')",8
"('20', '15', '15', '15')",8
"('25', '25', '10')",8
"('25', '50')",8
"('240',)",8
"('45', '45', '10')",8
"('30', '20', '30')",8
"('50', '65')",8
"('25', '15', '20')",8
"('5', '5', '20', '20')",8
"('5', '20', '20')",8
"('35', '55')",8
"('20', '10', '10')",8
"('20', '10')",8
"('5', '10', '10', '10')",8
"('85', '85')",8
"('30', '5')",8
"('30', '10', '10', '30')",8
"('25', '25', '5')",8
"('20', '20', '10', '10')",8
"('25', '25', '10', '10')",8
"('15', '10', '20')",8
"('70', '65')",8
"('10', '5', '5', '10', '10')",8
"('5', '5', '5', '5', '5')",8
"('35', '40', '5')",8
"('70', '85')",8
"('40', '25')",8
"('65', '75')",8
"('15', '15', '30', '30')",7
"('30', '30', '30')",7
"('20', '30', '10')",7
"('30', '25', '10')",7
"('55', '75')",7
"('50', '90')",7
"('55', '65')",7
"('20', '20', '5')",7
"('10', '5', '20')",7
"('20', '25', '15')",7
"('10', '15', '10', '10')",7
"('20', '60')",7
"('30', '15', '25')",7
"('90', '120')",7
"('10', '25')",7
"('10', '10', '20', '20')",7
"('20', '10', '10', '20')",7
"('30', '15', '20')",7
"('15', '20', '15', '20')",7
"('25', '5', '20')",7
"('75', '85')",7
"('10', '10', '10', '10', '5', '5')",7
"('5', '10', '10', '5')",7
"('5', '5', '10', '5')",7
"('30', '65')",7
"('30', '25', '5')",7
"('40', '70')",7
"('20', '5', '5', '20')",7
"('65', '40')",6
"('15', '20', '15', '15')",6
"('20', '5')",6
"('10', '30', '30')",6
"('25', '15', '10')",6
"('25', '15', '25')",6
"('45', '20')",6
"('75', '80')",6
"('35', '30', '10')",6
"('5', '5', '15', '10')",6
"('70', '95')",6
"('7', '7')",6
"('15', '20', '20', '15')",6
"('90', '60')",6
"('10', '5', '5', '15')",6
"('15', '30', '15', '15')",6
"('10', '15', '5', '10')",6
"('30', '30', '45')",6
"('45', '80')",6
"('210',)",6
"('45', '25')",6
"('60', '40')",6
"('10', '20', '15', '15')",6
"('10', '25', '25')",6
"('45', '30', '10')",6
"('5',)",6
"('5', '25', '30')",6
"('10', '15', '10', '15')",6
"('10', '15', '15', '10')",6
"('15', '20', '10')",6
"('10', '10', '10', '10', '10', '10')",6
"('10', '20', '15')",6
"('10', '20', '25')",6
"('25', '60')",6
"('25', '15', '30')",6
"('15', '10', '15', '10')",6
"('20', '20', '10')",6
"('15', '5', '5')",6
"('30', '70')",6
"('70', '90')",6
"('20', '5', '5', '25')",6
