value,count
"('', '')",5563
"('', '', '', '')",3694
"('', '', '')",3203
"('', '', '', '', '')",2287
"('', '', '', '', '', '')",1820
"('', '', '', '', '', '', '')",1087
"('', '', '', '', '', '', '', '')",733
"('', '', '', '', '', '', '', '', '')",357
"('',)",343
"('', '', '', '', '', '', '', '', '', '')",228
"('', '', '', '', '', '', '', '', '', '', '')",150
"('', '', '', '', '', '', '', '', '', '', '', '')",78
"('', '', '', '', '', '', '', '', '', '', '', '', '')",37
"('', '', '', '', '', '', '', '', '', '', '', '', '', '')",23
"('', '', '', '', '', '', '', '', '', '', '', '', '', '', '')",17
"('', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')",9
"('', '64')",7
"('27', '71')",5
"('', '', '69', '')",5
"('28', '', '')",5
"('147', '64')",5
"('147', '20')",5
"('154', '', '')",4
"('', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')",4
"('84', '', '', '')",4
"('84', '')",4
"('31', '24')",4
"('154', '')",4
"('63', '44')",4
"('154', '', '', '', '')",4
"('53', '68')",4
"('28', '20')",4
"('69', '')",4
"('137', '')",4
"('147', '20', '')",4
"('3', '46')",4
"('30', '')",3
"('27', '')",3
"('154', '87')",3
"('31', '', '', '', '')",3
"('', '', '', '5')",3
"('28', '64')",3
"('27', '', '', '73')",3
"('31', '88')",3
"('31', '')",3
"('154', '', '', '')",3
"('29', '', '', '')",3
"('154', '36')",3
"('45', '87')",3
"('154', '73')",3
"('27', '', '', '', '', '', '')",3
"('84', '9')",3
"('28', '', '', '', '')",3
"('137', '40')",3
"('147', '63')",3
"('28', '', '64')",3
"('', '84', '')",3
"('84', '20')",3
"('20', '')",3
"('31', '', '64')",3
"('28', '5')",3
"('137', '', '')",3
"('27', '42')",3
"('63', '20')",3
"('31', '5')",3
"('84', '', '212')",2
"('111', '101')",2
"('45', '213')",2
"('', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')",2
"('107', '', '', '')",2
"('', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')",2
"('', '31', '', '')",2
"('27', '213')",2
"('', '42', '')",2
"('84', '', '')",2
"('', '', '111', '')",2
"('', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')",2
"('53', '')",2
"('84', '213')",2
"('154', '22')",2
"('28', '61')",2
"('23', '81')",2
"('59', '39')",2
"('', '', '', '', '154', '')",2
"('', '59', '83')",2
"('10', '', '', '')",2
"('27', '7')",2
"('42', '')",2
"('93', '71')",2
"('23', '', '', '92')",2
"('59', '147')",2
"('31', '', '', '64')",2
"('20', '15')",2
"('31', '22')",2
"('27', '15')",2
"('154', '46')",2
"('', '52', '', '')",2
"('147', '84')",2
"('147', '64', '')",2
"('147', '', '')",2
"('78', '89')",2
"('7', '23')",2
"('3', '66')",2
"('', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')",2
"('31', '71')",2
"('', '', '137', '23', '')",2
"('20', '84', '')",2
"('45', '23')",2
"('147', '46')",2
"('31', '77')",2
"('28', '', '', '8')",2
"('28', '22')",2
"('137', '', '', '')",2
"('52', '56')",2
"('147', '', '', '', '', '', '', '')",2
"('23', '86', '')",2
"('31', '', '')",2
"('', '17')",2
"('52', '')",2
"('31', '20')",2
"('84', '95')",2
"('52', '', '', '', '8')",2
"('27', '73', '')",2
"('137', '', '68')",2
"('27', '133')",2
"('63', '19')",2
"('63', '87')",2
"('', '39')",2
"('154', '84')",2
"('', '', '95')",2
"('74', '24', '')",2
"('147', '51')",2
"('', '154')",2
"('78', '64')",2
"('', '31', '')",2
"('52', '147')",2
"('27', '40')",2
"('52', '87')",2
"('23', '86')",2
"('28', '85')",2
"('52', '', '', '', '')",2
"('147', '42', '', '')",2
"('52', '', '', '63')",2
"('84', '64')",2
"('137', '46')",2
"('52', '89')",2
"('31', '64')",2
"('31', '88', '')",2
"('5', '9')",2
"('154', '71')",2
"('27', '84', '')",2
"('137', '63')",2
"('70', '5')",2
"('147', '8')",2
"('28', '46')",2
"('3', '20')",2
"('52', '', '', '')",2
"('52', '64')",2
"('29', '44')",2
"('30', '', '', '', '', '')",2
"('52', '', '20')",2
"('147', '17')",2
"('', '137', '64')",2
"('3', '63')",2
"('23', '64')",2
"('28', '', '', '64')",2
"('147', '9')",2
"('147', '', '', '', '')",2
"('94', '5')",2
"('', '', '', '63')",2
"('30', '64')",2
"('74', '20', '')",2
"('137', '', '', '63')",2
"('', '', '137', '', '')",2
"('28', '', '', '19')",2
"('154', '15')",2
"('28', '56')",2
"('70', '44')",2
"('28', '94')",2
"('3', '', '', '', '')",2
"('45', '84')",2
"('25', '6')",2
"('5', '')",2
"('27', '', '', '', '')",2
"('27', '64')",2
"('52', '75')",2
"('154', '7', '', '')",2
"('30', '24')",2
"('73', '214', '')",1
"('84', '', '', '201')",1
"('', '', '', '61', '', '', '')",1
"('84', '61', '', '')",1
"('70', '')",1
"('', '61')",1
"('', '', '', '209', '', '30', '', '61', '')",1
"('20', '205')",1
"('31', '', '', '', '', '')",1
"('84', '212')",1
"('27', '212')",1
"('84', '', '', '212')",1
"('147', '212')",1
"('', '', '74', '64', '')",1
"('', '56', '', '', '', '', '84', '', '', '', '', '')",1
"('110', '103', '', '', '')",1
"('112', '', '', '104')",1
"('', '104', '', '', '')",1
"('', '', '114', '', '')",1
