value,count
"('', '')",6106
"('', '', '', '')",3998
"('', '', '')",3436
"('', '', '', '', '')",2472
"('', '', '', '', '', '')",1959
"('', '', '', '', '', '', '')",1156
"('', '', '', '', '', '', '', '')",761
"('', '', '', '', '', '', '', '', '')",375
"('',)",333
"('', '', '', '', '', '', '', '', '', '')",236
"('', '', '', '', '', '', '', '', '', '', '')",145
"('1', '1')",101
"('', '', '', '', '', '', '', '', '', '', '', '')",79
"('', '', '', '', '', '', '', '', '', '', '', '', '')",36
"('1', '1', '', '')",31
"('1', '')",28
"('', '1')",25
"('1', '1', '')",24
"('', '', '', '', '', '', '', '', '', '', '', '', '', '')",22
"('1', '', '')",21
"('1', '', '', '1')",19
"('1',)",18
"('1', '', '', '')",18
"('', '', '', '', '', '', '', '', '', '', '', '', '', '', '')",16
"('', '1', '', '')",14
"('1', '', '', '', '')",14
"('', '1', '')",13
"('1', '1', '', '', '')",11
"('', '1', '1', '')",10
"('', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')",9
"('', '', '1')",9
"('', '', '1', '')",9
"('', '1', '1')",9
"('1', '1', '1')",9
"('1', '', '1')",8
"('1', '', '', '', '', '')",8
"('', '', '1', '', '')",7
"('', '', '', '1')",7
"('', '', '', '', '1')",6
"('1', '', '', '', '', '', '', '')",6
"('', '', '1', '1')",5
"('', '1', '', '', '1', '')",5
"('', '1', '', '', '', '')",5
"('', '1', '1', '', '')",5
"('1', '', '', '', '', '', '')",5
"('1', '', '', '1', '', '')",5
"('', '', '', '', '1', '1')",5
"('', '', '', '1', '', '')",5
"('', '1', '', '', '', '', '')",5
"('', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')",4
"('', '', '', '', '', '1')",4
"('', '', '1', '1', '', '')",4
"('', '', '', '', '1', '')",4
"('', '', '', '', '', '', '1')",4
"('', '', '1', '', '', '', '', '')",4
"('1', '', '', '1', '')",4
"('1', '', '', '', '', '', '1', '')",3
"('1', '', '', '', '1')",3
"('', '1', '1', '', '', '')",3
"('', '1', '', '1')",3
"('', '', '', '', '', '1', '', '')",3
"('', '', '', '', '', '1', '1')",3
"('', '1', '', '', '')",3
"('', '', '1', '', '', '', '')",3
"('', '', '', '', '', '', '1', '')",3
"('', '1', '', '', '1')",3
"('', '', '', '1', '')",3
"('', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')",2
"('', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')",2
"('', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')",2
"('1', '', '1', '', '')",2
"('1', '', '1', '', '', '')",2
"('', '1', '', '', '', '', '', '', '')",2
"('1', '', '', '', '', '1', '')",2
