value,count
<NULL>,9335
"('', '')",4107
"('', '', '', '')",2299
"('', '', '')",1921
"('', '', '', '', '')",1248
"('', '', '', '', '', '')",994
"('', '', '', '', '', '', '')",638
"('', '', '', '', '', '', '', '')",367
"('',)",213
"('', '', '', '', '', '', '', '', '')",202
"('', '', '', '', '', '', '', '', '', '')",144
"('', '', '', '', '', '', '', '', '', '', '')",70
"('', '', '', '', '', '', '', '', '', '', '', '')",46
"('', '', '', '', '', '', '', '', '', '', '', '', '')",20
"('', '', '', '', '', '', '', '', '', '', '', '', '', '')",16
"('1', '1')",15
"('1', '')",11
"('1', '', '')",10
"('', '', '', '', '', '', '', '', '', '', '', '', '', '', '')",9
"('', '', '1', '')",8
"('1', '', '', '1')",8
"('1', '1', '', '')",6
"('', '', '1')",5
"('', '1', '', '')",4
"('1',)",4
"('', '1')",4
"('1', '', '', '', '')",4
"('1', '', '', '', '', '')",4
"('', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')",3
"('1', '1', '')",3
"('', '', '', '', '1')",3
"('', '1', '')",3
"('', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')",2
"('', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')",2
"('1', '', '', '')",2
"('1', '1', '', '', '')",2
"('', '1', '', '', '')",2
"('', '', '', '', '', '1', '', '', '')",2
"('1', '', '', '1', '', '')",2
"('1', '', '', '', '', '', '', '', '')",2
"('', '1', '', '', '1', '')",2
"('', '', '', '1', '1', '', '')",2
"('', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')",1
"('', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')",1
"('1', '1', '1', '', '')",1
"('', '1', '', '', '', '', '', '')",1
"('', '', '', '', '', '', '', '', '1', '', '', '')",1
"('', '1', '', '', '', '', '')",1
"('1', '', '', '', '', '', '', '', '1', '', '', '', '', '')",1
"('1', '1', '1', '')",1
"('', '', '', '1', '1', '', '', '')",1
"('', '', '', '', '', '', '1', '', '', '', '')",1
"('', '', '1', '', '', '1')",1
"('', '', '', '', '', '', '1', '')",1
"('', '', '1', '', '', '', '')",1
"('', '1', '', '', '', '1')",1
"('', '', '', '', '1', '', '')",1
"('', '1', '', '1')",1
"('', '', '', '1', '', '')",1
"('', '', '1', '1', '', '', '', '', '')",1
"('1', '', '', '', '1')",1
"('', '', '', '', '1', '')",1
"('1', '', '1', '')",1
"('1', '1', '1', '1')",1
"('', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')",1
"('1', '1', '1')",1
"('', '', '', '', '', '', '1')",1
"('', '1', '1', '')",1
"('', '', '1', '1', '', '')",1
"('', '', '', '', '1', '1', '', '', '')",1
"('1', '', '', '', '', '', '', '', '1')",1
"('', '', '1', '', '1', '')",1
"('', '', '', '1')",1
"('', '', '', '', '', '1', '', '')",1
"('', '', '', '', '', '', '', '', '', '', '1', '')",1
"('', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')",1
"('', '1', '1', '', '', '', '')",1
"('', '1', '1', '', '', '')",1
"('', '', '1', '', '', '', '1', '')",1
"('', '', '1', '', '', '1', '', '', '', '')",1
"('', '', '1', '', '', '1', '', '')",1
"('', '', '1', '', '')",1
"('1', '1', '', '', '', '', '', '')",1
"('', '', '', '', '', '', '', '1')",1
"('1', '', '', '', '1', '')",1
"('', '', '', '', '1', '', '', '', '1', '', '', '', '', '', '')",1
