value,count
<NULL>,9335
"('', '', '')",1436
"('', '', '', '', '')",768
"('', '', '', '')",640
"('', '', '', '', '', '')",424
"('', '', '', '', '', '', '')",335
"('', '', '', '', '', '', '', '')",210
"('', '', '', '', '', '', '', '', '')",134
"('', '', '', '', '', '', '', '', '', '')",75
"('', '')",74
"('', '', '', '', '', '', '', '', '', '', '')",46
"('', '', '', '', '', '', '', '', '', '', '', '')",28
"('', '', '', '', '', '', '', '', '', '', '', '', '')",20
"('', '1411', '')",9
"('', '1682', '')",9
"('', '', '', '', '', '', '', '', '', '', '', '', '', '')",8
"('', '', '', '', '', '', '', '', '', '', '', '', '', '', '')",8
"('', '1422', '')",8
"('', '1400', '')",8
"('', '1439', '')",7
"('', '1435', '')",7
"('', '1449', '')",6
"('', '1420', '')",5
"('', '1465', '')",5
"('', '1774', '')",5
"('', '2069', '')",4
"('', '1424', '')",4
"('', '1436', '')",4
"('', '1622', '')",4
"('', '2062', '')",4
"('', '1682', '', '')",4
"('', '1426', '')",4
"('469', '469', '469')",3
"('1055', '1054', '1055')",3
"('', '2526', '')",3
"('', '2906', '')",3
"('2176', '', '2176')",3
"('', '1437', '')",3
"('', '1411', '', '')",3
"('', '1416', '')",3
"('', '1605', '')",3
"('', '1413', '')",3
"('2380', '2316', '2380')",3
"('', '1419', '', '')",3
"('', '1456', '')",3
"('', '1410', '')",3
"('', '1585', '')",3
"('', '1777', '')",3
"('', '1437', '', '')",3
"('', '1773', '')",3
"('', '2742', '')",3
"('', '1790', '', '')",3
"('', '1439', '', '')",3
"('', '1421', '', '', '')",3
"('', '2093', '')",3
"('', '2244', '', '', '')",3
"('', '1480', '')",3
"('', '1443', '')",3
"('', '1773', '', '')",3
"('', '1438', '')",3
"('392', '399', '392')",2
"('830', '903', '830')",2
"('1161', '1157', '1161')",2
"('', '2907', '')",2
"('181', '181', '181')",2
"('315', '314', '315')",2
"('148', '148', '148', '148')",2
"('437', '427', '437', '430', '437')",2
"('113', '113', '113')",2
"('535', '292', '535')",2
"('', '1763', '')",2
"('', '1128', '', '', '')",2
"('', '842', '')",2
"('', '1220', '')",2
"('', '2902', '')",2
"('', '1419', '')",2
"('', '', '1599', '', '')",2
"('', '2244', '')",2
"('', '2087', '')",2
"('', '1700', '')",2
"('', '1765', '')",2
