value,count
<NULL>,20221
24033807200,52
51059440502,29
11001010800,22
24003731103,21
24005490605,20
24031701004,16
24033803513,15
24510040200,11
24021751201,11
24510120202,10
11001001001,10
24510110200,9
24005492500,9
24017850600,9
11001000201,9
51510200106,9
24031701800,8
24045010400,8
24510060400,8
24033800410,8
24005999999,8
24003740602,7
24510150500,7
24510270903,7
24005440701,7
24013507802,7
24045010606,7
24027605102,7
51059440800,7
11001009501,7
11001001200,7
24031700830,7
11001005600,7
24017851002,7
24031700901,7
11001003400,7
24025303102,6
24027605602,6
24043011201,6
51013101402,6
51153901234,6
24037875500,6
51107611900,6
51153901503,6
51107611207,6
24003702402,5
24003730504,5
24003750801,5
24033803514,5
24510271300,5
24510271101,5
24027606707,5
24015030905,5
24021751001,5
24045010502,5
11001010100,5
24033803521,5
51107611806,5
51153900410,5
24017850901,5
11001005900,5
51630000301,5
24031700717,5
11001010700,5
24005400400,4
24005420800,4
24005490602,4
24035810600,4
24027606905,4
24025301602,4
24041960400,4
24510271503,4
24021750600,4
24033802406,4
51059482303,4
11001001100,4
11001000901,4
24033800402,4
51510200201,4
24009860701,4
24031703000,4
51059421103,4
24033806712,4
24510999999,4
24033801405,4
24510150400,3
24003740900,3
24005490301,3
24005492101,3
24510140100,3
24013505101,3
24013507602,3
24019970600,3
24025303101,3
24027601201,3
24027602306,3
24043010300,3
24045000100,3
24510090200,3
24005403500,3
24510090500,3
24027605505,3
24005401102,3
24001000500,3
24047951300,3
24047951000,3
51059470100,3
51059471301,3
51610500100,3
11001000400,3
51107611004,3
51153901224,3
24021751901,3
24033803602,3
51059491803,3
24033802804,3
51179010304,3
24013507601,3
11001002802,3
51059491502,3
51013102802,3
51061930401,3
51013101500,3
24033800513,3
51059430203,3
24031701221,3
51061930705,3
24033800701,3
24031704805,3
51179010204,3
24031701408,3
51600300500,3
24031701407,3
51059461500,3
51059471100,3
24031700311,3
51179010210,3
51510200801,3
51059422301,3
51107611012,3
24021752204,3
51059421002,3
51107610602,3
24033801407,3
51107610504,3
51153901409,3
51107611021,3
24033801906,3
51059452101,3
51685920200,3
24009860200,3
11001009204,3
42000999999,3
51059420300,3
51107611019,3
51013103800,3
24001001800,2
24003701400,2
24003706600,2
24031701503,2
24005403201,2
24005408400,2
24005404102,2
24005407001,2
24510270802,2
24005491202,2
24005450300,2
24005490800,2
24510270902,2
24027603004,2
24013507500,2
10003014502,2
24015030400,2
24023000700,2
24025301702,2
24025303803,2
24027602303,2
24510280500,2
