value,count
<NULL>,9335
"('', '')",3452
"('', '', '', '')",2014
"('', '', '')",1697
"('', '', '', '', '')",1108
"('', '', '', '', '', '')",885
"('', '', '', '', '', '', '')",595
"('1', '1')",412
"('', '', '', '', '', '', '', '')",360
"('',)",206
"('', '', '', '', '', '', '', '', '')",196
"('', '', '', '', '', '', '', '', '', '')",132
"('3', '1')",85
"('1', '1', '', '')",78
"('', '', '', '', '', '', '', '', '', '', '')",70
"('1', '', '', '1')",53
"('1', '')",49
"('4', '1')",44
"('1', '1', '')",42
"('', '', '', '', '', '', '', '', '', '', '', '')",42
"('', '1')",42
"('1', '1', '1')",39
"('1', '', '')",33
"('3', '1', '')",24
"('1', '', '1')",22
"('1', '', '', '1', '', '')",22
"('', '', '', '', '', '', '', '', '', '', '', '', '')",19
"('3', '1', '', '')",19
"('1', '1', '', '', '')",19
"('', '', '1', '1')",18
"('', '', '', '', '', '', '', '', '', '', '', '', '', '')",17
"('1', '', '', '', '1')",17
"('', '1', '', '')",16
"('', '1', '1')",16
"('1', '', '', '')",16
"('1', '1', '1', '1')",15
"('', '1', '')",14
"('1', '', '', '1', '')",14
"('1', '1', '', '', '', '')",13
"('', '', '', '1')",11
"('3', '', '', '1')",11
"('', '', '', '', '', '', '', '', '', '', '', '', '', '', '')",10
"('', '1', '1', '')",10
"('1',)",9
"('', '', '1')",9
"('', '1', '1', '', '')",9
"('', '1', '', '', '')",9
"('', '3', '1')",9
"('1', '', '', '', '')",8
"('1', '1', '1', '')",8
"('', '1', '', '', '', '')",7
"('6', '1')",7
"('1', '6')",7
"('4', '', '', '1')",7
"('', '3', '1', '')",6
"('3', '1', '', '', '')",6
"('', '', '', '', '1', '')",6
"('1', '', '', '1', '', '', '')",6
"('4', '1', '')",6
"('5', '')",5
"('4', '')",5
"('3', '6')",5
"('1', '', '', '', '', '')",5
"('', '4', '1')",5
"('4', '1', '', '', '')",4
"('', '', '', '', '', '1')",4
"('', '3', '1', '', '')",4
"('1', '1', '1', '', '')",4
"('1', '', '1', '1')",4
