value,count
<NULL>,9335
"('', '')",3452
"('', '', '', '')",2014
"('', '', '')",1696
"('', '', '', '', '')",1108
"('', '', '', '', '', '')",885
"('', '', '', '', '', '', '')",595
"('1', '1')",422
"('', '', '', '', '', '', '', '')",360
"('',)",206
"('', '', '', '', '', '', '', '', '')",196
"('', '', '', '', '', '', '', '', '', '')",132
"('1', '1', '', '')",77
"('1', '3')",71
"('', '', '', '', '', '', '', '', '', '', '')",70
"('1', '')",58
"('1', '', '', '1')",52
"('', '1')",44
"('1', '1', '')",43
"('1', '4')",43
"('', '', '', '', '', '', '', '', '', '', '', '')",42
"('1', '1', '1')",38
"('1', '', '')",34
"('1', '3', '')",23
"('1', '', '', '1', '', '')",23
"('1', '', '1')",22
"('1', '1', '', '', '')",20
"('', '1', '1')",20
"('', '', '', '', '', '', '', '', '', '', '', '', '')",19
"('1', '3', '', '')",18
"('', '', '1', '1')",18
"('', '', '', '', '', '', '', '', '', '', '', '', '', '')",17
"('1', '', '', '', '1')",17
"('1', '', '', '')",16
"('', '1', '')",14
"('', '1', '', '')",14
"('', '1', '1', '')",13
"('1', '1', '1', '1')",13
"('1', '', '', '1', '')",13
"('1', '1', '', '', '', '')",13
"('', '', '', '1')",11
"('', '1', '1', '', '')",11
"('1', '', '', '4')",11
"('', '', '', '', '', '', '', '', '', '', '', '', '', '', '')",10
"('1', '', '', '', '')",10
"('', '', '1')",9
"('1',)",8
"('', '1', '', '', '')",8
"('6', '1')",8
"('1', '', '', '3')",8
"('1', '1', '1', '')",8
"('', '1', '', '', '', '')",7
"('1', '', '', '', '', '')",7
"('1', '4', '')",6
"('', '1', '3')",6
"('1', '6')",6
"('1', '3', '', '', '')",5
"('', '', '', '', '1', '')",5
"('1', '', '', '1', '', '', '')",5
"('', '', '', '', '', '1')",4
"('1', '1', '1', '', '')",4
"('1', '', '1', '1')",4
"('', '', '1', '3')",4
"('1', '5')",4
"('6', '3')",4
"('', '1', '3', '')",4
"('1', '', '', '3', '')",4
"('1', '', '', '', '', '1')",4
"('', '1', '4')",4
