value,count
<NULL>,17168
"('', '')",2174
"('', '', '', '')",827
"('', '', '')",605
"('', '', '', '', '')",303
"('', '', '', '', '', '')",216
"('', '', '', '', '', '', '')",87
"('',)",77
"('', '', '', '', '', '', '', '')",44
"('0', '')",38
"('1', '')",19
"('', '', '', '', '', '', '', '', '')",18
"('1', '0')",15
"('', '', '', '', '', '', '', '', '', '')",9
"('', '', '0', '')",9
"('', '', '', '', '', '', '', '', '', '', '')",8
"('0', '0', '')",8
"('0', '0', '0')",7
"('', '0')",7
"('1', '0', '')",7
"('0', '0')",6
"('0', '', '')",5
"('', '', '1', '')",4
"('0', '', '', '')",4
"('0', '0', '0', '0')",3
"('0', '1', '0')",3
"('0', '1', '0', '')",3
"('', '0', '0')",3
"('', '0', '')",3
"('', '', '0', '0', '')",3
"('0', '0', '0', '0', '0', '0', '0')",2
"('0', '0', '0', '0', '0')",2
"('0', '0', '0', '0', '0', '0', '0', '0')",2
"('', '', '', '', '', '', '', '', '', '', '', '', '')",2
"('1', '0', '0')",2
"('1', '0', '0', '0')",2
"('', '1')",2
"('', '0', '0', '0', '')",2
"('', '0', '0', '', '', '')",2
"('0', '0', '0', '')",2
"('0', '0', '1', '0', '0')",2
"('0', '0', '', '')",2
"('1', '', '', '')",2
"('', '', '', '0')",2
"('', '', '', '0', '')",2
"('1', '1', '0', '1')",2
"('0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0')",1
"('0', '0', '0', '0', '', '')",1
"('0', '', '', '1', '0', '0', '0')",1
"('1', '0', '', '')",1
"('', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')",1
"('1', '0', '0', '0', '', '')",1
"('1', '', '', '0', '0', '0', '', '', '')",1
"('0', '0', '0', '0', '0', '0')",1
"('0', '0', '', '', '', '')",1
"('1', '0', '0', '1', '0')",1
"('0', '0', '0', '0', '0', '0', '', '')",1
"('', '', '', '', '', '', '', '', '', '', '', '', '', '')",1
"('1', '0', '', '0', '0', '', '0', '0', '', '', '', '')",1
"('0', '1', '', '', '', '')",1
"('', '0', '0', '1', '0')",1
"('', '1', '1', '')",1
"('', '', '1', '', '', '0', '0', '', '0', '')",1
"('0', '1', '', '')",1
"('0', '', '0', '')",1
"('', '', '0', '0')",1
"('0', '', '1', '0', '')",1
"('', '', '1', '0', '0', '0')",1
"('0', '', '0', '0', '')",1
"('', '1', '0', '', '0', '')",1
"('', '0', '', '')",1
"('', '', '0', '0', '1', '0')",1
"('', '0', '1', '')",1
"('0', '', '1', '')",1
"('1', '', '', '', '0')",1
"('0', '', '0', '', '', '', '', '', '0', '', '')",1
"('', '', '', '', '0', '')",1
"('1', '0', '', '0', '')",1
"('', '1', '', '0')",1
"('', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')",1
"('0', '0', '0', '0', '1', '1', '1', '')",1
"('', '', '', '0', '0', '', '')",1
"('0', '1')",1
"('', '', '', '', '', '', '', '', '0', '')",1
"('', '', '0', '', '', '0', '0', '')",1
"('', '', '1', '0', '')",1
"('', '', '', '0', '0', '')",1
"('0', '', '', '', '', '')",1
"('', '', '', '', '', '0', '')",1
"('0', '', '0', '0', '0')",1
"('', '0', '1', '', '0', '', '', '', '')",1
"('', '0', '1', '', '')",1
"('', '0', '', '0')",1
"('', '', '', '', '', '', '', '', '', '', '', '')",1
"('1', '0', '', '', '')",1
"('', '', '0')",1
"('0', '', '0')",1
"('1', '', '', '0', '0', '', '')",1
"('0', '', '', '0')",1
"('', '', '0', '', '0', '')",1
"('', '', '1', '', '', '')",1
"('', '', '', '', '0', '1', '')",1
"('', '', '1', '', '0')",1
"('', '', '0', '1', '', '0', '')",1
"('1', '1', '', '', '0', '')",1
"('0', '', '', '', '0')",1
"('1', '', '0', '')",1
"('1', '0', '1')",1
"('', '0', '', '0', '')",1
"('', '1', '')",1
"('0', '0', '1', '')",1
"('1', '', '0', '0')",1
"('1', '0', '0', '0', '0')",1
"('1', '1')",1
"('1', '1', '', '1', '')",1
"('0', '0', '1', '', '0', '')",1
"('0', '', '0', '', '')",1
"('', '0', '1', '0', '')",1
"('', '', '0', '1', '')",1
