value,count
<NULL>,19957
2316,33
885,18
2018,18
733,17
2119,15
1301,12
469,11
1018,11
1995,11
484,10
2062,10
2102,10
574,9
1050,9
1269,9
1274,9
1304,9
415,8
1346,8
25,8
1978,8
2894,8
2107,8
1945,8
1840,8
2913,8
522,7
2499,7
490,7
2317,7
729,7
839,7
1053,7
1937,7
1011,7
2112,7
2125,7
2084,7
1500,7
2889,7
2885,7
501,6
360,6
641,6
1057,6
1008,6
1108,6
1249,6
1284,6
2818,6
531,6
1938,6
2159,6
1807,6
1494,6
1548,6
2052,6
2551,6
1465,6
1644,6
2057,6
1976,6
427,5
460,5
883,5
876,5
989,5
1110,5
1206,5
1128,5
1310,5
101,5
510,5
499,5
2155,5
1678,5
1478,5
2143,5
1897,5
2104,5
2140,5
2379,5
2909,5
1457,5
2088,5
2114,5
2374,5
466,5
1636,5
1523,5
2586,5
1326,4
738,4
757,4
1218,4
1159,4
1231,4
1238,4
1386,4
1192,4
1318,4
481,4
1003,4
23,4
746,4
854,4
493,4
1902,4
2022,4
2069,4
1449,4
2519,4
1541,4
2378,4
1473,4
2651,4
1859,4
1587,4
2716,4
2591,4
411,3
544,3
383,3
530,3
294,3
644,3
952,3
941,3
841,3
742,3
626,3
1054,3
1227,3
1337,3
1061,3
256,3
2568,3
1081,3
1105,3
1356,3
1242,3
1235,3
1259,3
1279,3
1281,3
1253,3
100,3
96,3
241,3
514,3
1290,3
494,3
995,3
1360,3
1354,3
1152,3
658,3
47,3
440,3
432,3
625,3
869,3
986,3
1463,3
2021,3
2063,3
2512,3
2518,3
1944,3
1624,3
2067,3
2024,3
2031,3
2028,3
1935,3
2127,3
482,3
1830,3
1815,3
2304,3
1958,3
1751,3
430,3
2864,3
1903,3
1524,3
1909,3
2814,3
2118,3
2094,3
525,3
2006,3
1695,3
2560,3
2906,3
2042,3
2884,3
2390,3
2221,3
1665,3
2190,3
1376,3
1527,3
1705,3
1619,3
2250,3
2582,3
1526,3
2174,3
2501,3
1487,3
410,2
539,2
492,2
398,2
361,2
221,2
871,2
823,2
874,2
862,2
706,2
716,2
707,2
664,2
643,2
942,2
1052,2
677,2
1007,2
1001,2
1013,2
1175,2
1127,2
1135,2
1237,2
1243,2
1314,2
1389,2
1393,2
107,2
12,2
113,2
312,2
148,2
111,2
11,2
2,2
572,2
1197,2
1126,2
1010,2
1285,2
1365,2
523,2
134,2
792,2
28,2
500,2
497,2
611,2
219,2
630,2
601,2
624,2
918,2
934,2
780,2
2919,2
1229,2
1039,2
372,2
335,2
119,2
310,2
2060,2
2100,2
1759,2
1623,2
1764,2
1677,2
1926,2
1932,2
2146,2
1621,2
2546,2
435,2
1871,2
1578,2
1432,2
2077,2
1505,2
1999,2
2239,2
2386,2
2055,2
2398,2
2667,2
2903,2
540,2
1801,2
1565,2
2553,2
2863,2
504,2
2073,2
1643,2
2075,2
1691,2
1598,2
2247,2
2134,2
214,2
2923,2
2513,2
2030,2
1946,2
1637,2
1503,2
1956,2
1531,2
2038,2
1620,2
1729,2
2068,2
1950,2
1965,2
399,2
1948,2
1788,2
2315,2
1556,2
2896,2
1043,2
1625,2
1257,2
1493,2
2524,2
2827,2
2914,2
2918,2
2505,2
1577,2
1525,2
2007,2
1820,2
447,2
1998,2
2876,2
2185,2
2425,2
2895,2
2491,2
2836,2
2381,2
980,2
1612,2
2825,2
1599,2
2641,2
2776,2
2237,2
1831,2
2241,2
1809,2
426,2
1517,2
2418,2
2595,2
2225,2
1372,2
2056,2
1856,2
1741,2
1418,2
1652,2
2921,2
2362,2
1546,2
2361,2
557,1
560,1
547,1
418,1
528,1
444,1
457,1
128,1
631,1
1383,1
39,1
735,1
879,1
1245,1
858,1
1266,1
853,1
629,1
698,1
595,1
776,1
727,1
888,1
911,1
965,1
725,1
719,1
750,1
1023,1
1025,1
617,1
1017,1
2935,1
1028,1
597,1
1056,1
1183,1
1199,1
1104,1
1096,1
1107,1
1123,1
1188,1
1342,1
1351,1
1260,1
1293,1
2616,1
232,1
8,1
951,1
5,1
231,1
104,1
71,1
151,1
89,1
186,1
248,1
315,1
118,1
321,1
250,1
58,1
30,1
319,1
253,1
813,1
1387,1
582,1
44,1
740,1
1124,1
660,1
1441,1
1331,1
1051,1
1345,1
388,1
1147,1
640,1
613,1
690,1
589,1
744,1
737,1
775,1
674,1
807,1
688,1
721,1
811,1
824,1
6,1
22,1
106,1
251,1
75,1
79,1
834,1
259,1
19,1
194,1
332,1
433,1
193,1
159,1
135,1
880,1
891,1
1101,1
309,1
789,1
762,1
673,1
754,1
902,1
829,1
777,1
218,1
861,1
1224,1
1190,1
429,1
533,1
338,1
403,1
694,1
1,1
651,1
906,1
800,1
933,1
292,1
717,1
1392,1
920,1
1085,1
779,1
826,1
291,1
959,1
254,1
38,1
74,1
172,1
158,1
40,1
339,1
132,1
938,1
275,1
127,1
60,1
773,1
102,1
13,1
32,1
35,1
59,1
46,1
108,1
1611,1
1443,1
1893,1
2026,1
1923,1
569,1
2150,1
1962,1
2283,1
1724,1
2003,1
2099,1
2828,1
1545,1
2871,1
1645,1
1664,1
2552,1
2451,1
580,1
2160,1
1490,1
2025,1
475,1
1336,1
1818,1
1417,1
555,1
406,1
2302,1
2757,1
1825,1
2045,1
2826,1
1594,1
2493,1
2227,1
2845,1
1312,1
1852,1
1479,1
2638,1
1544,1
2354,1
1482,1
2373,1
174,1
1369,1
2649,1
1878,1
2011,1
1689,1
2922,1
1413,1
1803,1
1972,1
2911,1
1328,1
2747,1
585,1
535,1
414,1
2005,1
452,1
1682,1
1416,1
1933,1
2413,1
1603,1
1323,1
1579,1
1333,1
1547,1
485,1
1629,1
2733,1
1554,1
2542,1
1475,1
502,1
1890,1
1800,1
2865,1
2058,1
1560,1
1476,1
1532,1
1860,1
2785,1
1877,1
1996,1
1568,1
465,1
2676,1
1875,1
536,1
1486,1
2401,1
541,1
2482,1
2320,1
1671,1
476,1
1915,1
1574,1
1506,1
1445,1
2156,1
2474,1
2530,1
2486,1
462,1
2561,1
2927,1
2899,1
2130,1
2615,1
1650,1
2202,1
1986,1
1543,1
1299,1
2851,1
2064,1
2034,1
1481,1
2197,1
1907,1
2805,1
2410,1
2097,1
409,1
1919,1
2625,1
2477,1
1772,1
2434,1
1758,1
350,1
2212,1
1806,1
2406,1
1442,1
1891,1
1036,1
971,1
2751,1
2520,1
358,1
1982,1
2008,1
993,1
1585,1
2853,1
384,1
1843,1
1618,1
2662,1
1719,1
1552,1
2113,1
2223,1
2131,1
2014,1
2618,1
680,1
1987,1
1717,1
2023,1
2047,1
2823,1
1412,1
2285,1
1468,1
2054,1
506,1
1725,1
2463,1
2841,1
2265,1
1518,1
1981,1
1911,1
1607,1
1984,1
2541,1
340,1
2238,1
2092,1
1562,1
2746,1
2637,1
1353,1
2301,1
2768,1
2234,1
1600,1
1708,1
2873,1
1885,1
2517,1
616,1
2032,1
1610,1
2083,1
2115,1
2171,1
1349,1
1411,1
2868,1
216,1
1828,1
1522,1
1241,1
2647,1
2149,1
2464,1
2101,1
1797,1
1319,1
1339,1
2429,1
1680,1
1589,1
1434,1
2534,1
2562,1
1816,1
1681,1
371,1
1414,1
2217,1
714,1
453,1
1985,1
2537,1
1510,1
2490,1
2279,1
2175,1
2850,1
1630,1
1529,1
2395,1
359,1
2752,1
2469,1
2111,1
1551,1
2205,1
1421,1
1974,1
421,1
2632,1
1469,1
451,1
1062,1
1743,1
2135,1
2126,1
463,1
2697,1
483,1
1454,1
1723,1
1461,1
1649,1
1722,1
2293,1
1467,1
2041,1
1733,1
1851,1
