value,count
<NULL>,17168
"('', '')",1442
"('0', '0')",764
"('', '', '', '')",527
"('', '', '')",403
"('0', '0', '0', '0')",324
"('0', '0', '0')",222
"('', '', '', '', '')",201
"('', '', '', '', '', '')",143
"('0', '0', '0', '0', '0')",122
"('0', '0', '0', '0', '0', '0')",83
"('', '', '', '', '', '', '')",67
"('',)",50
"('1', '1')",46
"('0', '0', '0', '0', '0', '0', '0')",25
"('0',)",25
"('0', '0', '0', '0', '0', '0', '0', '0')",24
"('', '', '', '', '', '', '', '')",24
"('0', '0', '0', '0', '0', '0', '0', '0', '0')",10
"('', '', '', '', '', '', '', '', '')",10
"('', '', '1', '1')",8
"('', '', '', '', '', '', '', '', '', '')",7
"('', '1')",7
"('1', '1', '', '')",6
"('', '1', '1')",6
"('0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0')",5
"('0', '0', '0', '0', '0', '0', '0', '0', '0', '0')",4
"('1', '1', '')",4
"('', '', '', '', '', '', '', '', '', '', '')",4
"('1', '', '')",4
"('1', '')",3
"('', '1', '')",3
"('1', '', '', '1')",3
"('', '', '', '', '', '', '', '', '', '', '', '')",2
"('1', '', '', '', '1')",2
"('', '', '1', '')",2
"('', '1', '1', '')",2
"('1', '', '1')",2
"('1',)",2
"('', '', '1', '1', '', '')",2
"('1', '', '1', '', '')",2
"('0', '1')",1
"('0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0')",1
"('0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0')",1
"('1', '1', '0', '0')",1
"('1', '0', '0')",1
"('0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0')",1
"('0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0')",1
"('', '', '', '', '1', '1')",1
"('', '', '1', '', '', '', '')",1
"('', '', '', '', '', '', '', '', '', '', '', '', '')",1
"('', '', '1', '', '', '', '1')",1
"('', '', '', '', '1')",1
"('', '1', '', '', '', '')",1
"('1', '1', '1', '')",1
"('', '', '1', '1', '', '', '')",1
"('1', '', '', '1', '')",1
"('1', '1', '', '1', '', '')",1
"('1', '1', '1')",1
"('', '1', '', '1')",1
"('', '', '1')",1
"('', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')",1
"('1', '', '', '', '1', '')",1
"('1', '0', '0', '1', '0', '0')",1
"('', '', '', '', '', '', '', '1')",1
"('', '', '1', '1', '')",1
"('1', '', '', '1', '1')",1
"('', '', '', '1', '1')",1
"('', '1', '', '')",1
