value,count
<NULL>,17168
"('0', '0')",1666
"('0', '0', '0', '0')",557
"('0', '0', '0')",483
"('5', '5')",205
"('0', '0', '0', '0', '0')",186
"('0', '0', '0', '0', '0', '0')",138
"('1', '1')",98
"('0',)",63
"('5', '5', '0', '0')",55
"('0', '0', '0', '0', '0', '0', '0')",52
"('0', '1')",52
"('1', '0')",51
"('0', '5')",46
"('0', '0', '1', '1')",29
"('0', '0', '0', '0', '0', '0', '0', '0')",28
"('5', '5', '0', '0', '0')",25
"('5', '0')",25
"('0', '1', '1', '0')",21
"('0', '2')",17
"('5', '0', '0', '0')",17
"('0', '1', '0')",16
"('1', '1', '1')",16
"('1', '0', '0')",16
"('2', '2')",16
"('1', '1', '1', '1')",14
"('0', '0', '1')",14
"('0', '5', '0', '0')",14
"('0', '1', '1')",13
"('2', '0')",12
"('0', '5', '5', '0')",12
"('1', '0', '0', '0')",11
"('1', '1', '0', '0')",11
"('0', '0', '0', '0', '0', '0', '0', '0', '0')",10
"('0', '0', '1', '0')",10
"('5', '5', '0')",10
"('0', '1', '0', '0')",9
"('1',)",9
"('1', '0', '0', '0', '0')",8
"('2', '1')",8
"('5', '0', '0')",8
"('1', '1', '0')",7
"('0', '1', '1', '1')",7
"('5', '5', '0', '0', '0', '0')",7
"('0', '5', '0')",7
"('3', '0')",6
"('4', '4')",6
"('1', '1', '1', '1', '1')",5
"('1', '1', '1', '1', '1', '1')",5
"('0', '0', '0', '1', '1', '0')",5
"('3', '3')",5
"('0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0')",5
"('0', '0', '0', '1')",5
"('0', '0', '0', '1', '0')",5
"('0', '4')",5
"('0', '0', '2', '2')",5
"('0', '1', '1', '1', '0')",4
"('0', '0', '0', '0', '0', '0', '0', '0', '0', '0')",4
"('0', '0', '0', '0', '1')",4
"('0', '2', '2')",4
"('0', '0', '1', '0', '0')",4
"('2', '0', '0')",4
"('5', '1')",4
"('30', '30')",3
"('0', '3', '0')",3
"('0', '1', '1', '1', '1', '0')",3
