value,count
<NULL>,19559
"('', '', '')",185
"('', '', '', '', '')",65
"('', '', '', '')",44
"('', '', '', '', '', '')",31
"('', '', '', '', '', '', '')",12
"('', '', '', '', '', '', '', '')",11
"('', '')",7
"('', '', '', '', '', '', '', '', '')",4
"('3051', '3051', '3051')",4
"('', '', '', '', '', '', '', '', '', '', '')",3
"('2984', '2984', '2984')",3
"('2986', '2986', '2986')",3
"('3071', '3071', '3071')",3
"('3024', '3023', '3024')",3
"('2904', '2904', '2904')",3
"('3021', '3021', '3021')",2
"('3050', '3045', '3050')",2
"('3023', '3023', '3023')",2
"('3275', '3275', '3275')",2
"('3241', '3241', '3241')",2
"('2977', '2977', '2977')",2
"('3045', '3045', '3045')",2
"('3102', '3087', '3102', '3102', '3102')",2
"('3271', '3269', '3271')",2
"('3271', '3271', '3271')",2
"('616', '618', '616')",2
"('3193', '3193', '3193')",2
"('452', '459', '452')",2
"('704', '704', '704')",2
"('1590', '1589', '1590')",2
"('2564', '2564', '2564')",2
"('3060', '3060', '3060')",2
"('2979', '2977', '2979')",2
"('3632', '3631', '3632')",2
"('3243', '3241', '3243')",2
"('2395', '2405', '2395')",2
"('1986', '2138', '1986')",2
"('2068', '2068', '2068')",2
"('2911', '2900', '2911')",2
"('979', '978', '979')",2
"('3243', '3255', '3243')",2
"('1694', '1699', '1694')",2
"('3631', '3630', '3631')",2
"('3270', '3270', '3270')",2
"('', '3555', '')",2
"('3370', '3408', '3370')",2
"('2624', '2624', '2624')",2
"('776', '775', '776')",2
"('2076', '2076', '2076')",2
"('2176', '2177', '2176')",2
"('3109', '3047', '', '3047', '3113', '3109')",1
"('3019', '3109', '3019', '3019')",1
"('3019', '3019', '3051', '1147', '3019')",1
"('3100', '3093', '3093', '3102', '3096', '3096', '3100', '3100')",1
"('3100', '3090', '3100', '3042', '3099', '3100')",1
"('3100', '3087', '3087', '3100')",1
"('3099', '3102', '3099')",1
"('3099', '3100', '3099', '3101', '3089', '3099')",1
"('3099', '3091', '3094', '3099')",1
"('3091', '3101', '3091')",1
"('3102', '3109', '3102', '3088', '3088', '3090', '3102')",1
"('3074', '3074', '3074', '3074', '3059', '3074')",1
"('3071', '3037', '3071')",1
"('3071', '')",1
"('3062', '3059', '3062', '3059', '3062', '3059', '3062')",1
"('3082', '3087', '3082', '3087', '3082')",1
"('3082', '3082', '3082', '3082', '3059', '3063', '3084', '3082', '3082', '3082', '3087', '3082')",1
"('3084', '3072', '3040', '3037', '3084')",1
"('3063', '3096', '3063', '3050', '3063')",1
"('3060', '3059', '3060', '3061', '3060')",1
"('3060', '3035', '3060', '3037', '3060')",1
"('3079', '3074', '3079', '3075', '3079')",1
"('3079', '', '3079', '3069', '3068', '3079')",1
"('3027', '2989', '3027')",1
"('3041', '3035', '3041')",1
"('3041', '3004', '3041')",1
"('3041', '3025', '3041')",1
"('3038', '3037', '3035', '3047', '3071', '3038')",1
"('3050', '3049', '3050', '', '3050')",1
"('', '2975', '2977', '')",1
"('', '', '3036', '', '', '', '', '', '', '', '', '', '', '', '', '')",1
"('', '11', '')",1
"('', '', '3035', '1227', '3035', '')",1
"('', '3254', '', '', '')",1
"('', '', '', '3015', '')",1
"('3245', '3238', '3255', '3238', '3245')",1
"('3265', '3259', '3265', '3242', '3254', '3244', '3265', '3243', '3265')",1
"('3269', '2917', '2984', '2986', '3269')",1
"('3269', '3271', '3269')",1
"('3243', '3256', '3258', '3254', '3243')",1
"('3254', '3264', '3254')",1
"('3255', '3259', '3255')",1
"('3272', '3270', '2958', '3270', '3272')",1
"('3272', '3012', '3272')",1
"('3272', '3270', '3272')",1
"('3272', '3272')",1
"('2992', '2993', '2992')",1
"('3003', '2999', '3003')",1
"('2999', '2999', '2999', '2994', '2999', '2969', '2999')",1
"('2967', '2966', '2967')",1
"('2975', '', '2975')",1
"('2977', '2976', '2977')",1
"('2977', '2977', '2977', '2977', '2977', '2977')",1
"('2977', '', '2977', '2977', '2977', '2977', '2977')",1
"('2970', '2977', '2970', '2985', '2995', '2970')",1
"('2971', '2975', '2994', '2994', '2993', '2971')",1
"('2965', '', '2965', '2979', '2965')",1
"('2235', '2388', '2271', '2235')",1
"('2952', '2961', '2960', '2994', '2994', '2952')",1
"('2952', '412', '412', '741', '499', '499', '499', '503', '502', '2952')",1
"('3015', '2986', '3015', '2995', '3015')",1
"('3017', '3013', '3017')",1
"('2984', '3013', '2984')",1
"('2984', '2986', '2986', '2984')",1
"('2984', '3012', '3017', '2984')",1
"('2984', '2977', '2977', '2984')",1
"('2984', '2984', '2982', '2984')",1
"('2986', '')",1
"('2985', '2982', '2985')",1
"('2985', '2979', '2985')",1
"('2985', '2969', '2985', '2995', '2985')",1
"('3009', '3027', '3027', '3025', '3009')",1
"('3009', '3023', '3009', '1209', '1210', '3009')",1
"('2833', '', '2833', '')",1
"('', '3241')",1
"('', '3078', '')",1
"('', '', '3078', '')",1
"('3011', '2982', '3011')",1
"('3024', '3021', '3023', '3024', '3027', '3024')",1
"('3015', '3015', '3015', '2951', '3015')",1
"('3107', '3107', '3107')",1
"('3016', '3016', '3016', '2981', '3016', '', '3016')",1
"('3015', '2982', '3015', '2982', '3015')",1
"('3015', '', '3015')",1
"('3096', '3109', '3096', '3109', '3096')",1
"('3109', '3109', '3109')",1
"('2979', '2979', '2963', '2979', '2979', '2977', '2979')",1
"('2962', '3016', '2962', '3016', '2982', '2962')",1
"('2977', '2966', '2968', '2966', '2977')",1
"('2969', '2996', '2991', '2969', '2969', '2969')",1
"('2984', '2984', '2986', '2984', '2982', '2984')",1
"('2985', '578', '3016', '2985', '2968', '2985')",1
"('3012', '585', '581', '3012')",1
"('3012', '2985', '3012')",1
"('3260', '3272', '3260')",1
"('3261', '3254', '3261')",1
"('3050', '3049', '3050', '3051', '3050', '3050', '3049', '3050')",1
"('3052', '3051', '3052', '3019', '3052')",1
"('3050', '3045', '3038', '3045', '3050')",1
"('3075', '3034', '3075', '3069', '3068', '3075')",1
"('3249', '3252', '3249', '', '3249')",1
"('3251', '3254', '3254', '3251')",1
"('3253', '3247', '3254', '3253')",1
"('2999', '2999', '2985', '2999')",1
"('2998', '2997', '2998', '2997', '2998')",1
"('2998', '2997', '2998')",1
"('3027', '3026', '3027', '3041', '3027', '3027', '3027', '3027', '3027', '3027')",1
"('3001', '3000', '3001')",1
"('', '3270')",1
"('', '', '916')",1
"('3253', '', '3253')",1
"('3253', '3247', '3253', '3252', '3250', '3253')",1
"('2965', '2964', '2965')",1
"('3071', '3070', '3071', '3070', '3071', '3060', '3060', '3071', '3050', '3070', '3071')",1
"('3019', '3055', '3019')",1
"('3019', '3019', '3019', '1151', '1152', '3019')",1
"('3051', '3051', '3057', '3036', '3036', '')",1
"('3051', '1152', '3051')",1
"('3069', '3070', '3069', '3079', '3069', '3068', '3069')",1
"('3066', '3067', '3066')",1
"('3079', '3069', '3079', '3079', '3079', '3079', '3079')",1
"('3079', '3069', '3079')",1
"('', '', '', '', '', '', '', '', '', '')",1
"('3041', '3021', '3041', '1214', '', '3041')",1
"('3041', '3041', '3041')",1
"('3060', '3058', '3060', '3088', '3060')",1
"('3060', '3061', '3060', '3060')",1
"('3255', '', '3255', '3255', '3255')",1
"('3260', '3269', '3260')",1
"('3244', '3244', '3244', '3244', '3244')",1
"('3245', '3244', '3245')",1
"('2965', '3276', '2958', '2965', '2969', '2965', '2965', '2969', '2965')",1
"('', '2984', '')",1
"('', '', '3091', '')",1
"('3078', '3078', '3078', '3078', '3078')",1
"('3068', '3060', '3086', '3087', '3068')",1
"('', '', '', '3001', '')",1
