value,count
<NULL>,20368
916,16
618,10
3087,8
3021,8
3045,8
2984,8
2977,7
1628,7
537,7
2272,7
3019,6
3241,6
2986,6
2997,6
3051,6
3071,6
719,6
502,6
2307,6
657,6
2138,6
3023,5
3270,5
2928,5
1456,5
1769,5
704,5
407,5
2405,5
662,5
2144,5
3158,5
2396,5
2904,5
3275,4
3012,4
2968,4
3013,4
3630,4
3313,4
1676,4
1938,4
700,4
279,4
2414,4
1978,4
2145,4
2909,4
459,4
2318,4
2879,4
2398,4
2829,4
101,4
3192,4
3631,4
2361,4
237,4
2068,4
124,4
1665,4
2630,4
1920,4
2624,4
2397,4
702,4
440,4
3074,3
3059,3
3035,3
3049,3
3276,3
2993,3
2962,3
1973,3
2982,3
3109,3
3247,3
3067,3
3058,3
3244,3
3269,3
3271,3
1798,3
3420,3
224,3
2787,3
1567,3
2633,3
3371,3
1805,3
3666,3
2273,3
2298,3
1439,3
3193,3
2776,3
622,3
3580,3
983,3
2011,3
2714,3
638,3
1586,3
3546,3
3060,3
3048,3
688,3
1998,3
2096,3
1099,3
3522,3
1836,3
978,3
850,3
2034,3
3191,3
1858,3
3389,3
3063,3
2924,3
3447,3
66,3
74,3
2911,3
2278,3
1767,3
298,3
2339,3
595,3
2715,3
2900,3
1989,3
714,3
2790,3
88,3
1699,3
3305,3
558,3
1151,3
2149,3
2315,3
775,3
2226,3
974,3
409,3
1636,3
740,3
576,3
3633,3
3102,2
3101,2
3089,2
3037,2
3082,2
2960,2
3253,2
2999,2
2974,2
2985,2
3016,2
584,2
3254,2
3069,2
3061,2
2958,2
3027,2
3018,2
3073,2
3078,2
3317,2
3645,2
1883,2
415,2
406,2
1811,2
2559,2
2051,2
725,2
2223,2
1652,2
213,2
543,2
746,2
2886,2
3665,2
667,2
1186,2
1532,2
669,2
401,2
2052,2
2878,2
511,2
1672,2
1851,2
1589,2
631,2
1735,2
673,2
2564,2
1986,2
1441,2
3548,2
2760,2
79,2
1674,2
1694,2
1766,2
834,2
2750,2
3669,2
900,2
2634,2
142,2
973,2
51,2
1457,2
1431,2
1976,2
1682,2
509,2
2062,2
226,2
1757,2
3423,2
2833,2
915,2
546,2
1086,2
2418,2
2737,2
266,2
684,2
2841,2
2499,2
2033,2
3343,2
1119,2
594,2
2759,2
581,2
755,2
712,2
2447,2
3042,2
743,2
2672,2
548,2
2089,2
1425,2
3011,2
3496,2
606,2
1922,2
1824,2
3307,2
3373,2
95,2
2310,2
1407,2
2073,2
3177,2
153,2
147,2
3243,2
2627,2
1539,2
1052,2
623,2
2509,2
