value,count
<NULL>,19559
"('', '')",1051
"('', '', '', '')",431
"('', '', '')",291
"('', '', '', '', '')",175
"('', '', '', '', '', '')",112
"('', '', '', '', '', '', '')",54
"('',)",39
"('', '', '', '', '', '', '', '')",22
"('', '', '', '', '', '', '', '', '', '')",11
"('', '', '', '', '', '', '', '', '')",10
"('', '', '', '', '', '', '', '', '', '', '')",2
"('', '', '', '', '', '', '', '', '', '', '', '')",2
"('', '', '', '', '', '', '', '', '', '', '', '', '', '', '')",1
"('114', '', '')",1
"('133', '67', '')",1
"('73', '10', '')",1
"('17', '84')",1
"('', '', '15', '')",1
"('', '86', '137', '')",1
"('79', '147', '')",1
"('67', '45')",1
"('', '10', '66')",1
"('91', '', '', '154', '', '', '', '', '')",1
"('147', '83')",1
"('93', '23')",1
"('', '', '17', '137')",1
"('17', '')",1
"('22', '30', '')",1
"('78',)",1
"('9', '36')",1
"('5', '72', '')",1
"('133', '', '', '28')",1
"('29', '3')",1
"('63', '137')",1
"('87', '137', '')",1
"('18', '133')",1
"('', '', '', '', '', '', '', '43')",1
"('', '133', '')",1
"('10', '79')",1
"('87', '5')",1
"('', '', '137', '39', '')",1
