value,count
<NULL>,19559
"('5', '5')",524
"('6', '6')",231
"('5', '5', '5')",186
"('5', '5', '5', '5')",178
"('4', '4')",84
"('6', '6', '5', '5')",83
"('1', '1')",80
"('5', '5', '5', '5', '5')",78
"('5', '5', '5', '5', '5', '5')",57
"('5', '6')",44
"('4', '4', '4')",33
"('5',)",31
"('5', '5', '5', '5', '5', '5', '5')",29
"('4', '4', '4', '4')",29
"('6', '6', '5', '5', '5')",22
"('6', '5')",18
"('1', '1', '5', '5')",17
"('8', '8')",16
"('5', '6', '5', '5')",15
"('1', '1', '1', '1')",15
"('4', '4', '4', '4', '4')",14
"('2', '2')",13
"('4', '4', '4', '4', '4', '4')",12
"('6', '5', '5')",12
"('5', '5', '1', '1')",12
"('5', '6', '5', '5', '5')",11
"('5', '1')",11
"('7', '7')",10
"('5', '5', '5', '5', '5', '5', '5', '5')",9
"('1', '5', '5')",9
"('6', '6', '5')",9
"('5', '1', '5', '5')",8
"('1', '5')",8
"('4',)",7
"('6', '6', '5', '5', '5', '5')",7
"('5', '6', '5')",7
"('5', '1', '1', '5')",6
"('6', '5', '5', '5')",6
"('5', '5', '5', '5', '5', '5', '5', '5', '5')",6
"('1', '1', '1')",6
"('5', '6', '6', '5')",6
"('6', '6', '6', '6')",5
"('4', '4', '4', '4', '4', '4', '4')",5
"('5', '5', '5', '1', '1')",5
"('7', '7', '5')",5
"('1', '1', '5', '5', '5')",4
"('6', '5', '5', '5', '5')",4
"('4', '4', '5', '5')",4
"('1', '1', '1', '1', '1')",4
"('6', '6', '1', '1')",4
"('5', '5', '6')",4
"('6', '6', '5', '5', '5', '5', '5')",4
"('5', '1', '5', '5', '5')",4
"('5', '5', '5', '5', '5', '5', '5', '5', '5', '5')",3
"('8', '8', '1', '1')",3
"('15', '15')",3
"('6', '1', '5', '5')",3
"('1', '5', '5', '5', '5')",3
"('1', '1', '1', '5', '5')",3
"('2', '2', '2', '2')",3
"('5', '1', '5')",3
"('5', '1', '1', '1')",3
"('4', '4', '4', '4', '4', '4', '4', '4', '4', '4')",3
"('5', '6', '5', '5', '5', '5')",3
"('5', '5', '1')",3
"('1', '6', '5', '5')",3
"('1', '5', '5', '5')",3
"('1', '1', '5', '5', '5', '5', '5')",2
"('5', '5', '1', '1', '1')",2
"('15', '15', '5', '5')",2
"('12', '12')",2
"('15', '5', '5', '5')",2
"('5', '5', '6', '5', '5')",2
"('5', '6', '6', '1')",2
"('2', '2', '2')",2
"('5', '1', '1')",2
"('8', '1')",2
"('7', '7', '1')",2
"('9', '9')",2
"('1', '1', '1', '1', '5', '5')",2
"('5', '5', '5', '5', '1', '1')",2
"('1', '1', '5', '5', '5', '5')",2
"('6', '6', '5', '1', '5')",2
"('1', '1', '1', '1', '1', '1')",2
"('6', '6', '1')",2
"('4', '4', '4', '4', '4', '5', '5')",2
"('5', '15', '15', '5', '5')",1
"('5', '1', '6', '5', '5')",1
"('1', '6')",1
"('1', '1', '1', '1', '2', '2')",1
"('5', '9', '9', '5')",1
"('1', '1', '5', '5', '5', '5', '5', '1', '1', '5', '5')",1
"('4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4')",1
"('5', '6', '5', '5', '5', '5', '5')",1
"('15', '15', '15', '15', '15')",1
"('5', '5', '15', '15', '5')",1
"('6', '6', '2', '2', '5', '5')",1
"('1', '15', '15')",1
"('5', '1', '1', '1', '1')",1
"('5', '5', '5', '5', '5', '5', '5', '4', '4', '4')",1
"('4', '5')",1
"('5', '6', '6', '1', '5', '5', '5')",1
"('5', '1', '5', '5', '5', '5')",1
"('5', '5', '2', '2', '2', '2')",1
"('5', '15', '5')",1
"('1', '8', '1')",1
"('1', '5', '5', '5', '5', '5')",1
"('5', '5', '5', '6', '5', '5', '5', '5')",1
"('6', '6', '15', '5')",1
"('1', '6', '6', '1', '5', '5')",1
"('15', '6')",1
"('15', '5', '5', '15', '15')",1
"('5', '6', '6', '5', '5', '5')",1
"('5', '5', '5', '9', '13')",1
"('4', '4', '4', '4', '4', '4', '4', '4', '4')",1
"('5', '15', '5', '5')",1
"('5', '4', '5', '5', '5', '5', '4', '4')",1
"('12', '5')",1
"('5', '5', '1', '1', '5', '5', '5', '5', '5', '5')",1
"('11', '11')",1
"('5', '1', '1', '6', '5')",1
"('4', '4', '4', '4', '5', '5')",1
"('4', '4', '1', '1')",1
"('2', '2', '2', '1', '1')",1
"('5', '5', '5', '5', '5', '4', '4')",1
"('15', '5')",1
"('1', '6', '6', '1')",1
"('5', '6', '1', '5', '5', '5', '5')",1
"('1', '15')",1
"('1', '5', '1', '1')",1
"('5', '5', '6', '6', '5', '5', '5', '5')",1
"('5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5')",1
"('7', '8', '5')",1
"('8', '8', '12')",1
"('6', '6', '4', '4', '4')",1
"('5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '1', '5')",1
"('5', '5', '5', '5', '2', '2')",1
"('1', '1', '4', '4', '4', '4', '4')",1
"('6', '6', '4', '4', '4', '4', '4')",1
"('5', '5', '6', '6')",1
"('5', '6', '6', '5', '5', '5', '5', '5', '5', '5')",1
"('6', '5', '5', '5', '5', '5')",1
"('5', '12', '12', '5', '5', '5')",1
"('4', '4', '4', '4', '4', '4', '4', '4')",1
"('1', '1', '1', '1', '5', '5', '1', '1')",1
"('4', '5', '4', '4')",1
"('1', '5', '5', '5', '1', '5')",1
"('1', '1', '5', '5', '1', '1', '1', '5')",1
"('6', '6', '2', '2', '2')",1
"('1', '1', '7', '1')",1
"('1', '1', '1', '1', '4', '4', '4', '4', '4')",1
"('5', '7', '7', '5')",1
"('5', '4', '4')",1
"('9', '1')",1
"('5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5')",1
"('5', '5', '5', '5', '5', '5', '1', '1')",1
"('5', '1', '1', '8', '5', '5')",1
"('5', '5', '1', '1', '5', '5')",1
"('1', '5', '5', '1')",1
"('5', '13')",1
"('1', '1', '1', '1', '1', '1', '1', '1', '1')",1
"('13', '5', '1', '1')",1
"('5', '7', '7')",1
"('5', '5', '1', '5')",1
"('5', '6', '6', '6', '5', '5')",1
"('7', '1', '1', '7', '4', '4', '4', '4', '4')",1
"('8', '8', '5', '5')",1
"('12', '1')",1
"('5', '5', '6', '5')",1
"('1', '1', '5', '5', '1', '1', '5', '5', '5')",1
"('2', '2', '7', '7')",1
"('7', '13')",1
"('7',)",1
"('1', '5', '8', '5', '5')",1
"('5', '9', '5')",1
"('6', '6', '1', '5', '5')",1
"('6', '6', '1', '1', '1', '1')",1
"('1', '1', '5', '6', '5', '5')",1
"('12', '12', '5')",1
"('1', '1', '6', '5', '5')",1
"('5', '5', '4')",1
"('7', '1', '1', '7')",1
"('5', '5', '5', '6')",1
"('5', '5', '5', '5', '1', '1', '1', '1', '5', '5')",1
"('1', '1', '5', '5', '5', '5', '1', '1')",1
"('5', '5', '5', '1', '5', '5')",1
"('2', '1', '1', '2', '5', '1', '1')",1
"('6', '6', '5', '5', '5', '5', '5', '5')",1
"('2', '2', '4', '4', '1', '1', '4', '4')",1
"('5', '5', '6', '6', '5', '5')",1
"('2', '2', '5', '5', '5')",1
"('5', '8')",1
"('2', '2', '5', '5')",1
"('1', '1', '4', '4', '4', '4', '4', '4')",1
"('2', '5')",1
"('1', '5', '5', '5', '5', '5', '5', '5')",1
"('6', '6', '6', '6', '5', '5', '5')",1
"('1', '1', '5', '5', '1', '1', '5', '1', '1', '5')",1
"('5', '6', '9', '5', '5', '5')",1
"('10', '10', '10')",1
"('6', '6', '6', '8', '5', '1', '5', '7')",1
"('5', '5', '5', '1', '1', '1', '1')",1
"('4', '4', '4', '5', '5')",1
"('1', '7', '13')",1
"('4', '4', '4', '4', '5', '4', '4')",1
"('5', '5', '5', '6', '5', '5')",1
"('1', '1', '1', '5')",1
"('5', '1', '5', '5', '5', '5', '5')",1
"('1', '1', '7', '7', '1')",1
"('5', '5', '6', '5', '5', '5')",1
"('5', '6', '6')",1
