value,count
<NULL>,21647
287,3
1054,2
656,2
442,2
292,2
1682,2
2916,2
1426,2
2920,2
361,1
1410,1
96,1
854,1
1,1
1265,1
740,1
836,1
296,1
911,1
1062,1
1120,1
1174,1
1128,1
749,1
1096,1
1138,1
1094,1
892,1
719,1
1325,1
1257,1
235,1
832,1
115,1
1252,1
1004,1
490,1
989,1
2552,1
612,1
469,1
1016,1
833,1
271,1
613,1
835,1
834,1
890,1
908,1
542,1
513,1
540,1
1057,1
2880,1
1385,1
839,1
279,1
962,1
1146,1
221,1
222,1
4,1
2764,1
2125,1
1867,1
1988,1
1612,1
516,1
2090,1
1619,1
1590,1
1322,1
1259,1
1272,1
1625,1
2150,1
1777,1
1596,1
808,1
2103,1
852,1
1422,1
559,1
2618,1
1454,1
1904,1
1446,1
1010,1
1423,1
2484,1
2046,1
1436,1
1363,1
1914,1
2491,1
1681,1
2048,1
2176,1
2627,1
1424,1
2095,1
1421,1
2905,1
206,1
2785,1
1607,1
1005,1
465,1
1359,1
494,1
355,1
2010,1
1733,1
1000,1
1493,1
2316,1
1776,1
1337,1
2088,1
1388,1
2013,1
2062,1
645,1
1948,1
2265,1
368,1
2584,1
514,1
1840,1
2568,1
379,1
