value,count
<NULL>,21628
1739,3
3269,2
3070,2
283,2
2931,2
27,2
3241,2
2131,2
2935,2
2265,2
1628,2
3035,1
11,1
2971,1
3271,1
2995,1
2977,1
2969,1
3254,1
3050,1
3248,1
1152,1
3021,1
3255,1
3089,1
3096,1
3090,1
3270,1
2895,1
3005,1
1364,1
725,1
467,1
588,1
213,1
3054,1
690,1
220,1
191,1
3185,1
2986,1
3324,1
2968,1
2391,1
2329,1
1714,1
2150,1
3013,1
226,1
750,1
378,1
197,1
2308,1
1665,1
1861,1
1593,1
3538,1
703,1
1821,1
2088,1
3198,1
3184,1
3296,1
3158,1
23,1
3102,1
1218,1
1426,1
55,1
2564,1
504,1
47,1
24,1
2628,1
2388,1
1084,1
646,1
37,1
3152,1
3003,1
514,1
1091,1
1800,1
282,1
648,1
3151,1
776,1
1227,1
3580,1
1517,1
25,1
2035,1
1682,1
695,1
22,1
2920,1
1692,1
1645,1
1731,1
1385,1
2754,1
208,1
1565,1
3023,1
3002,1
3019,1
3072,1
1938,1
610,1
334,1
3243,1
94,1
916,1
2238,1
377,1
3012,1
2467,1
688,1
2028,1
613,1
1790,1
662,1
3620,1
2560,1
1849,1
3382,1
2013,1
1798,1
1457,1
1788,1
1972,1
548,1
865,1
1604,1
1706,1
1598,1
3037,1
1843,1
1184,1
1734,1
3528,1
3055,1
2269,1
440,1
1168,1
3077,1
3613,1
3179,1
