value,count
<NULL>,21185
"('1', '4', '1')",175
"('1', '2', '1')",14
"('1', '10', '1')",12
"('1', '16', '1')",11
"('1', '11', '1')",11
"('1', '14', '1')",10
"('1', '18', '1')",10
"('1', '4', '1', '13', '1')",7
"('1', '4', '1', '14', '1')",7
"('1', '16', '1', '16', '1')",6
"('1', '4', '16', '1')",6
"('1', '4', '1', '4', '1')",6
"('1', '5', '1')",6
"('1', '4', '4', '1')",5
"('1', '4', '5', '1')",5
"('1', '4', '1', '12', '1')",5
"('1', '13', '1')",5
"('1', '16', '4', '16', '1')",4
"('1', '4', '13', '1')",4
"('1', '7', '1')",4
"('1', '4', '1', '18', '1')",4
"('1', '14', '7', '1')",4
"('1', '4', '1', '1')",3
"('1', '1', '1')",3
"('1', '4', '1', '5', '1')",3
"('1', '12', '1')",3
"('1', '1', '1', '1', '1')",3
"('1', '4', '11')",3
"('1', '4', '14', '1')",3
"('1', '4', '9', '1')",3
"('1', '4', '1', '7', '1')",3
"('1', '3', '1')",3
"('1', '4', '1', '11', '1')",3
"('18', '1')",3
"('1', '10', '5', '1')",3
"('1', '5', '5', '1')",3
"('1', '4', '10', '1')",3
"('1', '16', '4', '1')",3
"('1', '6', '1')",3
"('4', '4', '4')",2
"('1', '16', '16', '1')",2
"('1', '9', '7', '1')",2
"('1', '4', '1', '16', '1')",2
"('1', '2', '6', '1')",2
"('1', '4', '1', '16', '16', '1')",2
"('1', '16', '5', '1')",2
"('1', '16', '16', '1', '16', '1', '16', '1')",2
"('1', '4', '18', '1')",2
"('18', '16', '1')",2
"('1', '5', '9', '1')",2
"('1', '18')",2
"('1', '4')",2
"('1', '4', '11', '1')",2
"('1', '5', '16', '1')",2
"('1', '10', '1', '16', '1')",2
"('1', '4', '1', '18')",2
"('1', '16', '4', '1', '15', '16', '1')",1
"('1', '9', '5', '1', '5', '1')",1
"('1', '11', '10', '1')",1
"('11', '1', '1')",1
"('1', '14', '1', '10', '5', '10', '1', '13', '1')",1
"('1', '7', '14', '17', '1')",1
"('11', '1', '2', '1')",1
"('1', '4', '1', '9', '16', '1')",1
"('14', '11', '7', '14', '1', '7', '1')",1
"('1', '2', '1', '7', '11')",1
"('1', '10', '10', '5', '5', '1')",1
"('1', '1', '10', '1')",1
"('1', '14', '5', '1')",1
"('1', '4', '1', '16', '1', '16', '5', '5', '16', '16', '13', '1')",1
"('1', '11', '1', '11', '1', '11', '11', '6', '11', '11', '1')",1
"('1', '14', '11', '1', '12', '1')",1
"('1', '8', '1', '2', '1')",1
"('1', '6', '11', '1')",1
"('1', '15', '1')",1
"('1', '4', '1', '13', '4', '1')",1
"('1', '4', '5', '5', '1', '12', '1')",1
"('1', '17', '1', '8', '1', '16', '1')",1
"('1', '2', '11', '13', '1')",1
"('1', '4', '4', '4', '1', '13', '1')",1
"('2', '2', '2', '2', '6', '1', '2')",1
"('1', '4', '1', '16', '5', '7')",1
"('1', '16', '14', '1', '16', '6', '1')",1
"('1', '4', '6', '1', '15', '1')",1
"('7', '9', '1')",1
"('1', '16', '16', '1', '4', '1', '14', '1')",1
"('1', '16', '1', '16', '1', '5', '16', '16', '5', '6', '1')",1
"('1', '16', '10', '1', '9', '1', '10', '11', '9', '1')",1
"('1', '17', '4', '1', '16', '1', '14', '18', '14', '1')",1
"('4', '4', '1', '10', '7', '1')",1
"('1', '4', '5', '16', '1')",1
"('1', '12', '5', '6', '1')",1
"('1', '16', '1', '4', '1', '16', '1')",1
"('1', '10', '1', '4', '18', '1', '13', '18', '18', '1')",1
"('15', '4', '14')",1
"('1', '11', '1', '16', '6', '16', '14', '16', '18', '11', '1', '14', '1')",1
"('1', '11', '6', '1')",1
"('1', '18', '18', '1')",1
"('1', '16', '4', '17', '1')",1
"('1', '16', '8', '1')",1
"('1', '11', '9', '11')",1
"('1', '16', '16', '10', '1')",1
"('1', '16', '1', '16', '1', '4', '1')",1
"('1', '4', '1', '15', '7', '1')",1
"('1', '4', '1', '16', '16', '18')",1
"('1', '10', '15', '7', '1')",1
"('1', '2', '11', '1')",1
"('1', '4', '1', '16', '7', '1')",1
"('1', '16', '10', '5', '1', '16', '16', '5', '16', '1', '14', '1')",1
"('1', '16', '10', '8', '1')",1
"('1', '5', '14', '5', '1')",1
"('1', '16', '10', '7', '1', '16', '1')",1
"('1', '16', '13', '7', '16', '4', '4', '13', '1')",1
"('1', '16', '1', '16', '5', '5', '16', '1')",1
"('1', '2', '1', '2', '5', '1')",1
"('1', '2', '18', '1')",1
"('1', '16', '1', '4', '1', '11', '1')",1
"('1', '4', '1', '5', '16', '1', '14', '1')",1
"('1', '4', '11', '13', '1')",1
"('1', '4', '16', '14', '1')",1
"('1', '4', '4', '1', '16', '1', '11', '1')",1
"('1', '4', '1', '16', '1', '14', '1')",1
"('1', '16', '6', '1', '16', '1')",1
"('1', '9', '16', '5', '1', '16', '1', '16', '1')",1
"('1', '4', '1', '4', '7', '11', '1')",1
"('1', '2', '1', '7', '1')",1
"('1', '9', '5', '5', '1')",1
"('1', '10', '16', '1')",1
"('1', '2', '9', '2', '14', '1')",1
"('1', '4', '1', '16', '5', '1')",1
"('1', '9', '14', '5', '1')",1
"('1', '16', '1', '16', '1', '5', '5', '1')",1
"('1', '10', '1', '4', '14', '1')",1
"('1', '18', '1', '9', '1', '6', '18', '1')",1
"('1', '7', '4', '11', '1')",1
"('1', '16', '18', '5', '1', '11', '1', '16', '1')",1
"('1', '15', '11', '1')",1
"('1', '16', '1', '11', '1', '16', '1', '13', '1')",1
"('1', '16', '12', '16', '1')",1
"('1', '10', '1', '5', '7', '1')",1
"('1', '9', '16', '7', '1')",1
"('1', '16', '8', '5', '1')",1
"('1', '16', '10', '16', '1')",1
"('1', '4', '10', '9', '12', '8', '1')",1
"('1', '12', '6', '1', '13', '1', '5', '1')",1
"('1', '14', '8', '1')",1
"('1', '4', '16', '1', '9', '1')",1
"('1', '16', '12', '1')",1
"('1', '4', '1', '13', '8', '1')",1
"('18', '5', '1')",1
"('1', '9', '1', '4', '18', '4', '1')",1
"('1', '16', '1', '4', '1', '13', '1')",1
"('1', '5', '5', '1', '5', '1', '5', '1')",1
"('1', '16', '1', '5', '1', '16', '1', '15', '1')",1
"('18', '4', '1', '14', '1')",1
"('18', '1', '4', '18', '6', '1', '2', '8', '11')",1
"('1', '16', '1', '7', '1', '16', '1', '7', '1')",1
"('1', '16', '16', '13', '1', '16', '16', '8', '1')",1
"('1', '4', '1', '14', '5', '1')",1
"('1', '5', '15', '1')",1
"('1', '4', '9', '1', '5', '1')",1
"('1', '4', '5', '5', '1')",1
"('1', '18', '18')",1
"('1', '4', '7', '1')",1
"('18', '1', '4', '1')",1
"('1', '16', '13', '1', '16', '5', '1', '16', '1')",1
"('1', '16', '10', '6', '5', '1', '12', '1', '13', '1')",1
"('1', '4', '1', '13', '7', '1')",1
"('1', '4', '6', '11', '4', '1')",1
"('1', '16', '1', '16', '1', '14', '1')",1
"('1', '9', '5', '5', '1', '12', '1')",1
"('1', '4', '16', '16', '1')",1
"('1', '4', '1', '15', '1')",1
"('1', '4', '8', '1')",1
"('1', '11', '1', '13', '7', '1', '16', '14', '16', '1')",1
"('1', '8', '18', '14', '1')",1
