value,count
<NULL>,21185
"('', '')",285
"('', '', '', '')",99
"('', '', '')",96
"('', '', '', '', '')",39
"('', '', '', '', '', '')",30
"('', '', '', '', '', '', '')",17
"('', '', '', '', '', '', '', '')",16
"('',)",6
"('', '', '', '', '', '', '', '', '')",5
"('', '', '', '', '', '', '', '', '', '', '')",2
"('', '', '', '', '', '', '', '', '', '')",2
"('', '', '', '', '', '', '', '', '', '', '', '')",1
"('1', '1', '', '', '')",1
"('', '', '', '1', '1')",1
"('1',)",1
"('10', '10')",1
"('1', '1')",1
