value,count
<NULL>,21633
"('', '')",69
"('', '', '', '')",23
"('', '', '', '', '')",13
"('', '', '')",9
"('',)",3
"('', '', '', '', '', '', '')",3
"('', '', '', '', '', '')",3
"('2', '2')",2
"('4', '4')",2
"('', '', '', '', '', '', '', '', '')",2
"('2', '2', '2', '2', '2', '2')",1
"('4', '4', '2', '2', '4', '4')",1
"('5', '5', '5', '6', '6')",1
"('7', '7')",1
"('2', '3', '2')",1
"('4', '4', '4')",1
"('6', '8', '6', '6', '5')",1
"('3', '')",1
"('2', '')",1
"('3', '3', '3', '3', '5', '6')",1
"('2', '2', '2', '2', '2', '5')",1
"('5', '5')",1
"('', '2', '3', '3', '3')",1
"('8', '9', '8', '8')",1
"('1', '1', '1')",1
"('3', '2', '2', '5', '2', '2')",1
"('4', '7')",1
"('', '', '3', '3', '', '')",1
"('3', '3', '3', '3')",1
"('6', '', '8', '8')",1
"('3', '2', '3')",1
"('6', '3', '', '3')",1
"('3', '', '3', '2', '2')",1
"('3', '3')",1
"('2', '6')",1
"('', '', '', '', '', '', '', '', '', '', '')",1
