value,count
<NULL>,21742
"(728, 15, 12, 139, 4, 104, 50, 10, 16, 5, 46)",1
"(450, 395, 240)",1
"(515, 405)",1
"(579, 110, 60, 25, 25, 30, 50)",1
"(754, 12, 133)",1
"(515, 5, 305, 10, 0, 3, 4)",1
"(420, 423, 220, 58)",1
"(487, 426)",1
"(495, 420)",1
"(500, 130, 345, 85)",1
"(1055, 134, 15, 5)",1
"(525, 405, 79, 132)",1
"(455, 20, 90, 27)",1
"(572, 384)",1
"(665, 285, 35, 160)",1
"(470, 490, 85, 40, 0)",1
"(520, 0)",1
"(585, 425)",1
"(515, 215, 135, 125, 90)",1
"(535, 0, 195, 20, 35)",1
"(445, 425)",1
"(820, 5, 15, 0, 35, 5)",1
"(435, 430)",1
"(1010, 135)",1
"(510, 420, 10)",1
"(995, 15, 25, 5, 25)",1
"(615, 15, 35, 25, 45, 210, 55)",1
"(450, 570)",1
"(840,)",1
"(785, 70, 230, 25, 60)",1
"(390, 490, 85, 30, 145)",1
"(450, 5, 310, 5)",1
"(545, 490)",1
"(480, 480)",1
"(610, 135)",1
"(540, 475)",1
"(440, 425)",1
"(540, 290, 145, 185)",1
"(1020,)",1
"(495, 430)",1
"(510, 0, 375, 0)",1
"(525, 415)",1
"(630, 20)",1
"(450, 570, 5, 30)",1
"(690, 80, 135, 125)",1
"(475, 475)",1
